Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;2;0;71;0,062500;512;2
0,062500;6656;1;2;512;71;0,062500;512;2
0,125000;7168;1;3;0;71;0,062500;512;2
0,187500;7680;1;3;512;74;0,062500;512;2
0,250000;8192;1;4;0;71;0,062500;512;2
0,312500;8704;1;4;512;67;0,625000;5120;20
0,937500;13824;3;1;512;64;0,062500;512;2
1,000000;14336;3;2;0;64;0,062500;512;2
1,062500;14848;3;2;512;64;0,062500;512;2
1,125000;15360;3;3;0;73;0,125000;1024;4
1,250000;16384;3;4;0;71;0,062500;512;2
1,312500;16896;3;4;512;69;0,687500;5632;22
2,000000;22528;5;2;0;71;0,062500;512;2
2,062500;23040;5;2;512;71;0,062500;512;2
2,125000;23552;5;3;0;71;0,062500;512;2
2,187500;24064;5;3;512;71;0,062500;512;2
2,250000;24576;5;4;0;69;0,062500;512;2
2,312500;25088;5;4;512;71;0,062500;512;2
2,375000;25600;6;1;0;71;0,187500;1536;6
2,562500;27136;6;2;512;71;0,062500;512;2
2,625000;27648;6;3;0;71;0,062500;512;2
2,687500;28160;6;3;512;71;0,062500;512;2
2,750000;28672;6;4;0;73;0,062500;512;2
2,812500;29184;6;4;512;76;0,125000;1024;4
2,937500;30208;7;1;512;71;0,062500;512;2
3,000000;30720;7;2;0;71;0,062500;512;2
3,062500;31232;7;2;512;73;0,062500;512;2
3,125000;31744;7;3;0;76;0,125000;1024;4
3,250000;32768;7;4;0;73;0,062500;512;2
3,312500;33280;7;4;512;71;0,000000;0;0
