Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;65;0,125000;1024;4
0,125000;6144;1;2;0;65;0,031250;256;1
0,156250;6400;1;2;256;67;0,062500;512;2
0,218750;6912;1;2;768;67;0,031250;256;1
0,250000;7168;1;3;0;63;0,218750;1792;7
0,468750;8960;1;4;768;58;0,031250;256;1
0,500000;9216;2;1;0;65;0,125000;1024;4
0,625000;10240;2;2;0;65;0,031250;256;1
0,656250;10496;2;2;256;67;0,062500;512;2
0,718750;11008;2;2;768;67;0,031250;256;1
0,750000;11264;2;3;0;63;0,250000;2048;8
1,000000;13312;3;1;0;65;0,093750;768;3
1,093750;14080;3;1;768;65;0,031250;256;1
1,125000;14336;3;2;0;67;0,093750;768;3
1,218750;15104;3;2;768;67;0,031250;256;1
1,250000;15360;3;3;0;63;0,187500;1536;6
1,437500;16896;3;4;512;58;0,062500;512;2
1,500000;17408;4;1;0;65;0,062500;512;2
1,562500;17920;4;1;512;65;0,062500;512;2
1,625000;18432;4;2;0;65;0,062500;512;2
1,687500;18944;4;2;512;63;0,062500;512;2
1,750000;19456;4;3;0;67;0,187500;1536;6
1,937500;20992;4;4;512;67;0,125000;1024;4
2,062500;22016;5;1;512;67;0,031250;256;1
2,093750;22272;5;1;768;68;0,062500;512;2
2,156250;22784;5;2;256;68;0,062500;512;2
2,218750;23296;5;2;768;65;0,125000;1024;4
2,343750;24320;5;3;768;58;0,062500;512;2
2,406250;24832;5;4;256;67;0,093750;768;3
2,500000;25600;6;1;0;67;0,062500;512;2
2,562500;26112;6;1;512;67;0,062500;512;2
2,625000;26624;6;2;0;67;0,062500;512;2
2,687500;27136;6;2;512;68;0,062500;512;2
2,750000;27648;6;3;0;65;0,187500;1536;6
2,937500;29184;6;4;512;58;0,062500;512;2
3,000000;29696;7;1;0;70;0,062500;512;2
3,062500;30208;7;1;512;68;0,062500;512;2
3,125000;30720;7;2;0;67;0,062500;512;2
3,187500;31232;7;2;512;65;0,062500;512;2
3,250000;31744;7;3;0;68;0,187500;1536;6
3,437500;33280;7;4;512;58;0,062500;512;2
3,500000;33792;8;1;0;70;0,062500;512;2
3,562500;34304;8;1;512;68;0,062500;512;2
3,625000;34816;8;2;0;67;0,062500;512;2
3,687500;35328;8;2;512;65;0,062500;512;2
3,750000;35840;8;3;0;68;0,125000;1024;4
3,875000;36864;8;4;0;67;0,062500;512;2
3,937500;37376;8;4;512;65;0,062500;512;2
4,000000;37888;9;1;0;67;0,000000;0;0
