Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;3;512;64;0,062500;512;2
0,062500;8192;1;4;0;69;0,062500;512;2
0,125000;8704;1;4;512;72;0,062500;512;2
0,187500;9216;2;1;0;76;0,500000;4096;16
0,687500;13312;3;1;0;75;0,062500;512;2
0,750000;13824;3;1;512;74;0,062500;512;2
0,812500;14336;3;2;0;72;0,062500;512;2
0,875000;14848;3;2;512;69;0,062500;512;2
0,937500;15360;3;3;0;74;0,187500;1536;6
1,125000;16896;3;4;512;72;0,062500;512;2
1,187500;17408;4;1;0;69;0,062500;512;2
1,250000;17920;4;1;512;67;0,031250;256;1
1,281250;18176;4;1;768;69;0,656250;5376;21
1,937500;23552;5;3;0;69;0,062500;512;2
2,000000;24064;5;3;512;72;0,062500;512;2
2,062500;24576;5;4;0;76;0,062500;512;2
2,125000;25088;5;4;512;79;0,062500;512;2
2,187500;25600;6;1;0;76;0,125000;1024;4
2,312500;26624;6;2;0;74;0,125000;1024;4
2,437500;27648;6;3;0;76;0,125000;1024;4
2,562500;28672;6;4;0;74;0,062500;512;2
2,625000;29184;6;4;512;76;0,125000;1024;4
2,750000;30208;7;1;512;64;0,062500;512;2
2,812500;30720;7;2;0;63;0,062500;512;2
2,875000;31232;7;2;512;64;0,062500;512;2
2,937500;31744;7;3;0;69;0,062500;512;2
3,000000;32256;7;3;512;72;0,062500;512;2
3,062500;32768;7;4;0;74;0,062500;512;2
3,125000;33280;7;4;512;72;0,062500;512;2
3,187500;33792;8;1;0;76;0,000000;0;0
