Signature: 12/8, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;12;0;55;0,125000;1024;4
0,125000;25600;2;1;0;60;0,750000;6144;24
0,875000;31744;2;7;0;60;0,250000;2048;8
1,125000;33792;2;9;0;62;0,125000;1024;4
1,250000;34816;2;10;0;64;0,125000;1024;4
1,375000;35840;2;11;0;62;0,125000;1024;4
1,500000;36864;2;12;0;60;0,125000;1024;4
1,625000;37888;3;1;0;59;0,125000;1024;4
1,750000;38912;3;2;0;62;1,125000;9216;36
2,875000;48128;3;11;0;64;0,062378;511;1
2,937378;48639;3;11;511;64;0,187622;1537;6
3,125000;50176;4;1;0;62;0,125000;1024;4
3,250000;51200;4;2;0;62;0,625000;5120;20
3,875000;56320;4;7;0;62;0,187378;1535;5
4,062378;57855;4;8;511;64;0,187622;1537;6
4,250000;59392;4;10;0;65;0,125000;1024;4
4,375000;60416;4;11;0;64;0,062378;511;1
4,437378;60927;4;11;511;62;0,187622;1537;6
4,625000;62464;5;1;0;60;0,062378;511;1
4,687378;62975;5;1;511;62;1,125000;9216;36
5,812378;72191;5;10;511;69;0,187622;1537;6
6,000000;73728;5;12;0;69;0,125000;1024;4
6,125000;74752;6;1;0;72;0,375000;3072;12
6,500000;77824;6;4;0;72;0,375000;3072;12
6,875000;80896;6;7;0;72;0,062378;511;1
6,937378;81407;6;7;511;72;0,312622;2561;10
7,250000;83968;6;10;0;72;0,250000;2048;8
7,500000;86016;6;12;0;72;0,125000;1024;4
7,625000;87040;7;1;0;71;0,250000;2048;8
7,875000;89088;7;3;0;67;0,125000;1024;4
8,000000;90112;7;4;0;64;0,812378;6655;25
8,812378;96767;7;10;511;71;0,187622;1537;6
9,000000;98304;7;12;0;67;0,125000;1024;4
9,125000;99328;8;1;0;69;0,250000;2048;8
9,375000;101376;8;3;0;65;0,125000;1024;4
9,500000;102400;8;4;0;64;0,000000;0;0
