Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;4;0;67;0,062500;512;2
0,062500;8704;1;4;512;67;0,062500;512;2
0,125000;9216;2;1;0;69;0,125000;1024;4
0,250000;10240;2;2;0;67;0,062500;512;2
0,312500;10752;2;2;512;67;0,062500;512;2
0,375000;11264;2;3;0;67;0,125000;1024;4
0,500000;12288;2;4;0;65;0,062500;512;2
0,562500;12800;2;4;512;62;0,062500;512;2
0,625000;13312;3;1;0;64;0,375000;3072;12
1,000000;16384;3;4;0;72;0,062500;512;2
1,062500;16896;3;4;512;76;0,062500;512;2
1,125000;17408;4;1;0;77;0,062500;512;2
1,187500;17920;4;1;512;76;0,125000;1024;4
1,312500;18944;4;2;512;76;0,062500;512;2
1,375000;19456;4;3;0;76;0,125000;1024;4
1,500000;20480;4;4;0;72;0,062500;512;2
1,562500;20992;4;4;512;74;0,062500;512;2
1,625000;21504;5;1;0;76;0,312500;2560;10
1,937500;24064;5;3;512;69;0,062500;512;2
2,000000;24576;5;4;0;72;0,062500;512;2
2,062500;25088;5;4;512;76;0,062500;512;2
2,125000;25600;6;1;0;77;0,125000;1024;4
2,250000;26624;6;2;0;76;0,125000;1024;4
2,375000;27648;6;3;0;74;0,062500;512;2
2,437500;28160;6;3;512;72;0,062500;512;2
2,500000;28672;6;4;0;69;0,437500;3584;14
2,937500;32256;7;3;512;76;0,062500;512;2
3,000000;32768;7;4;0;74;0,062500;512;2
3,062500;33280;7;4;512;76;0,062500;512;2
3,125000;33792;8;1;0;77;0,125000;1024;4
3,250000;34816;8;2;0;79;0,250000;2048;8
3,500000;36864;8;4;0;76;0,062500;512;2
3,562500;37376;8;4;512;76;0,062500;512;2
3,625000;37888;9;1;0;77;0,125000;1024;4
3,750000;38912;9;2;0;79;0,250000;2048;8
4,000000;40960;9;4;0;77;0,125000;1024;4
4,125000;41984;10;1;0;77;0,125000;1024;4
4,250000;43008;10;2;0;74;0,125000;1024;4
4,375000;44032;10;3;0;72;0,125000;1024;4
4,500000;45056;10;4;0;71;0,125000;1024;4
4,625000;46080;11;1;0;67;0,000000;0;0
