Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;71;0,187500;1536;6
0,187500;6656;1;2;512;72;0,062500;512;2
0,250000;7168;1;3;0;74;0,125000;1024;4
0,375000;8192;1;4;0;67;0,125000;1024;4
0,500000;9216;2;1;0;67;0,125000;1024;4
0,625000;10240;2;2;0;67;0,093750;768;3
0,718750;11008;2;2;768;69;0,031250;256;1
0,750000;11264;2;3;0;67;0,125000;1024;4
0,875000;12288;2;4;0;72;0,125000;1024;4
1,000000;13312;3;1;0;72;0,250000;2048;8
1,250000;15360;3;3;0;69;0,125000;1024;4
1,375000;16384;3;4;0;65;0,062500;512;2
1,437500;16896;3;4;512;69;0,062500;512;2
1,500000;17408;4;1;0;67;0,500000;4096;16
2,000000;21504;5;1;0;64;0,250000;2048;8
2,250000;23552;5;3;0;62;0,093750;768;3
2,343750;24320;5;3;768;60;0,031250;256;1
2,375000;24576;5;4;0;64;0,093750;768;3
2,468750;25344;5;4;768;62;0,031250;256;1
2,500000;25600;6;1;0;60;0,125000;1024;4
2,625000;26624;6;2;0;72;0,125000;1024;4
2,750000;27648;6;3;0;69;0,062500;512;2
2,812500;28160;6;3;512;72;0,187500;1536;6
3,000000;29696;7;1;0;67;0,125000;1024;4
3,125000;30720;7;2;0;64;0,093750;768;3
3,218750;31488;7;2;768;60;0,031250;256;1
3,250000;31744;7;3;0;62;0,125000;1024;4
3,375000;32768;7;4;0;62;0,093750;768;3
3,468750;33536;7;4;768;62;0,031250;256;1
3,500000;33792;8;1;0;60;0,000000;0;0
