Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;72;0,125000;1024;4
0,125000;6144;1;2;0;60;0,062500;512;2
0,187500;6656;1;2;512;60;0,062500;512;2
0,250000;7168;1;3;0;69;0,187500;1536;6
0,437500;8704;1;4;512;69;0,062500;512;2
0,500000;9216;2;1;0;67;0,062500;512;2
0,562500;9728;2;1;512;67;0,062500;512;2
0,625000;10240;2;2;0;69;0,062500;512;2
0,687500;10752;2;2;512;67;0,062500;512;2
0,750000;11264;2;3;0;69;0,250000;2048;8
1,000000;13312;3;1;0;64;0,125000;1024;4
1,125000;14336;3;2;0;69;0,125000;1024;4
1,250000;15360;3;3;0;62;0,187500;1536;6
1,437500;16896;3;4;512;62;0,062500;512;2
1,500000;17408;4;1;0;69;0,187500;1536;6
1,687500;18944;4;2;512;67;0,062500;512;2
1,750000;19456;4;3;0;65;0,125000;1024;4
1,875000;20480;4;4;0;67;0,062500;512;2
1,937500;20992;4;4;512;65;0,062500;512;2
2,000000;21504;5;1;0;69;0,187500;1536;6
2,187500;23040;5;2;512;67;0,062500;512;2
2,250000;23552;5;3;0;65;0,125000;1024;4
2,375000;24576;5;4;0;67;0,062500;512;2
2,437500;25088;5;4;512;65;0,062500;512;2
2,500000;25600;6;1;0;64;0,062500;512;2
2,562500;26112;6;1;512;64;0,062500;512;2
2,625000;26624;6;2;0;69;0,062500;512;2
2,687500;27136;6;2;512;69;0,062500;512;2
2,750000;27648;6;3;0;65;0,062500;512;2
2,812500;28160;6;3;512;62;0,000000;0;0
