Signature: 12/8, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;71;0,500000;4096;16
0,500000;17408;1;5;0;70;0,125000;1024;4
0,625000;18432;1;6;0;71;0,125000;1024;4
0,750000;19456;1;7;0;75;0,250000;2048;8
1,000000;21504;1;9;0;71;0,125000;1024;4
1,125000;22528;1;10;0;73;0,125000;1024;4
1,250000;23552;1;11;0;75;0,125000;1024;4
1,375000;24576;1;12;0;73;0,187378;1535;5
1,562378;26111;2;1;511;71;0,375000;3072;12
1,937378;29183;2;4;511;71;0,187622;1537;6
2,125000;30720;2;6;0;73;0,125000;1024;4
2,250000;31744;2;7;0;71;0,750000;6144;24
3,000000;37888;3;1;0;76;0,500000;4096;16
3,500000;41984;3;5;0;75;0,062378;511;1
3,562378;42495;3;5;511;76;0,187622;1537;6
3,750000;44032;3;7;0;75;0,375000;3072;12
4,125000;47104;3;10;0;71;0,125000;1024;4
4,250000;48128;3;11;0;71;0,062378;511;1
4,312378;48639;3;11;511;71;0,187622;1537;6
4,500000;50176;4;1;0;75;0,125000;1024;4
4,625000;51200;4;2;0;73;0,625000;5120;20
5,250000;56320;4;7;0;66;0,500000;4096;16
5,750000;60416;4;11;0;66;0,062378;511;1
5,812378;60927;4;11;511;66;0,187622;1537;6
6,000000;62464;5;1;0;68;0,062378;511;1
6,062378;62975;5;1;511;70;0,312622;2561;10
6,375000;65536;5;4;0;70;0,062378;511;1
6,437378;66047;5;4;511;66;0,312622;2561;10
6,750000;68608;5;7;0;76;0,250000;2048;8
7,000000;70656;5;9;0;73;0,125000;1024;4
7,125000;71680;5;10;0;75;0,062378;511;1
7,187378;72191;5;10;511;73;0,187622;1537;6
7,375000;73728;5;12;0;71;0,125000;1024;4
7,500000;74752;6;1;0;71;0,000000;0;0
