Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;70;0,187500;1536;6
0,187500;6656;1;2;512;71;0,062500;512;2
0,250000;7168;1;3;0;73;0,125000;1024;4
0,375000;8192;1;4;0;68;0,125000;1024;4
0,500000;9216;2;1;0;66;0,125000;1024;4
0,625000;10240;2;2;0;68;0,125000;1024;4
0,750000;11264;2;3;0;66;0,125000;1024;4
0,875000;12288;2;4;0;70;0,125000;1024;4
1,000000;13312;3;1;0;70;0,125000;1024;4
1,125000;14336;3;2;0;68;0,125000;1024;4
1,250000;15360;3;3;0;64;0,125000;1024;4
1,375000;16384;3;4;0;68;0,125000;1024;4
1,500000;17408;4;1;0;66;0,500000;4096;16
2,000000;21504;5;1;0;63;0,250000;2048;8
2,250000;23552;5;3;0;61;0,062500;512;2
2,312500;24064;5;3;512;59;0,062500;512;2
2,375000;24576;5;4;0;63;0,062500;512;2
2,437500;25088;5;4;512;61;0,062500;512;2
2,500000;25600;6;1;0;63;0,125000;1024;4
2,625000;26624;6;2;0;71;0,125000;1024;4
2,750000;27648;6;3;0;70;0,187500;1536;6
2,937500;29184;6;4;512;71;0,062500;512;2
3,000000;29696;7;1;0;68;0,125000;1024;4
3,125000;30720;7;2;0;63;0,062500;512;2
3,187500;31232;7;2;512;59;0,062500;512;2
3,250000;31744;7;3;0;61;0,125000;1024;4
3,375000;32768;7;4;0;61;0,062500;512;2
3,437500;33280;7;4;512;61;0,062500;512;2
3,500000;33792;8;1;0;59;0,000000;0;0
