Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;66;0,125000;1024;4
0,125000;6144;1;2;0;69;0,375000;3072;12
0,500000;9216;2;1;0;73;0,125000;1024;4
0,625000;10240;2;2;0;72;0,250000;2048;8
0,875000;12288;2;4;0;70;0,125000;1024;4
1,000000;13312;3;1;0;68;0,125000;1024;4
1,125000;14336;3;2;0;65;0,375000;3072;12
1,500000;17408;4;1;0;62;0,125000;1024;4
1,625000;18432;4;2;0;62;0,375000;3072;12
2,000000;21504;5;1;0;64;0,375000;3072;12
2,375000;24576;5;4;0;64;0,125000;1024;4
2,500000;25600;6;1;0;64;0,187500;1536;6
2,687500;27136;6;2;512;66;0,031250;256;1
2,718750;27392;6;2;768;64;0,031250;256;1
2,750000;27648;6;3;0;62;0,125000;1024;4
2,875000;28672;6;4;0;64;0,125000;1024;4
3,000000;29696;7;1;0;66;0,000000;0;0
