Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;63;0,125000;1024;4
0,125000;6144;1;2;0;63;0,062500;512;2
0,187500;6656;1;2;512;63;0,062500;512;2
0,250000;7168;1;3;0;73;0,062500;512;2
0,312500;7680;1;3;512;72;0,062500;512;2
0,375000;8192;1;4;0;68;0,812500;6656;26
1,187500;14848;3;2;512;72;0,062500;512;2
1,250000;15360;3;3;0;72;0,062500;512;2
1,312500;15872;3;3;512;73;0,062500;512;2
1,375000;16384;3;4;0;72;0,062500;512;2
1,437500;16896;3;4;512;70;0,687500;5632;22
2,125000;22528;5;2;0;70;0,062500;512;2
2,187500;23040;5;2;512;70;0,062500;512;2
2,250000;23552;5;3;0;70;0,062500;512;2
2,312500;24064;5;3;512;70;0,062500;512;2
2,375000;24576;5;4;0;68;0,062500;512;2
2,437500;25088;5;4;512;70;0,062500;512;2
2,500000;25600;6;1;0;70;0,187500;1536;6
2,687500;27136;6;2;512;70;0,062500;512;2
2,750000;27648;6;3;0;70;0,062500;512;2
2,812500;28160;6;3;512;70;0,062500;512;2
2,875000;28672;6;4;0;72;0,062500;512;2
2,937500;29184;6;4;512;73;0,125000;1024;4
3,062500;30208;7;1;512;70;0,062500;512;2
3,125000;30720;7;2;0;70;0,062500;512;2
3,187500;31232;7;2;512;72;0,062500;512;2
3,250000;31744;7;3;0;73;0,125000;1024;4
3,375000;32768;7;4;0;72;0,062500;512;2
3,437500;33280;7;4;512;68;0,000000;0;0
