Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;64;0,062500;512;2
0,062500;5632;1;1;512;64;0,062500;512;2
0,125000;6144;1;2;0;66;0,062500;512;2
0,187500;6656;1;2;512;66;0,062500;512;2
0,250000;7168;1;3;0;62;0,125000;1024;4
0,375000;8192;1;4;0;57;0,062500;512;2
0,437500;8704;1;4;512;64;0,062500;512;2
0,500000;9216;2;1;0;64;0,062500;512;2
0,562500;9728;2;1;512;64;0,062500;512;2
0,625000;10240;2;2;0;66;0,062500;512;2
0,687500;10752;2;2;512;66;0,062500;512;2
0,750000;11264;2;3;0;62;0,250000;2048;8
1,000000;13312;3;1;0;67;0,062500;512;2
1,062500;13824;3;1;512;67;0,062500;512;2
1,125000;14336;3;2;0;66;0,062500;512;2
1,187500;14848;3;2;512;66;0,062500;512;2
1,250000;15360;3;3;0;62;0,187500;1536;6
1,437500;16896;3;4;512;57;0,062500;512;2
1,500000;17408;4;1;0;64;0,062500;512;2
1,562500;17920;4;1;512;64;0,125000;1024;4
1,687500;18944;4;2;512;64;0,062500;512;2
1,750000;19456;4;3;0;62;0,062500;512;2
1,812500;19968;4;3;512;66;0,187500;1536;6
2,000000;21504;5;1;0;66;0,062500;512;2
2,062500;22016;5;1;512;66;0,062500;512;2
2,125000;22528;5;2;0;67;0,062500;512;2
2,187500;23040;5;2;512;67;0,062500;512;2
2,250000;23552;5;3;0;64;0,125000;1024;4
2,375000;24576;5;4;0;57;0,062500;512;2
2,437500;25088;5;4;512;66;0,125000;1024;4
2,562500;26112;6;1;512;66;0,062500;512;2
2,625000;26624;6;2;0;66;0,062500;512;2
2,687500;27136;6;2;512;67;0,062500;512;2
2,750000;27648;6;3;0;64;0,187500;1536;6
2,937500;29184;6;4;512;57;0,062500;512;2
3,000000;29696;7;1;0;69;0,062500;512;2
3,062500;30208;7;1;512;67;0,062500;512;2
3,125000;30720;7;2;0;69;0,062500;512;2
3,187500;31232;7;2;512;67;0,062500;512;2
3,250000;31744;7;3;0;67;0,187500;1536;6
3,437500;33280;7;4;512;57;0,062500;512;2
3,500000;33792;8;1;0;67;0,062500;512;2
3,562500;34304;8;1;512;67;0,062500;512;2
3,625000;34816;8;2;0;69;0,062500;512;2
3,687500;35328;8;2;512;71;0,062500;512;2
3,750000;35840;8;3;0;67;0,125000;1024;4
3,875000;36864;8;4;0;66;0,062500;512;2
3,937500;37376;8;4;512;67;0,062500;512;2
4,000000;37888;9;1;0;66;0,000000;0;0
