Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;1;0;70;0,062500;512;2
0,062500;5632;1;1;512;70;0,062500;512;2
0,125000;6144;1;2;0;70;0,062500;512;2
0,187500;6656;1;2;512;71;0,062500;512;2
0,250000;7168;1;3;0;68;0,062500;512;2
0,312500;7680;1;3;512;68;0,062500;512;2
0,375000;8192;1;4;0;68;0,062500;512;2
0,437500;8704;1;4;512;70;0,062500;512;2
0,500000;9216;2;1;0;66;0,375000;3072;12
0,875000;12288;2;4;0;70;0,062500;512;2
0,937500;12800;2;4;512;68;0,062500;512;2
1,000000;13312;3;1;0;66;0,062500;512;2
1,062500;13824;3;1;512;66;0,062500;512;2
1,125000;14336;3;2;0;66;0,062500;512;2
1,187500;14848;3;2;512;68;0,062500;512;2
1,250000;15360;3;3;0;65;0,062500;512;2
1,312500;15872;3;3;512;65;0,062500;512;2
1,375000;16384;3;4;0;65;0,062500;512;2
1,437500;16896;3;4;512;66;0,062500;512;2
1,500000;17408;4;1;0;63;0,562500;4608;18
2,062500;22016;5;1;512;75;0,062500;512;2
2,125000;22528;5;2;0;75;0,062500;512;2
2,187500;23040;5;2;512;71;0,062500;512;2
2,250000;23552;5;3;0;73;0,062500;512;2
2,312500;24064;5;3;512;73;0,062500;512;2
2,375000;24576;5;4;0;70;0,062500;512;2
2,437500;25088;5;4;512;71;0,062500;512;2
2,500000;25600;6;1;0;71;0,312500;2560;10
2,812500;28160;6;3;512;66;0,125000;1024;4
2,937500;29184;6;4;512;68;0,062500;512;2
3,000000;29696;7;1;0;70;0,062500;512;2
3,062500;30208;7;1;512;70;0,062500;512;2
3,125000;30720;7;2;0;70;0,062500;512;2
3,187500;31232;7;2;512;66;0,062500;512;2
3,250000;31744;7;3;0;68;0,062500;512;2
3,312500;32256;7;3;512;68;0,062500;512;2
3,375000;32768;7;4;0;68;0,062500;512;2
3,437500;33280;7;4;512;73;0,062500;512;2
3,500000;33792;8;1;0;66;0,000000;0;0
