Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;3;512;61;0,062500;512;2
0,062500;8192;1;4;0;64;0,062500;512;2
0,125000;8704;1;4;512;66;0,062500;512;2
0,187500;9216;2;1;0;68;0,500000;4096;16
0,687500;13312;3;1;0;67;0,062500;512;2
0,750000;13824;3;1;512;66;0,062500;512;2
0,812500;14336;3;2;0;65;0,062500;512;2
0,875000;14848;3;2;512;64;0,062500;512;2
0,937500;15360;3;3;0;66;0,125000;1024;4
1,062500;16384;3;4;0;64;0,250000;2048;8
1,312500;18432;4;2;0;61;0,062500;512;2
1,375000;18944;4;2;512;60;0,031250;256;1
1,406250;19200;4;2;768;61;0,656250;5376;21
2,062500;24576;5;4;0;61;0,062500;512;2
2,125000;25088;5;4;512;64;0,062500;512;2
2,187500;25600;6;1;0;68;0,062500;512;2
2,250000;26112;6;1;512;71;0,062500;512;2
2,312500;26624;6;2;0;68;0,062500;512;2
2,375000;27136;6;2;512;67;0,031250;256;1
2,406250;27392;6;2;768;68;0,156250;1280;5
2,562500;28672;6;4;0;67;0,062500;512;2
2,625000;29184;6;4;512;68;0,250000;2048;8
2,875000;31232;7;2;512;56;0,062500;512;2
2,937500;31744;7;3;0;55;0,062500;512;2
3,000000;32256;7;3;512;56;0,062500;512;2
3,062500;32768;7;4;0;61;0,062500;512;2
3,125000;33280;7;4;512;64;0,062500;512;2
3,187500;33792;8;1;0;66;0,062500;512;2
3,250000;34304;8;1;512;64;0,062500;512;2
3,312500;34816;8;2;0;68;0,000000;0;0
