Signature: 12/8, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;7;0;64;0,500000;4096;16
0,500000;23552;1;11;0;64;0,125000;1024;4
0,625000;24576;1;12;0;64;0,125000;1024;4
0,750000;25600;2;1;0;71;0,250000;2048;8
1,000000;27648;2;3;0;68;0,125000;1024;4
1,125000;28672;2;4;0;68;0,250000;2048;8
1,375000;30720;2;6;0;64;0,125000;1024;4
1,500000;31744;2;7;0;74;0,500000;4096;16
2,000000;35840;2;11;0;74;0,125000;1024;4
2,125000;36864;2;12;0;74;0,125000;1024;4
2,250000;37888;3;1;0;73;0,375000;3072;12
2,625000;40960;3;4;0;69;0,125000;1024;4
2,750000;41984;3;5;0;69;0,062378;511;1
2,812378;42495;3;5;511;69;0,187622;1537;6
3,000000;44032;3;7;0;71;0,750000;6144;24
3,750000;50176;4;1;0;74;0,187378;1535;5
3,937378;51711;4;2;511;73;0,187622;1537;6
4,125000;53248;4;4;0;73;0,125000;1024;4
4,250000;54272;4;5;0;71;0,062378;511;1
4,312378;54783;4;5;511;69;0,187622;1537;6
4,500000;56320;4;7;0;69;0,750000;6144;24
5,250000;62464;5;1;0;68;0,437378;3583;13
5,687378;66047;5;4;511;67;0,187622;1537;6
5,875000;67584;5;6;0;68;0,125000;1024;4
6,000000;68608;5;7;0;72;0,250000;2048;8
6,250000;70656;5;9;0;70;0,125000;1024;4
6,375000;71680;5;10;0;70;0,250000;2048;8
6,625000;73728;5;12;0;72;0,125000;1024;4
6,750000;74752;6;1;0;70;0,062378;511;1
6,812378;75263;6;1;511;68;0,375000;3072;12
7,187378;78335;6;4;511;68;0,187622;1537;6
7,375000;79872;6;6;0;70;0,125000;1024;4
7,500000;80896;6;7;0;72;0,000000;0;0
