Trial,Standard,Variante,Mean_similarity,Transposition
A1,aorig.csv,km6.csv,1.33,-6
A2,aorig.csv,ka3.csv,3.17,-3
A3,aorig.csv,ka2.csv,5.58,-1
A4,aorig.csv,ka4.csv,3.67,2
A5,aorig.csv,kk1.csv,1.5,1
A6,aorig.csv,ka6.csv,4.75,-2
A7,aorig.csv,ka1.csv,3.67,-1
A8,aorig.csv,kg2.csv,1.08,1
A9,aorig.csv,ka5.csv,3.83,2
A10,aorig.csv,kf4.csv,1.33,-1
A11,aorig.csv,ka3.csv,2.67,-3
A12,aorig.csv,khorig.csv,1.5,-5
B1,corig.csv,kd6.csv,2.83,3
B2,corig.csv,kc6.csv,6.83,1
B3,corig.csv,kc2.csv,3.5,0
B4,corig.csv,kb2.csv,2.08,-1
B5,corig.csv,kd3.csv,2.17,4
B6,corig.csv,kc4.csv,6.08,-1
B7,corig.csv,ke2.csv,3.08,1
B8,corig.csv,kc1.csv,5.17,-2
B9,corig.csv,kc5.csv,4.75,0
B10,corig.csv,km1.csv,2.25,-1
B11,corig.csv,kd1.csv,1.75,5
B12,corig.csv,kc3.csv,4.42,-2
