Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;2;0;62;0,250000;2048;8
0,250000;8192;1;4;0;65;0,125000;1024;4
0,375000;9216;2;1;0;70;0,375000;3072;12
0,750000;12288;2;4;0;65;0,062500;512;2
0,812500;12800;2;4;512;67;0,062500;512;2
0,875000;13312;3;1;0;69;0,250000;2048;8
1,125000;15360;3;3;0;59;0,125000;1024;4
1,250000;16384;3;4;0;59;0,125000;1024;4
1,375000;17408;4;1;0;59;0,375000;3072;12
1,750000;20480;4;4;0;59;0,125000;1024;4
1,875000;21504;5;1;0;61;0,375000;3072;12
2,250000;24576;5;4;0;61;0,125000;1024;4
2,375000;25600;6;1;0;61;0,187500;1536;6
2,562500;27136;6;2;512;61;0,031250;256;1
2,593750;27392;6;2;768;61;0,031250;256;1
2,625000;27648;6;3;0;59;0,125000;1024;4
2,750000;28672;6;4;0;59;0,125000;1024;4
2,875000;29696;7;1;0;63;0,000000;0;0
