Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;4;512;63;0,062500;512;2
0,062500;9216;2;1;0;61;0,125000;1024;4
0,187500;10240;2;2;0;57;0,062500;512;2
0,250000;10752;2;2;512;61;0,062500;512;2
0,312500;11264;2;3;0;63;0,125000;1024;4
0,437500;12288;2;4;0;59;0,125000;1024;4
0,562500;13312;3;1;0;64;0,250000;2048;8
0,812500;15360;3;3;0;64;0,125000;1024;4
0,937500;16384;3;4;0;64;0,187500;1536;6
1,125000;17920;4;1;512;63;0,062500;512;2
1,187500;18432;4;2;0;61;0,062500;512;2
1,250000;18944;4;2;512;57;0,062500;512;2
1,312500;19456;4;3;0;61;0,125000;1024;4
1,437500;20480;4;4;0;64;0,125000;1024;4
1,562500;21504;5;1;0;63;0,062500;512;2
1,625000;22016;5;1;512;59;0,375000;3072;12
2,000000;25088;5;4;512;63;0,125000;1024;4
2,125000;26112;6;1;512;63;0,062500;512;2
2,187500;26624;6;2;0;61;0,125000;1024;4
2,312500;27648;6;3;0;57;0,125000;1024;4
2,437500;28672;6;4;0;61;0,125000;1024;4
2,562500;29696;7;1;0;59;0,125000;1024;4
2,687500;30720;7;2;0;64;0,125000;1024;4
2,812500;31744;7;3;0;64;0,250000;2048;8
3,062500;33792;8;1;0;64;0,187500;1536;6
3,250000;35328;8;2;512;64;0,062500;512;2
3,312500;35840;8;3;0;64;0,062500;512;2
3,375000;36352;8;3;512;61;0,062500;512;2
3,437500;36864;8;4;0;64;0,062500;512;2
3,500000;37376;8;4;512;61;0,062500;512;2
3,562500;37888;9;1;0;68;0,125000;1024;4
3,687500;38912;9;2;0;66;0,062500;512;2
3,750000;39424;9;2;512;64;0,000000;0;0
