Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;4;512;56;0,062500;512;2
0,062500;9216;2;1;0;68;0,062500;512;2
0,125000;9728;2;1;512;66;0,062500;512;2
0,187500;10240;2;2;0;65;0,062500;512;2
0,250000;10752;2;2;512;63;0,062500;512;2
0,312500;11264;2;3;0;66;0,187500;1536;6
0,500000;12800;2;4;512;56;0,062500;512;2
0,562500;13312;3;1;0;68;0,062500;512;2
0,625000;13824;3;1;512;66;0,062500;512;2
0,687500;14336;3;2;0;65;0,062500;512;2
0,750000;14848;3;2;512;63;0,062500;512;2
0,812500;15360;3;3;0;66;0,125000;1024;4
0,937500;16384;3;4;0;65;0,062500;512;2
1,000000;16896;3;4;512;63;0,062500;512;2
1,062500;17408;4;1;0;65;0,062500;512;2
1,125000;17920;4;1;512;65;0,062500;512;2
1,187500;18432;4;2;0;66;0,062500;512;2
1,250000;18944;4;2;512;66;0,062500;512;2
1,312500;19456;4;3;0;63;0,125000;1024;4
1,437500;20480;4;4;0;56;0,062500;512;2
1,500000;20992;4;4;512;65;0,125000;1024;4
1,625000;22016;5;1;512;65;0,062500;512;2
1,687500;22528;5;2;0;65;0,062500;512;2
1,750000;23040;5;2;512;66;0,062500;512;2
1,812500;23552;5;3;0;63;0,250000;2048;8
2,062500;25600;6;1;0;63;0,062500;512;2
2,125000;26112;6;1;512;63;0,062500;512;2
2,187500;26624;6;2;0;65;0,062500;512;2
2,250000;27136;6;2;512;65;0,062500;512;2
2,312500;27648;6;3;0;61;0,125000;1024;4
2,437500;28672;6;4;0;56;0,062500;512;2
2,500000;29184;6;4;512;63;0,125000;1024;4
2,625000;30208;7;1;512;63;0,062500;512;2
2,687500;30720;7;2;0;65;0,062500;512;2
2,750000;31232;7;2;512;65;0,062500;512;2
2,812500;31744;7;3;0;61;0,250000;2048;8
3,062500;33792;8;1;0;63;0,062500;512;2
3,125000;34304;8;1;512;63;0,062500;512;2
3,187500;34816;8;2;0;65;0,062500;512;2
3,250000;35328;8;2;512;65;0,062500;512;2
3,312500;35840;8;3;0;61;0,125000;1024;4
3,437500;36864;8;4;0;56;0,062500;512;2
3,500000;37376;8;4;512;63;0,125000;1024;4
3,625000;38400;9;1;512;63;0,062500;512;2
3,687500;38912;9;2;0;63;0,062500;512;2
3,750000;39424;9;2;512;61;0,062500;512;2
3,812500;39936;9;3;0;65;0,000000;0;0
