Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;4;0;64;0,062500;512;2
0,062500;8704;1;4;512;65;0,062500;512;2
0,125000;9216;2;1;0;62;0,125000;1024;4
0,250000;10240;2;2;0;58;0,062500;512;2
0,312500;10752;2;2;512;61;0,062500;512;2
0,375000;11264;2;3;0;64;0,125000;1024;4
0,500000;12288;2;4;0;60;0,062500;512;2
0,562500;12800;2;4;512;64;0,062500;512;2
0,625000;13312;3;1;0;65;0,187500;1536;6
0,812500;14848;3;2;512;65;0,125000;1024;4
0,937500;15872;3;3;512;65;0,125000;1024;4
1,062500;16896;3;4;512;64;0,062500;512;2
1,125000;17408;4;1;0;65;0,062500;512;2
1,187500;17920;4;1;512;62;0,062500;512;2
1,250000;18432;4;2;0;58;0,062500;512;2
1,312500;18944;4;2;512;62;0,062500;512;2
1,375000;19456;4;3;0;58;0,062500;512;2
1,437500;19968;4;3;512;65;0,125000;1024;4
1,562500;20992;4;4;512;64;0,062500;512;2
1,625000;21504;5;1;0;60;0,437500;3584;14
2,062500;25088;5;4;512;63;0,062500;512;2
2,125000;25600;6;1;0;65;0,062500;512;2
2,187500;26112;6;1;512;62;0,187500;1536;6
2,375000;27648;6;3;0;58;0,125000;1024;4
2,500000;28672;6;4;0;65;0,187500;1536;6
2,687500;30208;7;1;512;60;0,125000;1024;4
2,812500;31232;7;2;512;65;0,125000;1024;4
2,937500;32256;7;3;512;65;0,125000;1024;4
3,062500;33280;7;4;512;65;0,125000;1024;4
3,187500;34304;8;1;512;62;0,062500;512;2
3,250000;34816;8;2;0;65;0,062500;512;2
3,312500;35328;8;2;512;65;0,062500;512;2
3,375000;35840;8;3;0;62;0,062500;512;2
3,437500;36352;8;3;512;67;0,062500;512;2
3,500000;36864;8;4;0;64;0,062500;512;2
3,562500;37376;8;4;512;69;0,125000;1024;4
3,687500;38400;9;1;512;67;0,062500;512;2
3,750000;38912;9;2;0;65;0,000000;0;0
