Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16
0,000000;0;1;4;512;75;0,062500;512;2
0,062500;9216;2;1;0;77;0,062500;512;2
0,125000;9728;2;1;512;75;0,062500;512;2
0,187500;10240;2;2;0;73;0,125000;1024;4
0,312500;11264;2;3;0;75;0,187500;1536;6
0,500000;12800;2;4;512;70;0,500000;4096;16
1,000000;16896;3;4;512;75;0,062500;512;2
1,062500;17408;4;1;0;77;0,062500;512;2
1,125000;17920;4;1;512;75;0,062500;512;2
1,187500;18432;4;2;0;77;0,125000;1024;4
1,312500;19456;4;3;0;82;0,125000;1024;4
1,437500;20480;4;4;0;77;0,062500;512;2
1,500000;20992;4;4;512;80;0,437500;3584;14
1,937500;24576;5;4;0;73;0,125000;1024;4
2,062500;25600;6;1;0;73;0,125000;1024;4
2,187500;26624;6;2;0;77;0,062500;512;2
2,250000;27136;6;2;512;75;0,125000;1024;4
2,375000;28160;6;3;512;72;0,125000;1024;4
2,500000;29184;6;4;512;73;0,062500;512;2
2,562500;29696;7;1;0;76;0,062500;512;2
2,625000;30208;7;1;512;75;0,062500;512;2
2,687500;30720;7;2;0;73;0,062500;512;2
2,750000;31232;7;2;512;70;0,250000;2048;8
3,000000;33280;7;4;512;73;0,062500;512;2
3,062500;33792;8;1;0;76;0,062500;512;2
3,125000;34304;8;1;512;75;0,125000;1024;4
3,250000;35328;8;2;512;73;0,062500;512;2
3,312500;35840;8;3;0;75;0,125000;1024;4
3,437500;36864;8;4;0;70;0,062500;512;2
3,500000;37376;8;4;512;73;0,000000;0;0
