onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
12.75;0.0625;4;2;7;2;2;0.5;"""4/4""";60
13.0;0.0625;4;2;7;3;1;0.5;"""4/4""";64
13.25;0.6458;4;2;7;3;2;0.5;"""4/4""";65
14.0;0.75;4;1;8;1;1;0.5;"""4/4""";67
14.75;0.0625;4;2;8;2;2;0.5;"""4/4""";64
15.0;0.3958;4;1;8;3;1;0.5;"""4/4""";67
15.5;0.3958;4;1;8;4;1;0.5;"""4/4""";69
16.0;0.4167;4;1;9;1;1;0.5;"""4/4""";70
16.75;0.125;4;2;9;2;2;0.5;"""4/4""";70
17.0;0.3958;4;1;9;3;1;0.5;"""4/4""";69
17.5;0.3958;4;1;9;4;1;0.5;"""4/4""";67
18.0;0.4375;4;1;10;1;1;0.5;"""4/4""";65
18.5;0.0833;4;2;10;2;1;0.5;"""4/4""";67
18.75;0.1042;4;2;10;2;2;0.5;"""4/4""";65
19.25;0.2292;4;2;10;3;2;0.5;"""4/4""";64
19.5;2.375;4;1;10;4;1;0.5;"""4/4""";62
22.75;0.0833;4;2;12;2;2;0.5;"""4/4""";60
23.0;0.0833;4;2;12;3;1;0.5;"""4/4""";64
23.25;0.6875;4;2;12;3;2;0.5;"""4/4""";65
24.0;0.7292;4;1;13;1;1;0.5;"""4/4""";67
24.75;0.0625;4;2;13;2;2;0.5;"""4/4""";64
25.0;0.0833;4;2;13;3;1;0.5;"""4/4""";67
25.25;0.7292;4;2;13;3;2;0.5;"""4/4""";69
26.0;0.2083;4;1;14;1;1;0.5;"""4/4""";70
26.5;0.1667;4;2;14;2;1;0.5;"""4/4""";70
26.75;0.6667;4;2;14;2;2;0.5;"""4/4""";69
27.5;0.4167;4;1;14;4;1;0.5;"""4/4""";67
28.0;0.4167;4;1;15;1;1;0.5;"""4/4""";65
28.5;0.0833;4;2;15;2;1;0.5;"""4/4""";60
28.75;0.3125;4;2;15;2;2;0.5;"""4/4""";65
29.25;0.0625;4;2;15;3;2;0.5;"""4/4""";67
29.5;1.2292;4;1;15;4;1;0.5;"""4/4""";69
30.75;0.1042;4;2;16;2;2;0.5;"""4/4""";65
31.0;0.4167;4;1;16;3;1;0.5;"""4/4""";69
31.5;0.3958;4;1;16;4;1;0.5;"""4/4""";71
32.0;1.4167;4;1;17;1;1;0.5;"""4/4""";72
33.5;0.3958;4;1;17;4;1;0.5;"""4/4""";71
34.0;0.1458;4;2;18;1;1;0.5;"""4/4""";74
34.25;1.6458;4;2;18;1;2;0.5;"""4/4""";72
36.75;0.1458;4;2;19;2;2;0.5;"""4/4""";71
37.0;0.3958;4;1;19;3;1;0.5;"""4/4""";72
37.5;0.3958;4;1;19;4;1;0.5;"""4/4""";74
38.0;0.375;4;1;20;1;1;0.5;"""4/4""";76
38.5;0.4167;4;1;20;2;1;0.5;"""4/4""";76
39.0;0.375;4;1;20;3;1;0.5;"""4/4""";77
39.5;0.0833;4;2;20;4;1;0.5;"""4/4""";76
39.75;0.3542;4;2;20;4;2;0.5;"""4/4""";74
40.25;0.3958;4;2;21;1;2;0.5;"""4/4""";76
40.75;0.0833;4;2;21;2;2;0.5;"""4/4""";77
41.0;0.3958;4;1;21;3;1;0.5;"""4/4""";76
41.5;0.4583;4;1;21;4;1;0.5;"""4/4""";74
46.0;0.3542;4;1;24;1;1;0.5;"""4/4""";76
46.5;0.3958;4;1;24;2;1;0.5;"""4/4""";76
47.0;0.4583;4;1;24;3;1;0.5;"""4/4""";77
47.5;0.1042;4;2;24;4;1;0.5;"""4/4""";76
47.75;0.3542;4;2;24;4;2;0.5;"""4/4""";74
48.25;0.3333;4;2;25;1;2;0.5;"""4/4""";76
48.75;0.0833;4;2;25;2;2;0.5;"""4/4""";77
49.0;0.3958;4;1;25;3;1;0.5;"""4/4""";76
49.5;0.3333;4;1;25;4;1;0.5;"""4/4""";74
53.0;0.4375;4;1;27;3;1;0.5;"""4/4""";76
53.5;0.4792;4;1;27;4;1;0.5;"""4/4""";72
54.0;1.4583;4;1;28;1;1;0.5;"""4/4""";71
55.5;0.4583;4;1;28;4;1;0.5;"""4/4""";72
56.0;0.125;4;2;29;1;1;0.5;"""4/4""";71
56.25;0.25;4;2;29;1;2;0.5;"""4/4""";69
56.5;1.5417;4;1;29;2;1;0.5;"""4/4""";64
58.5;0.4167;4;1;30;2;1;0.5;"""4/4""";64
59.0;0.4167;4;1;30;3;1;0.5;"""4/4""";69
59.5;0.375;4;1;30;4;1;0.5;"""4/4""";72
60.0;1.2083;4;1;31;1;1;0.5;"""4/4""";76
61.25;0.1875;4;2;31;3;2;0.5;"""4/4""";77
61.5;0.4583;4;1;31;4;1;0.5;"""4/4""";76
62.0;0.5833;4;1;32;1;1;0.5;"""4/4""";74
62.75;0.125;4;2;32;2;2;0.5;"""4/4""";67
63.0;0.25;4;2;32;3;1;0.5;"""4/4""";76
63.25;0.1042;4;2;32;3;2;0.5;"""4/4""";74
63.5;0.1875;4;2;32;4;1;0.5;"""4/4""";72
63.75;0.1042;4;2;32;4;2;0.5;"""4/4""";69
64.0;0.6875;4;1;33;1;1;0.5;"""4/4""";67
64.75;0.0625;4;2;33;2;2;0.5;"""4/4""";65
65.0;1.9375;4;1;33;3;1;0.5;"""4/4""";64
67.0;0.25;4;2;34;3;1;0.5;"""4/4""";62
67.25;0.0625;4;2;34;3;2;0.5;"""4/4""";60
67.5;0.25;4;2;34;4;1;0.5;"""4/4""";62
67.75;0.0833;4;2;34;4;2;0.5;"""4/4""";60
68.0;0.25;4;2;35;1;1;0.5;"""4/4""";62
68.25;3.4583;4;2;35;1;2;0.5;"""4/4""";64
72.75;0.0625;4;2;37;2;2;0.5;"""4/4""";60
73.0;0.0625;4;2;37;3;1;0.5;"""4/4""";64
73.25;0.6458;4;2;37;3;2;0.5;"""4/4""";65
74.0;0.75;4;1;38;1;1;0.5;"""4/4""";67
74.75;0.0625;4;2;38;2;2;0.5;"""4/4""";64
75.0;0.3958;4;1;38;3;1;0.5;"""4/4""";67
75.5;0.3958;4;1;38;4;1;0.5;"""4/4""";69
76.0;0.4167;4;1;39;1;1;0.5;"""4/4""";70
76.75;0.125;4;2;39;2;2;0.5;"""4/4""";70
77.0;0.3958;4;1;39;3;1;0.5;"""4/4""";69
77.5;0.3958;4;1;39;4;1;0.5;"""4/4""";67
78.0;0.4375;4;1;40;1;1;0.5;"""4/4""";65
78.5;0.0833;4;2;40;2;1;0.5;"""4/4""";67
78.75;0.1042;4;2;40;2;2;0.5;"""4/4""";65
79.25;0.2292;4;2;40;3;2;0.5;"""4/4""";64
79.5;2.375;4;1;40;4;1;0.5;"""4/4""";62
82.75;0.0833;4;2;42;2;2;0.5;"""4/4""";60
83.0;0.0833;4;2;42;3;1;0.5;"""4/4""";64
83.25;0.6875;4;2;42;3;2;0.5;"""4/4""";65
84.0;0.7292;4;1;43;1;1;0.5;"""4/4""";67
84.75;0.0625;4;2;43;2;2;0.5;"""4/4""";64
85.0;0.0833;4;2;43;3;1;0.5;"""4/4""";67
85.25;0.7292;4;2;43;3;2;0.5;"""4/4""";69
86.0;0.2083;4;1;44;1;1;0.5;"""4/4""";70
86.5;0.1667;4;2;44;2;1;0.5;"""4/4""";70
86.75;0.6667;4;2;44;2;2;0.5;"""4/4""";69
87.5;0.4167;4;1;44;4;1;0.5;"""4/4""";67
88.0;0.4167;4;1;45;1;1;0.5;"""4/4""";65
88.5;0.0833;4;2;45;2;1;0.5;"""4/4""";60
88.75;0.3125;4;2;45;2;2;0.5;"""4/4""";65
89.25;0.0625;4;2;45;3;2;0.5;"""4/4""";67
89.5;1.2292;4;1;45;4;1;0.5;"""4/4""";69
90.75;0.1042;4;2;46;2;2;0.5;"""4/4""";65
91.0;0.4167;4;1;46;3;1;0.5;"""4/4""";69
91.5;0.3958;4;1;46;4;1;0.5;"""4/4""";71
92.0;1.4167;4;1;47;1;1;0.5;"""4/4""";72
93.5;0.3958;4;1;47;4;1;0.5;"""4/4""";71
94.0;0.1458;4;2;48;1;1;0.5;"""4/4""";74
94.25;1.6458;4;2;48;1;2;0.5;"""4/4""";72
96.75;0.1458;4;2;49;2;2;0.5;"""4/4""";71
97.0;0.3958;4;1;49;3;1;0.5;"""4/4""";72
97.5;0.3958;4;1;49;4;1;0.5;"""4/4""";74
98.0;0.375;4;1;50;1;1;0.5;"""4/4""";76
98.5;0.4167;4;1;50;2;1;0.5;"""4/4""";76
99.0;0.375;4;1;50;3;1;0.5;"""4/4""";77
99.5;0.0833;4;2;50;4;1;0.5;"""4/4""";76
