onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch
6.7606;1.6901;4;1;5;1;1;0.422537325954;"""4/4""";62
8.4507;1.6901;4;1;6;1;1;0.422537325954;"""4/4""";64
10.1408;0.2113;4;2;7;1;1;0.422537325954;"""4/4""";62
10.3521;0.0704;4;2;7;1;2;0.422537325954;"""4/4""";61
10.5634;0.088;4;2;7;2;1;0.422537325954;"""4/4""";62
10.7746;0.0704;4;2;7;2;2;0.422537325954;"""4/4""";61
10.9859;0.2113;4;2;7;3;1;0.422537325954;"""4/4""";62
11.1972;0.1408;4;2;7;3;2;0.422537325954;"""4/4""";61
11.4084;0.1585;4;2;7;4;1;0.422537325954;"""4/4""";62
11.6197;0.088;4;2;7;4;2;0.422537325954;"""4/4""";60
11.831;0.1056;4;2;8;1;1;0.422537325954;"""4/4""";62
12.0422;0.3169;4;2;8;1;2;0.422537325954;"""4/4""";62
12.4648;0.5634;4;2;8;2;2;0.422537325954;"""4/4""";62
13.3099;0.3169;4;2;8;4;2;0.422537325954;"""4/4""";60
13.7324;0.1937;4;2;9;1;2;0.422537325954;"""4/4""";60
13.9437;0.2113;4;2;9;2;1;0.422537325954;"""4/4""";62
14.1549;0.2113;4;2;9;2;2;0.422537325954;"""4/4""";64
14.3662;0.088;4;2;9;3;1;0.422537325954;"""4/4""";57
14.5775;0.3169;4;2;9;3;2;0.422537325954;"""4/4""";57
15.0;0.9507;4;2;9;4;2;0.422537325954;"""4/4""";57
16.6901;0.4049;4;2;10;4;2;0.422537325954;"""4/4""";62
17.1127;0.088;4;2;11;1;2;0.422537325954;"""4/4""";61
17.3239;0.1585;4;2;11;2;1;0.422537325954;"""4/4""";62
17.5352;0.0704;4;2;11;2;2;0.422537325954;"""4/4""";61
17.7465;0.2113;4;2;11;3;1;0.422537325954;"""4/4""";62
17.9577;0.088;4;2;11;3;2;0.422537325954;"""4/4""";61
18.169;0.1232;4;2;11;4;1;0.422537325954;"""4/4""";62
18.3803;0.2113;4;2;11;4;2;0.422537325954;"""4/4""";61
18.5915;0.088;4;2;12;1;1;0.422537325954;"""4/4""";62
18.8028;0.3345;4;2;12;1;2;0.422537325954;"""4/4""";62
19.2253;0.7218;4;2;12;2;2;0.422537325954;"""4/4""";62
20.0704;0.3169;4;2;12;4;2;0.422537325954;"""4/4""";60
20.4929;0.2113;4;2;13;1;2;0.422537325954;"""4/4""";60
20.7042;0.2113;4;2;13;2;1;0.422537325954;"""4/4""";62
20.9155;0.2113;4;2;13;2;2;0.422537325954;"""4/4""";64
21.1268;0.2113;4;2;13;3;1;0.422537325954;"""4/4""";62
21.338;0.2993;4;2;13;3;2;0.422537325954;"""4/4""";57
21.7606;0.2993;4;2;13;4;2;0.422537325954;"""4/4""";57
22.1831;0.2113;4;2;14;1;2;0.422537325954;"""4/4""";57
22.3944;0.0704;4;4;14;2;1;0.422537325954;"""4/4""";62
22.5;0.0704;4;4;14;2;2;0.422537325954;"""4/4""";62
22.6056;0.1232;4;4;14;2;3;0.422537325954;"""4/4""";62
22.8169;0.1232;4;2;14;3;1;0.422537325954;"""4/4""";62
23.0282;0.1056;4;2;14;3;2;0.422537325954;"""4/4""";62
23.2394;0.1408;4;2;14;4;1;0.422537325954;"""4/4""";62
23.4507;0.7218;4;2;14;4;2;0.422537325954;"""4/4""";61
25.5634;0.2113;4;2;16;1;2;0.422537325954;"""4/4""";60
25.7746;0.1761;4;2;16;2;1;0.422537325954;"""4/4""";62
25.9859;0.088;4;2;16;2;2;0.422537325954;"""4/4""";60
26.1972;0.088;4;2;16;3;1;0.422537325954;"""4/4""";62
26.4084;0.088;4;2;16;3;2;0.422537325954;"""4/4""";60
26.6197;0.1056;4;2;16;4;1;0.422537325954;"""4/4""";62
26.831;0.757;4;2;16;4;2;0.422537325954;"""4/4""";60
27.676;0.9331;4;2;17;2;2;0.422537325954;"""4/4""";57
28.9436;0.3873;4;2;18;1;2;0.422537325954;"""4/4""";62
29.3662;0.0704;4;4;18;2;3;0.422537325954;"""4/4""";57
29.4718;0.088;4;4;18;2;4;0.422537325954;"""4/4""";57
29.5775;0.088;4;2;18;3;1;0.422537325954;"""4/4""";62
29.7887;0.088;4;2;18;3;2;0.422537325954;"""4/4""";62
30.0;0.1585;4;2;18;4;1;0.422537325954;"""4/4""";62
30.2113;1.0035;4;2;18;4;2;0.422537325954;"""4/4""";61
33.8028;0.2113;4;2;21;1;1;0.422537325954;"""4/4""";62
34.0141;0.0704;4;2;21;1;2;0.422537325954;"""4/4""";61
34.2253;0.088;4;2;21;2;1;0.422537325954;"""4/4""";62
34.4366;0.0704;4;2;21;2;2;0.422537325954;"""4/4""";61
34.6479;0.2113;4;2;21;3;1;0.422537325954;"""4/4""";62
34.8591;0.1408;4;2;21;3;2;0.422537325954;"""4/4""";61
35.0704;0.1585;4;2;21;4;1;0.422537325954;"""4/4""";62
35.2817;0.088;4;2;21;4;2;0.422537325954;"""4/4""";60
35.4929;0.1056;4;2;22;1;1;0.422537325954;"""4/4""";62
35.7042;0.3169;4;2;22;1;2;0.422537325954;"""4/4""";62
36.1267;0.5634;4;2;22;2;2;0.422537325954;"""4/4""";62
36.9718;0.3169;4;2;22;4;2;0.422537325954;"""4/4""";60
37.3943;0.1937;4;2;23;1;2;0.422537325954;"""4/4""";60
37.6056;0.2113;4;2;23;2;1;0.422537325954;"""4/4""";62
37.8169;0.2113;4;2;23;2;2;0.422537325954;"""4/4""";64
38.0282;0.088;4;2;23;3;1;0.422537325954;"""4/4""";57
