onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;1.0;4;1;1;1;1;0.5;"""4/4""";69;1;1
1.0;0.5;4;1;1;3;1;0.5;"""4/4""";67;1;0
1.5;0.5;4;1;1;4;1;0.5;"""4/4""";67;1;0
2.0;1.0;4;1;2;1;1;0.5;"""4/4""";65;1;0
3.5;0.25;4;2;2;4;1;0.5;"""4/4""";67;2;1
3.75;0.25;4;2;2;4;2;0.5;"""4/4""";69;2;0
4.0;0.5;4;1;3;1;1;0.5;"""4/4""";70;2;0
4.5;0.5;4;1;3;2;1;0.5;"""4/4""";70;2;0
5.0;0.5;4;1;3;3;1;0.5;"""4/4""";69;2;0
5.5;0.5;4;1;3;4;1;0.5;"""4/4""";72;2;0
6.0;1.0;4;1;4;1;1;0.5;"""4/4""";67;2;0
7.5;0.25;4;2;4;4;1;0.5;"""4/4""";65;3;1
7.75;0.25;4;2;4;4;2;0.5;"""4/4""";69;3;0
8.0;0.5;4;1;5;1;1;0.5;"""4/4""";72;3;0
8.5;0.5;4;1;5;2;1;0.5;"""4/4""";72;3;0
9.0;0.5;4;1;5;3;1;0.5;"""4/4""";77;3;0
9.5;0.5;4;1;5;4;1;0.5;"""4/4""";74;3;0
10.0;0.5;4;1;6;1;1;0.5;"""4/4""";74;3;0
10.5;0.5;4;1;6;2;1;0.5;"""4/4""";72;3;0
11.0;1.0;4;1;6;3;1;0.5;"""4/4""";72;3;0
12.0;0.75;4;1;7;1;1;0.5;"""4/4""";69;4;1
12.75;0.25;4;2;7;2;2;0.5;"""4/4""";67;4;0
13.0;0.5;4;1;7;3;1;0.5;"""4/4""";70;4;0
13.5;0.5;4;1;7;4;1;0.5;"""4/4""";67;4;0
14.0;0.5;4;1;8;1;1;0.5;"""4/4""";65;4;0
14.5;0.5;4;1;8;2;1;0.5;"""4/4""";64;4;0
15.0;1.0;4;1;8;3;1;0.5;"""4/4""";65;4;0
