onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.25;2;6;1;1;1;0.5;"""6/8""";67;1;1
0.25;0.0833333333333;2;6;1;1;4;0.5;"""6/8""";66;1;0
0.333333333333;0.166666666667;2;6;1;1;5;0.5;"""6/8""";67;1;0
0.5;0.166666666667;2;3;1;2;1;0.5;"""6/8""";69;1;0
0.666666666667;0.166666666667;2;3;1;2;2;0.5;"""6/8""";67;1;0
0.833333333333;0.166666666667;2;3;1;2;3;0.5;"""6/8""";69;1;0
1.0;1.5;3;1;2;1;1;0.5;"""3/8""";71;1;0
2.5;1.5;3;1;3;1;1;0.5;"""3/8""";74;2;1
4.0;0.5;3;1;4;1;1;0.5;"""3/8""";71;2;0
4.5;0.5;3;1;4;2;1;0.5;"""3/8""";71;2;0
5.0;0.25;3;2;4;3;1;0.5;"""3/8""";69;2;0
5.25;0.25;3;2;4;3;2;0.5;"""3/8""";69;2;0
5.5;0.5;3;1;5;1;1;0.5;"""3/8""";69;2;0
6.0;0.5;3;1;5;2;1;0.5;"""3/8""";69;2;0
6.5;0.25;3;2;5;3;1;0.5;"""3/8""";69;3;1
6.75;0.25;3;2;5;3;2;0.5;"""3/8""";69;3;0
7.0;0.5;3;1;6;1;1;0.5;"""3/8""";71;3;0
7.5;0.5;3;1;6;2;1;0.5;"""3/8""";71;3;0
8.0;0.5;3;1;6;3;1;0.5;"""3/8""";69;3;0
8.5;1.0;3;1;7;1;1;0.5;"""3/8""";67;3;0
9.5;0.5;3;1;7;3;1;0.5;"""3/8""";62;4;1
10.0;0.25;2;6;8;1;1;0.5;"""6/8""";67;4;0
10.25;0.0833333333333;2;6;8;1;4;0.5;"""6/8""";66;4;0
10.3333333333;0.166666666667;2;6;8;1;5;0.5;"""6/8""";67;4;0
10.5;0.166666666667;2;3;8;2;1;0.5;"""6/8""";69;4;0
10.6666666667;0.166666666667;2;3;8;2;2;0.5;"""6/8""";67;4;0
10.8333333333;0.166666666667;2;3;8;2;3;0.5;"""6/8""";69;4;0
11.0;0.5;2;1;9;1;1;0.5;"""6/8""";71;4;0
11.8333333333;0.0833333333333;2;6;9;2;5;0.5;"""6/8""";67;5;1
11.9166666667;0.0833333333333;2;6;9;2;6;0.5;"""6/8""";71;5;0
12.0;0.333333333333;2;3;10;1;1;0.5;"""6/8""";74;5;0
12.3333333333;0.166666666667;2;3;10;1;3;0.5;"""6/8""";74;5;0
12.5;0.333333333333;2;3;10;2;1;0.5;"""6/8""";72;5;0
12.8333333333;0.166666666667;2;3;10;2;3;0.5;"""6/8""";74;5;0
13.0;0.333333333333;2;1;11;1;1;0.5;"""6/8""";71;5;0
14.0;0.5;3;1;12;1;1;0.5;"""3/8""";71;6;1
14.5;0.5;3;1;12;2;1;0.5;"""3/8""";71;6;0
15.0;0.5;3;1;12;3;1;0.5;"""3/8""";69;6;0
15.5;0.5;3;1;13;1;1;0.5;"""3/8""";71;6;0
16.0;0.25;3;2;13;2;1;0.5;"""3/8""";71;6;0
16.25;0.25;3;2;13;2;2;0.5;"""3/8""";71;6;0
16.5;0.5;3;1;13;3;1;0.5;"""3/8""";69;6;0
17.0;0.25;2;6;14;1;1;0.5;"""6/8""";67;7;1
17.25;0.0833333333333;2;6;14;1;4;0.5;"""6/8""";66;7;0
17.3333333333;0.166666666667;2;6;14;1;5;0.5;"""6/8""";67;7;0
17.5;0.166666666667;2;3;14;2;1;0.5;"""6/8""";69;7;0
17.6666666667;0.166666666667;2;3;14;2;2;0.5;"""6/8""";67;7;0
17.8333333333;0.166666666667;2;3;14;2;3;0.5;"""6/8""";69;7;0
18.0;1.5;3;1;15;1;1;0.5;"""3/8""";71;7;0
19.5;1.5;3;1;16;1;1;0.5;"""3/8""";74;8;1
21.0;0.5;3;1;17;1;1;0.5;"""3/8""";71;8;0
21.5;0.5;3;1;17;2;1;0.5;"""3/8""";71;8;0
22.0;0.25;3;2;17;3;1;0.5;"""3/8""";69;8;0
22.25;0.25;3;2;17;3;2;0.5;"""3/8""";69;8;0
22.5;0.5;3;1;18;1;1;0.5;"""3/8""";69;8;0
23.0;0.5;3;1;18;2;1;0.5;"""3/8""";69;8;0
23.5;0.25;3;2;18;3;1;0.5;"""3/8""";69;9;1
23.75;0.25;3;2;18;3;2;0.5;"""3/8""";69;9;0
24.0;0.5;3;1;19;1;1;0.5;"""3/8""";71;9;0
24.5;0.5;3;1;19;2;1;0.5;"""3/8""";71;9;0
25.0;0.5;3;1;19;3;1;0.5;"""3/8""";69;9;0
25.5;1.5;3;1;20;1;1;0.5;"""3/8""";67;9;0
