onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.5;4;1;1;1;1;0.5;"""4/4""";71;1;1
0.5;0.5;4;1;1;2;1;0.5;"""4/4""";71;1;0
1.0;0.5;4;1;1;3;1;0.5;"""4/4""";71;1;0
1.5;0.5;4;1;1;4;1;0.5;"""4/4""";71;1;0
2.0;0.5;4;1;2;1;1;0.5;"""4/4""";71;1;0
2.5;0.5;4;1;2;2;1;0.5;"""4/4""";72;1;0
3.0;1.0;4;1;2;3;1;0.5;"""4/4""";74;1;0
4.0;0.5;4;1;3;1;1;0.5;"""4/4""";76;2;1
4.5;0.5;4;1;3;2;1;0.5;"""4/4""";72;2;0
5.0;0.5;4;1;3;3;1;0.5;"""4/4""";71;2;0
5.5;0.5;4;1;3;4;1;0.5;"""4/4""";69;2;0
6.0;1.0;4;1;4;1;1;0.5;"""4/4""";69;2;0
7.0;0.5;4;1;4;3;1;0.5;"""4/4""";67;2;0
8.0;0.5;4;1;5;1;1;0.5;"""4/4""";71;3;1
8.5;0.5;4;1;5;2;1;0.5;"""4/4""";71;3;0
9.0;0.5;4;1;5;3;1;0.5;"""4/4""";71;3;0
9.5;0.5;4;1;5;4;1;0.5;"""4/4""";71;3;0
10.0;0.5;4;1;6;1;1;0.5;"""4/4""";71;3;0
10.5;0.5;4;1;6;2;1;0.5;"""4/4""";72;3;0
11.0;1.0;4;1;6;3;1;0.5;"""4/4""";74;3;0
12.0;0.5;4;1;7;1;1;0.5;"""4/4""";76;4;1
12.5;0.5;4;1;7;2;1;0.5;"""4/4""";72;4;0
13.0;0.5;4;1;7;3;1;0.5;"""4/4""";71;4;0
13.5;0.5;4;1;7;4;1;0.5;"""4/4""";69;4;0
14.0;1.0;4;1;8;1;1;0.5;"""4/4""";69;4;0
15.0;0.5;4;1;8;3;1;0.5;"""4/4""";67;4;0
16.0;1.0;4;1;9;1;1;0.5;"""4/4""";74;5;1
17.0;1.0;4;1;9;3;1;0.5;"""4/4""";71;5;0
18.0;1.0;4;1;10;1;1;0.5;"""4/4""";74;5;0
19.0;1.0;4;1;10;3;1;0.5;"""4/4""";71;5;0
20.0;1.0;4;1;11;1;1;0.5;"""4/4""";72;5;0
21.0;1.0;4;1;11;3;1;0.5;"""4/4""";76;5;0
22.0;1.0;4;1;12;1;1;0.5;"""4/4""";74;5;0
23.5;0.5;4;1;12;4;1;0.5;"""4/4""";74;6;1
24.0;1.0;4;1;13;1;1;0.5;"""4/4""";74;6;0
25.0;0.5;4;1;13;3;1;0.5;"""4/4""";71;6;0
25.5;0.5;4;1;13;4;1;0.5;"""4/4""";74;6;0
26.0;1.0;4;1;14;1;1;0.5;"""4/4""";74;6;0
27.0;0.5;4;1;14;3;1;0.5;"""4/4""";71;6;0
27.5;0.5;4;1;14;4;1;0.5;"""4/4""";71;6;0
28.0;1.0;4;1;15;1;1;0.5;"""4/4""";72;6;0
29.0;1.0;4;1;15;3;1;0.5;"""4/4""";76;6;0
30.0;1.0;4;1;16;1;1;0.5;"""4/4""";74;6;0
