onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
0.780770975057;0.124807256236;4;2;-1;4;1;0.24380952381;"""4/4""";72;1;1;-1;NC;I1;lick
0.905578231293;0.116099773243;4;2;-1;4;2;0.24380952381;"""4/4""";73;1;0;-1;NC;I1;lick
1.02458049887;0.127709750567;4;2;0;1;1;0.255419501134;"""4/4""";72;1;0;-1;NC;I1;lick
1.15229024943;0.104489795918;4;2;0;1;2;0.255419501134;"""4/4""";70;1;0;-1;NC;I1;lick
1.26548752834;0.116099773243;4;2;0;2;1;0.245623582766;"""4/4""";68;1;0;-1;NC;I1;lick
1.38739229025;0.121904761905;4;2;0;2;2;0.245623582766;"""4/4""";67;1;0;-1;NC;I1;lick
1.52961451247;0.0725623582766;4;1;0;3;1;0.279727891156;"""4/4""";64;1;0;-1;NC;I1;lick
1.81405895692;0.214784580499;4;1;0;4;1;0.27537414966;"""4/4""";60;1;0;-1;NC;I1;lick
2.06367346939;0.153832199546;4;1;1;1;1;0.244172335601;"""4/4""";65;1;0;-1;NC;I1;lick
2.5887755102;0.16253968254;4;1;1;3;1;0.242630385488;"""4/4""";72;1;0;1;F-7;A1;lick
3.10612244898;0.145124716553;4;1;2;1;1;0.263560090703;"""4/4""";68;1;0;1;C79#;A1;lick
3.48009070295;0.104489795918;4;2;2;2;2;0.251972789116;"""4/4""";64;1;0;1;C79#;A1;lick
3.77614512472;0.148027210884;4;2;2;3;2;0.275759637188;"""4/4""";71;1;0;1;C79#;A1;lick
3.97641723356;0.487619047619;4;2;2;4;2;0.24335600907;"""4/4""";72;1;0;1;C79#;A1;lick
4.47854875283;0.104489795918;4;2;3;2;2;0.271768707483;"""4/4""";73;1;0;1;F-7;A1;lick
4.62657596372;0.133514739229;4;2;3;3;1;0.247551020408;"""4/4""";72;1;0;1;F-7;A1;lick
4.76879818594;0.119002267574;4;2;3;3;2;0.247551020408;"""4/4""";70;1;0;1;F-7;A1;lick
6.35065759637;0.142222222222;4;1;5;2;1;0.25716553288;"""4/4""";73;2;1;1;Bb-7;A1;lick
6.61188208617;0.496326530612;4;1;5;3;1;0.258639455782;"""4/4""";77;2;0;1;Bb-7;A1;lick
7.16335600907;0.336689342404;4;1;6;1;1;0.265102040816;"""4/4""";72;2;0;1;F79#;A1;lick
7.52036281179;0.168344671202;4;2;6;2;2;0.263696145125;"""4/4""";75;2;0;1;F79#;A1;lick
7.90058956916;0.104489795918;4;4;6;3;4;0.276689342404;"""4/4""";73;2;0;1;F79#;A1;lick
8.32145124717;0.0522448979592;4;4;7;1;3;0.25052154195;"""4/4""";64;2;0;1;Bb-7;A1;lick
8.37369614512;0.121904761905;4;4;7;1;4;0.25052154195;"""4/4""";65;2;0;1;Bb-7;A1;lick
8.54204081633;0.0986848072562;4;2;7;2;2;0.245827664399;"""4/4""";72;2;0;1;Bb-7;A1;lick
10.3735147392;0.0667573696145;4;3;9;2;1;0.262857142857;"""4/4""";61;3;1;1;Dbj7;B1;line_w_alds
10.5505668934;0.0696598639456;4;3;9;2;3;0.262857142857;"""4/4""";63;3;0;1;Dbj7;B1;line_w_alds
10.6202267574;0.142222222222;4;2;9;3;1;0.277551020408;"""4/4""";65;3;0;1;Dbj7;B1;line_w_alds
10.7827664399;0.119002267574;4;2;9;3;2;0.277551020408;"""4/4""";67;3;0;1;Dbj7;B1;line_w_alds
10.9017687075;0.116099773243;4;2;9;4;1;0.266326530612;"""4/4""";68;3;0;1;Dbj7;B1;line_w_alds
11.0178684807;0.119002267574;4;2;9;4;2;0.266326530612;"""4/4""";70;3;0;1;Dbj7;B1;line_w_alds
11.3313378685;0.0696598639456;4;2;10;1;2;0.253174603175;"""4/4""";64;3;0;1;D-7;B1;line_w_alds
11.4068027211;0.101587301587;4;2;10;2;1;0.236394557823;"""4/4""";65;3;0;1;D-7;B1;line_w_alds
11.528707483;0.107392290249;4;2;10;2;2;0.236394557823;"""4/4""";67;3;0;1;D-7;B1;line_w_alds
11.6506122449;0.127709750567;4;4;10;3;1;0.257256235828;"""4/4""";69;3;0;1;D-7;B1;line_w_alds
11.7957369615;0.0783673469388;4;4;10;3;3;0.257256235828;"""4/4""";71;3;0;1;G7;B1;line_w_alds
11.8857142857;0.145124716553;4;4;10;3;4;0.257256235828;"""4/4""";72;3;0;1;G7;B1;line_w_alds
12.0395464853;0.133514739229;4;2;10;4;2;0.251065759637;"""4/4""";73;3;0;1;G7;B1;line_w_alds
12.1730612245;0.119002267574;4;2;11;1;1;0.251995464853;"""4/4""";74;3;0;1;G7;B1;line_w_alds
12.2978684807;0.127709750567;4;2;11;1;2;0.251995464853;"""4/4""";76;3;0;1;Cj7;B1;line_w_alds
12.4255782313;0.119002267574;4;2;11;2;1;0.239977324263;"""4/4""";74;3;0;1;Cj7;B1;line_w_alds
12.5707029478;0.113197278912;4;2;11;2;2;0.239977324263;"""4/4""";72;3;0;1;Cj7;B1;line_w_alds
12.6926077098;0.101587301587;4;2;11;3;1;0.26716553288;"""4/4""";71;3;0;1;Cj7;B1;line_w_alds
12.8145124717;0.104489795918;4;2;11;3;2;0.26716553288;"""4/4""";69;3;0;1;Cj7;B1;line_w_alds
12.9190022676;0.121904761905;4;1;11;4;1;0.234580498866;"""4/4""";67;3;0;1;Cj7;B1;line_w_alds
13.685260771;0.11029478458;4;4;12;3;1;0.25664399093;"""4/4""";80;4;1;1;F#7;B1;line_t_dlas
13.8100680272;0.0580498866213;4;4;12;3;3;0.25664399093;"""4/4""";78;4;0;1;F#7;B1;line_t_dlas
13.8768253968;0.0638548752834;4;4;12;3;4;0.25664399093;"""4/4""";76;4;0;1;F#7;B1;line_t_dlas
13.9464852608;0.119002267574;4;2;12;4;1;0.252993197279;"""4/4""";75;4;0;1;F#7;B1;line_t_dlas
14.0770975057;0.119002267574;4;2;12;4;2;0.252993197279;"""4/4""";73;4;0;1;F#7;B1;line_t_dlas
14.2048072562;0.121904761905;4;2;13;1;1;0.262811791383;"""4/4""";71;4;0;1;Bj7;B1;line_t_dlas
14.3267120181;0.116099773243;4;2;13;1;2;0.262811791383;"""4/4""";69;4;0;1;Bj7;B1;line_t_dlas
14.4602267574;0.476009070295;4;1;13;2;1;0.243401360544;"""4/4""";70;4;0;1;Bj7;B1;line_t_dlas
15.5080272109;0.0754648526077;4;3;14;2;2;0.246507936508;"""4/4""";62;5;1;1;C-7;B1;line_w_a
