onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.8398185941;0.104489795918;4;6;0;4;1;0.439365079365;"""4/4""";70;1;1;-1;NC;I1;lick
5.95301587302;0.0696598639456;4;6;0;4;2;0.439365079365;"""4/4""";71;1;0;-1;NC;I1;lick
6.03718820862;0.214784580499;4;6;0;4;3;0.439365079365;"""4/4""";77;1;0;-1;NC;I1;lick
6.27229024943;0.211882086168;4;6;0;4;6;0.439365079365;"""4/4""";77;1;0;-1;NC;I1;lick
6.48979591837;0.0857142857143;4;2;1;1;2;0.461065759637;"""4/4""";75;1;0;1;Fsus7;A1;lick
8.30612244898;0.0897959183673;4;2;2;1;2;0.441473922902;"""4/4""";79;2;1;1;Bbsus7;A1;lick
8.68571428571;0.216326530612;4;2;2;2;2;0.40566893424;"""4/4""";77;2;0;1;Bbsus7;A1;lick
8.90204081633;0.244897959184;4;2;2;3;1;0.423378684807;"""4/4""";77;2;0;1;Bbsus7;A1;lick
9.15102040816;0.171428571429;4;2;2;3;2;0.423378684807;"""4/4""";75;2;0;1;Bbsus7;A1;lick
9.35102040816;0.175510204082;4;2;2;4;1;0.443560090703;"""4/4""";72;2;0;1;Bbsus7;A1;lick
9.55102040816;0.151020408163;4;2;2;4;2;0.443560090703;"""4/4""";67;2;0;1;Bbsus7;A1;lick
9.78140589569;0.211882086168;4;2;3;1;1;0.430680272109;"""4/4""";65;2;0;1;Fsus7;A1;lick
10.0223129252;0.11029478458;4;2;3;1;2;0.430680272109;"""4/4""";65;2;0;1;Fsus7;A1;lick
12.587755102;0.126530612245;4;4;4;3;3;0.405487528345;"""4/4""";79;3;1;1;Fsus7;A1;void->##lick
12.7142857143;0.0571428571429;4;4;4;3;4;0.405487528345;"""4/4""";78;3;0;1;Fsus7;A1;void->##lick
12.7714285714;0.0734693877551;4;2;4;4;1;0.40589569161;"""4/4""";79;3;0;1;Fsus7;A1;void->##lick
12.9551020408;0.244897959184;4;2;4;4;2;0.40589569161;"""4/4""";77;3;0;1;Fsus7;A1;void->##lick
13.2040816327;0.195918367347;4;2;5;1;1;0.433968253968;"""4/4""";77;3;0;1;Bbsus7;A1;void->##lick
13.4163265306;0.175510204082;4;2;5;1;2;0.433968253968;"""4/4""";75;3;0;1;Bbsus7;A1;void->##lick
13.5918367347;0.244897959184;4;3;5;2;1;0.423083900227;"""4/4""";72;3;0;1;Bbsus7;A1;void->##lick
13.8816326531;0.159183673469;4;3;5;2;3;0.423083900227;"""4/4""";67;3;0;1;Bbsus7;A1;void->##lick
14.3306122449;0.155102040816;4;2;5;3;2;0.433922902494;"""4/4""";65;3;0;1;Bbsus7;A1;void->##lick
15.8081632653;0.0775510204082;4;4;6;3;1;0.423696145125;"""4/4""";68;4;1;1;Bbsus7;A1;lick
15.8857142857;0.065306122449;4;4;6;3;2;0.423696145125;"""4/4""";70;4;0;1;Bbsus7;A1;lick
16.1224489796;0.065306122449;4;4;6;3;4;0.423696145125;"""4/4""";68;4;0;1;Bbsus7;A1;lick
16.1959183673;0.0612244897959;4;3;6;4;1;0.415918367347;"""4/4""";70;4;0;1;Bbsus7;A1;lick
16.3632653061;0.0816326530612;4;3;6;4;2;0.415918367347;"""4/4""";68;4;0;1;Bbsus7;A1;lick
16.4530612245;0.118367346939;4;3;6;4;3;0.415918367347;"""4/4""";70;4;0;1;Bbsus7;A1;lick
16.6448979592;0.0816326530612;4;6;7;1;1;0.454761904762;"""4/4""";68;4;0;1;Fsus7;A1;lick
16.7357823129;0.278639455782;4;6;7;1;3;0.454761904762;"""4/4""";70;4;0;1;Fsus7;A1;lick
17.0204081633;0.212244897959;4;6;7;1;6;0.454761904762;"""4/4""";68;4;0;1;Fsus7;A1;lick
17.2857142857;0.359183673469;4;2;7;2;2;0.415079365079;"""4/4""";65;4;0;1;Fsus7;A1;lick
