onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
10.2632199546;0.172698412698;4;3;1;2;1;0.530612244898;"""4/4""";68;1;1;1;F79#;A1;melody
10.4367346939;0.133514739229;4;3;1;2;2;0.530612244898;"""4/4""";67;1;0;1;F79#;A1;melody
10.5941043084;0.174149659864;4;3;1;2;3;0.530612244898;"""4/4""";68;1;0;1;F79#;A1;melody
10.7755102041;1.62448979592;4;1;1;3;1;0.522448979592;"""4/4""";69;1;0;1;F79#;A1;melody
12.4163265306;0.481632653061;4;1;2;2;1;0.522448979592;"""4/4""";68;1;0;1;F79#;A1;melody
12.9387755102;0.481632653061;4;1;2;3;1;0.517278911565;"""4/4""";69;1;0;1;F79#;A1;melody
13.4285714286;0.375510204082;4;1;2;4;1;0.521133786848;"""4/4""";68;1;0;1;F79#;A1;melody
13.8367346939;0.808163265306;4;1;3;1;1;0.511519274376;"""4/4""";69;1;0;1;F79#;A1;melody
14.6857142857;0.228571428571;4;2;3;2;2;0.530861678005;"""4/4""";67;1;0;1;F79#;A1;melody
15.2;0.171428571429;4;2;3;3;2;0.506961451247;"""4/4""";65;1;0;1;F79#;A1;melody
15.6734693878;0.269387755102;4;2;3;4;2;0.505873015873;"""4/4""";60;1;0;1;F79#;A1;melody
19.3190022676;0.310204081633;4;2;5;3;2;0.520045351474;"""4/4""";56;2;1;1;F79#;A1;void->lick
19.638276644;0.116099773243;4;1;5;4;1;0.535396825397;"""4/4""";56;2;0;1;F79#;A1;void->lick
21.6177777778;0.296054421769;4;2;6;4;1;0.510340136054;"""4/4""";56;3;1;1;F79#;A1;lick
21.9138321995;1.08553287982;4;2;6;4;2;0.510340136054;"""4/4""";57;3;0;1;F79#;A1;lick
23.0066213152;0.161814058957;4;2;7;2;2;0.531065759637;"""4/4""";53;3;0;1;F79#;A1;lick
23.1800453515;0.507936507937;4;1;7;3;1;0.511383219955;"""4/4""";53;3;0;1;F79#;A1;lick
25.7451247166;0.238004535147;4;2;8;4;1;0.520068027211;"""4/4""";63;4;1;1;F79#;A1;lick
26.012154195;0.16253968254;4;2;8;4;2;0.520068027211;"""4/4""";65;4;0;1;F79#;A1;lick
30.9405895692;0.214784580499;4;4;11;2;1;0.530612244898;"""4/4""";79;5;1;1;F79#;A1;void->##expressive
31.184399093;0.116099773243;4;4;11;2;3;0.530612244898;"""4/4""";80;5;0;1;F79#;A1;void->##expressive
31.3411337868;0.16253968254;4;4;11;2;4;0.530612244898;"""4/4""";84;5;0;1;F79#;A1;void->##expressive
34.2897959184;0.0571428571429;4;2;12;4;2;0.521292517007;"""4/4""";79;6;1;1;F79#;A1;lick
34.4642176871;0.510839002268;4;1;13;1;1;0.48306122449;"""4/4""";77;6;0;1;F79#;A1;lick
34.998276644;0.284444444444;4;4;13;2;1;0.519931972789;"""4/4""";72;6;0;1;F79#;A1;lick
35.2827210884;0.116099773243;4;4;13;2;3;0.519931972789;"""4/4""";69;6;0;1;F79#;A1;lick
35.4046258503;0.0696598639456;4;4;13;2;4;0.519931972789;"""4/4""";68;6;0;1;F79#;A1;lick
35.4800907029;0.139319727891;4;1;13;3;1;0.501678004535;"""4/4""";69;6;0;1;F79#;A1;lick
37.0244897959;0.261224489796;4;2;14;2;1;0.505623582766;"""4/4""";68;7;1;1;F79#;A1;lick
37.3142857143;0.204081632653;4;2;14;2;2;0.505623582766;"""4/4""";68;7;0;1;F79#;A1;lick
37.5632653061;0.244897959184;4;2;14;3;1;0.521224489796;"""4/4""";68;7;0;1;F79#;A1;lick
37.8244897959;0.171428571429;4;2;14;3;2;0.521224489796;"""4/4""";67;7;0;1;F79#;A1;lick
38.0571428571;0.25306122449;4;2;14;4;1;0.521315192744;"""4/4""";65;7;0;1;F79#;A1;lick
38.3428571429;0.685714285714;4;2;14;4;2;0.521315192744;"""4/4""";65;7;0;1;F79#;A1;lick
42.1428571429;0.232653061224;4;2;16;4;1;0.501473922902;"""4/4""";65;8;1;1;F79#;A1;void->lick
42.4204081633;0.538775510204;4;2;16;4;2;0.501473922902;"""4/4""";65;8;0;1;F79#;A1;void->lick
42.987755102;0.30612244898;4;2;17;1;2;0.55052154195;"""4/4""";65;8;0;1;F79#;A1;void->lick
43.3469387755;0.310204081633;4;2;17;2;2;0.511609977324;"""4/4""";64;8;0;1;F79#;A1;void->lick
47.2448979592;0.212244897959;4;2;19;2;1;0.495918367347;"""4/4""";70;9;1;1;F79#;A1;void->#7+lick
47.4857142857;0.195918367347;4;2;19;2;2;0.495918367347;"""4/4""";71;9;0;1;F79#;A1;void->#7+lick
48.5993650794;0.174149659864;4;2;19;4;2;0.527664399093;"""4/4""";71;9;0;1;F79#;A1;lick
49.3632653061;0.212244897959;4;2;20;2;1;0.531156462585;"""4/4""";68;9;0;1;F79#;A1;lick
49.612244898;0.208163265306;4;2;20;2;2;0.531156462585;"""4/4""";65;9;0;1;F79#;A1;lick
49.8489795918;0.228571428571;4;2;20;3;1;0.510839002268;"""4/4""";60;9;0;1;F79#;A1;lick
50.1387755102;4.76734693878;4;2;20;3;2;0.510839002268;"""4/4""";58;9;0;1;F79#;A1;lick
54.9674376417;0.0986848072562;4;4;23;1;1;0.491655328798;"""4/4""";63;9;0;1;F79#;A1;lick
55.066122449;0.116099773243;4;4;23;1;2;0.491655328798;"""4/4""";62;9;0;1;F79#;A1;lick
55.1938321995;1.1493877551;4;4;23;1;3;0.491655328798;"""4/4""";63;9;0;1;F79#;A1;lick
58.5375056689;0.121904761905;4;4;24;4;1;0.511995464853;"""4/4""";63;10;1;1;F79#;A1;#lick
58.6653061224;0.118367346939;4;4;24;4;2;0.511995464853;"""4/4""";62;10;0;1;F79#;A1;#lick
58.8040816327;0.142857142857;4;4;24;4;3;0.511995464853;"""4/4""";63;10;0;1;F79#;A1;#lick
58.9551020408;0.118367346939;4;4;24;4;4;0.511995464853;"""4/4""";62;10;0;1;F79#;A1;#lick
59.0773696145;0.203174603175;4;2;25;1;1;0.509909297052;"""4/4""";63;10;0;1;F79#;A1;#lick
59.292154195;0.267029478458;4;2;25;1;2;0.509909297052;"""4/4""";62;10;0;1;F79#;A1;#lick
63.2163265306;0.284444444444;4;2;27;1;1;0.521111111111;"""4/4""";79;11;1;1;F79#;A1;void->melody
63.5239909297;2.54258503401;4;2;27;1;2;0.521111111111;"""4/4""";81;11;0;1;F79#;A1;void->melody
66.0839909297;0.214784580499;4;2;28;2;2;0.501655328798;"""4/4""";82;11;0;1;F79#;A1;void->melody
66.3219954649;0.412154195011;4;1;28;3;1;0.48619047619;"""4/4""";81;11;0;1;F79#;A1;void->melody
66.7457596372;0.296054421769;4;3;28;4;1;0.501337868481;"""4/4""";79;11;0;1;F79#;A1;void->melody
67.0592290249;0.423764172336;4;3;28;4;3;0.501337868481;"""4/4""";77;11;0;1;F79#;A1;void->melody
67.4946031746;0.377324263039;4;2;29;1;2;0.482176870748;"""4/4""";72;11;0;1;F79#;A1;void->melody
67.8719274376;0.208979591837;4;4;29;2;2;0.509977324263;"""4/4""";67;11;0;1;F79#;A1;void->melody
68.1331519274;0.19156462585;4;4;29;2;4;0.509977324263;"""4/4""";69;11;0;1;F79#;A1;void->melody
68.330521542;0.0754648526077;4;4;29;3;2;0.522471655329;"""4/4""";66;11;0;1;F79#;A1;void->melody
68.4408163265;1.21324263039;4;4;29;3;3;0.522471655329;"""4/4""";68;11;0;1;F79#;A1;void->melody
69.6888888889;0.156734693878;4;4;30;1;4;0.525986394558;"""4/4""";67;11;0;1;F79#;A1;void->melody
69.8688435374;0.429569160998;4;1;30;2;1;0.501383219955;"""4/4""";68;11;0;1;F79#;A1;void->melody
70.3100226757;0.278639455782;4;2;30;3;1;0.501700680272;"""4/4""";65;11;0;1;F79#;A1;~lick
70.5944671202;0.203174603175;4;2;30;3;2;0.501700680272;"""4/4""";63;11;0;1;F79#;A1;~lick
70.8150566893;0.24380952381;4;2;30;4;1;0.501609977324;"""4/4""";60;11;0;1;F79#;A1;~lick
71.1111111111;0.174149659864;4;2;30;4;2;0.501609977324;"""4/4""";60;11;0;1;F79#;A1;~lick
71.3258956916;0.476009070295;4;1;31;1;1;0.521201814059;"""4/4""";60;11;0;1;F79#;A1;~lick
71.8309297052;0.0406349206349;4;4;31;2;1;0.501587301587;"""4/4""";63;11;0;1;F79#;A1;~lick
