onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
6.38548752834;0.0816326530612;4;3;1;3;2;0.230770975057;"""4/4""";65;1;1;1;NC;A1;lick
6.47346938776;0.0938775510204;4;3;1;3;3;0.230770975057;"""4/4""";67;1;0;1;NC;A1;lick
6.58575963719;0.0857142857143;4;2;1;4;1;0.241088435374;"""4/4""";68;1;0;1;NC;A1;lick
6.69315192744;0.0816326530612;4;2;1;4;2;0.241088435374;"""4/4""";70;1;0;1;NC;A1;lick
6.80408163265;0.0816326530612;4;2;2;1;1;0.22029478458;"""4/4""";74;1;0;1;NC;A1;lick
6.9137414966;0.0816326530612;4;2;2;1;2;0.22029478458;"""4/4""";75;1;0;1;NC;A1;lick
7.0356462585;0.0897959183673;4;2;2;2;1;0.222199546485;"""4/4""";75;1;0;1;NC;A1;lick
7.1285260771;0.134693877551;4;2;2;2;2;0.222199546485;"""4/4""";77;1;0;1;NC;A1;lick
7.37551020408;0.114285714286;4;2;2;3;2;0.231133786848;"""4/4""";79;1;0;1;NC;A1;lick
7.59183673469;0.302040816327;4;2;2;4;2;0.210657596372;"""4/4""";80;1;0;1;NC;A1;lick
7.92244897959;0.0857142857143;4;1;3;2;1;0.220045351474;"""4/4""";79;1;0;1;NC;A1;lick
8.15102040816;0.310204081633;4;1;3;3;1;0.222448979592;"""4/4""";77;1;0;1;NC;A1;lick
8.82857142857;0.130612244898;4;2;4;2;1;0.251224489796;"""4/4""";73;2;1;1;NC;A1;lick
8.97959183673;0.0734693877551;4;2;4;2;2;0.251224489796;"""4/4""";71;2;0;1;NC;A1;lick
9.07755102041;0.0979591836735;4;4;4;3;1;0.238843537415;"""4/4""";72;2;0;1;NC;A1;lick
9.20816326531;0.0530612244898;4;4;4;3;3;0.238843537415;"""4/4""";71;2;0;1;NC;A1;lick
9.28163265306;0.102040816327;4;4;4;3;4;0.238843537415;"""4/4""";70;2;0;1;NC;A1;lick
9.4;0.0979591836735;4;4;4;4;2;0.220068027211;"""4/4""";69;2;0;1;NC;A1;lick
9.51020408163;0.0938775510204;4;4;4;4;4;0.220068027211;"""4/4""";68;2;0;1;NC;A1;lick
9.63265306122;0.102040816327;4;2;5;1;2;0.222630385488;"""4/4""";70;2;0;1;NC;A1;lick
9.88009070295;0.102040816327;4;2;5;2;2;0.230907029478;"""4/4""";65;2;0;1;NC;A1;lick
10.1297052154;0.142857142857;4;2;5;3;2;0.220975056689;"""4/4""";65;2;0;1;NC;A1;lick
10.5020408163;0.142857142857;4;1;6;1;1;0.23126984127;"""4/4""";63;3;1;1;NC;A1;line_w
10.7102040816;0.130612244898;4;1;6;2;1;0.222471655329;"""4/4""";65;3;0;1;NC;A1;line_w
10.9265306122;0.102040816327;4;2;6;3;1;0.221428571429;"""4/4""";66;3;0;1;NC;A1;line_w
11.0285714286;0.0816326530612;4;2;6;3;2;0.221428571429;"""4/4""";68;3;0;1;NC;A1;line_w
11.1224489796;0.118367346939;4;2;6;4;1;0.229795918367;"""4/4""";70;3;0;1;NC;A1;line_w
11.2489795918;0.10612244898;4;2;6;4;2;0.229795918367;"""4/4""";72;3;0;1;NC;A1;line_w
11.3632653061;0.10612244898;4;2;7;1;1;0.211428571429;"""4/4""";73;3;0;1;NC;A1;line_w
11.4897959184;0.0775510204082;4;2;7;1;2;0.211428571429;"""4/4""";71;3;0;1;NC;A1;line_w
11.5714285714;0.0938775510204;4;2;7;2;1;0.222426303855;"""4/4""";72;3;0;1;NC;A1;line_w
11.6979591837;0.0775510204082;4;2;7;2;2;0.222426303855;"""4/4""";71;3;0;1;NC;A1;line_w
11.7918367347;0.110204081633;4;2;7;3;1;0.220793650794;"""4/4""";70;3;0;1;NC;A1;line_w
11.9102040816;0.0897959183673;4;2;7;3;2;0.220793650794;"""4/4""";69;3;0;1;NC;A1;line_w
12.0;0.122448979592;4;2;7;4;1;0.231224489796;"""4/4""";72;3;0;1;NC;A1;line_w
12.1306122449;0.122448979592;4;2;7;4;2;0.231224489796;"""4/4""";74;3;0;1;NC;A1;line_w
12.2530612245;0.110204081633;4;3;8;1;1;0.230204081633;"""4/4""";75;3;0;1;NC;A1;line_w
12.3959183673;0.0979591836735;4;3;8;1;3;0.230204081633;"""4/4""";77;3;0;1;NC;A1;line_w
12.4979591837;0.130612244898;4;2;8;2;1;0.220136054422;"""4/4""";79;3;0;1;NC;A1;line_w
12.6285714286;0.102040816327;4;2;8;2;2;0.220136054422;"""4/4""";80;3;0;1;NC;A1;line_w
12.7387755102;0.10612244898;4;2;8;3;1;0.243741496599;"""4/4""";79;3;0;1;NC;A1;line_w
12.8571428571;0.0406349206349;4;2;8;3;2;0.243741496599;"""4/4""";79;3;0;1;NC;A1;line_w
12.912244898;0.0319274376417;4;4;8;4;1;0.24380952381;"""4/4""";78;3;0;1;NC;A1;line_w
12.9510204082;0.0816326530612;4;4;8;4;2;0.24380952381;"""4/4""";77;3;0;1;NC;A1;line_w
13.0387755102;0.0357142857143;4;4;8;4;3;0.24380952381;"""4/4""";78;3;0;1;NC;A1;line_w
13.0775510204;0.110204081633;4;4;8;4;4;0.24380952381;"""4/4""";76;3;0;1;NC;A1;line_w
13.2;0.10612244898;4;2;9;1;1;0.242698412698;"""4/4""";75;3;0;1;NC;A1;line_w
13.3102040816;0.134693877551;4;2;9;1;2;0.242698412698;"""4/4""";73;3;0;1;NC;A1;line_w
13.9040816327;0.338775510204;4;1;9;4;1;0.230634920635;"""4/4""";71;4;1;1;NC;A1;lick
14.2448979592;0.0775510204082;4;2;10;1;2;0.23022675737;"""4/4""";68;4;0;1;NC;A1;lick
14.4448979592;0.228571428571;4;2;10;2;2;0.220113378685;"""4/4""";70;4;0;1;NC;A1;lick
14.6775510204;0.065306122449;4;2;10;3;2;0.220589569161;"""4/4""";67;4;0;1;NC;A1;lick
14.8;0.0979591836735;4;2;10;4;1;0.214421768707;"""4/4""";68;4;0;1;NC;A1;lick
14.9020408163;0.0938775510204;4;2;10;4;2;0.214421768707;"""4/4""";70;4;0;1;NC;A1;lick
14.9959183673;0.138775510204;4;1;11;1;1;0.220952380952;"""4/4""";71;4;0;1;NC;A1;lick
15.3265306122;0.122448979592;4;2;11;2;2;0.220861678005;"""4/4""";73;4;0;1;NC;A1;lick
15.8998639456;0.0812698412698;4;1;12;1;1;0.221360544218;"""4/4""";67;5;1;1;NC;A1;lick
16.1020408163;0.138775510204;4;1;12;2;1;0.220385487528;"""4/4""";69;5;0;1;NC;A1;lick
16.3265306122;0.0938775510204;4;2;12;3;1;0.213310657596;"""4/4""";70;5;0;1;NC;A1;lick
