onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
2.27555555556;0.621133786848;4;1;0;3;1;0.407188208617;"""4/4""";74;1;1;-1;D-;I1;lick
2.91990929705;0.214784580499;4;2;0;4;2;0.438752834467;"""4/4""";72;1;0;-1;D-;I1;lick
3.13469387755;0.575510204082;4;1;1;1;1;0.42589569161;"""4/4""";62;1;0;1;D-;A1;lick
5.11836734694;0.134036281179;4;4;2;1;4;0.421156462585;"""4/4""";62;2;1;1;D-;A1;lick
5.59020408163;0.179954648526;4;8;2;2;8;0.432131519274;"""4/4""";69;2;0;1;D-;A1;lick
5.81659863946;0.551473922902;4;2;2;3;2;0.437392290249;"""4/4""";67;2;0;1;D-;A1;lick
6.4377324263;0.11029478458;4;4;2;4;4;0.457006802721;"""4/4""";69;2;0;1;D-;A1;lick
6.62040816327;0.18925170068;4;6;3;1;2;0.421904761905;"""4/4""";62;2;0;1;D-;A1;lick
6.89795918367;0.128526077098;4;6;3;1;6;0.421904761905;"""4/4""";62;2;0;1;D-;A1;lick
8.5387755102;0.210793650794;4;4;4;1;4;0.422131519274;"""4/4""";62;3;1;1;D-;A1;#lick
8.75392290249;0.203174603175;4;2;4;2;2;0.437392290249;"""4/4""";65;3;0;1;D-;A1;#lick
9.03673469388;0.203174603175;4;2;4;3;1;0.431950113379;"""4/4""";69;3;0;1;D-;A1;#lick
9.25714285714;0.290249433107;4;2;4;3;2;0.431950113379;"""4/4""";67;3;0;1;D-;A1;#lick
9.63265306122;0.238004535147;4;2;4;4;2;0.455963718821;"""4/4""";69;3;0;1;D-;A1;#lick
9.98367346939;0.178662131519;4;2;5;1;1;0.457188208617;"""4/4""";62;3;0;1;D-;A1;#lick
10.2516099773;0.0640816326531;4;2;5;1;2;0.457188208617;"""4/4""";62;3;0;1;D-;A1;~#lick
10.506122449;0.203174603175;4;4;5;2;2;0.422063492063;"""4/4""";65;4;1;1;D-;A1;~#lick
10.7755102041;0.220589569161;4;4;5;2;4;0.422063492063;"""4/4""";69;4;0;1;D-;A1;~#lick
11.0040816327;0.330884353741;4;2;5;3;2;0.457052154195;"""4/4""";67;4;0;1;D-;A1;~#lick
11.4285714286;0.19156462585;4;2;5;4;2;0.441723356009;"""4/4""";69;4;0;1;D-;A1;~#lick
11.9102040816;0.534058956916;4;2;6;1;2;0.421224489796;"""4/4""";72;5;1;1;D-;A1;~#lick
12.4734693878;0.232199546485;4;4;6;2;4;0.42201814059;"""4/4""";71;5;0;1;D-;A1;~#lick
12.7755102041;0.244897959184;4;2;6;3;2;0.457188208617;"""4/4""";72;5;0;1;D-;A1;~#lick
13.093877551;0.156734693878;4;6;6;4;2;0.421882086168;"""4/4""";71;5;0;1;D-;A1;~#lick
