onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
5.33768707483;0.138775510204;4;4;0;2;4;0.216281179138;"""4/4""";73;1;1;-1;NC;I1;melody
5.48281179138;0.0885260770975;4;2;0;3;2;0.212142857143;"""4/4""";71;1;0;-1;NC;I1;melody
5.57959183673;0.10612244898;4;3;0;4;1;0.212142857143;"""4/4""";73;1;0;-1;NC;I1;melody
5.72448979592;0.0755102040816;4;3;0;4;3;0.212142857143;"""4/4""";71;1;0;-1;NC;I1;melody
5.80498866213;0.401995464853;4;1;1;1;1;0.22387755102;"""4/4""";69;1;0;1;E-7;A1;melody
6.20988662132;0.420861678005;4;4;1;2;4;0.22387755102;"""4/4""";66;1;0;1;E-7;A1;melody
7.09950113379;0.0928798185941;4;2;2;3;1;0.219614512472;"""4/4""";64;2;1;1;A7;A1;melody
7.19528344671;0.32798185941;4;2;2;3;2;0.219614512472;"""4/4""";66;2;0;1;A7;A1;melody
7.52551020408;0.438276643991;4;1;3;1;1;0.208117913832;"""4/4""";61;2;0;1;A7;A1;melody
9.02675736961;0.134965986395;4;2;4;4;1;0.212358276644;"""4/4""";64;3;1;1;Dj7;A1;lick
9.16752834467;0.108843537415;4;2;4;4;2;0.212358276644;"""4/4""";63;3;0;1;Dj7;A1;lick
9.27927437642;0.133514739229;4;3;5;1;1;0.20858276644;"""4/4""";65;3;0;1;D-7;A1;lick
9.42149659864;0.132063492063;4;3;5;1;3;0.20858276644;"""4/4""";67;3;0;1;D-7;A1;lick
9.55646258503;0.116099773243;4;2;5;2;2;0.20858276644;"""4/4""";69;3;0;1;D-7;A1;lick
10.6811791383;0.0972335600907;4;2;6;3;2;0.201383219955;"""4/4""";67;4;1;1;G7;A1;line_w_a
10.7842176871;0.101587301587;4;4;6;4;2;0.201383219955;"""4/4""";65;4;0;1;G7;A1;line_w_a
10.9003174603;0.0885260770975;4;4;6;4;4;0.201383219955;"""4/4""";64;4;0;1;G7;A1;line_w_a
10.9897959184;0.0938775510204;4;4;7;1;2;0.21119047619;"""4/4""";67;4;0;1;Cj7;A1;line_w_a
11.1224489796;0.0795918367347;4;4;7;1;4;0.21119047619;"""4/4""";69;4;0;1;Cj7;A1;line_w_a
11.2387755102;0.0897959183673;4;2;7;2;2;0.21119047619;"""4/4""";71;4;0;1;Cj7;A1;line_w_a
11.3487528345;0.103038548753;4;2;7;3;1;0.208129251701;"""4/4""";74;4;0;1;Cj7;A1;line_w_a
11.4604988662;0.12335600907;4;2;7;3;2;0.208129251701;"""4/4""";71;4;0;1;Cj7;A1;line_w_a
11.5911111111;0.0377324263039;4;4;7;4;1;0.208129251701;"""4/4""";72;4;0;1;Cj7;A1;line_w_a
11.6317460317;0.114648526077;4;4;7;4;2;0.208129251701;"""4/4""";74;4;0;1;Cj7;A1;line_w_a
11.7536507937;0.114648526077;4;1;8;1;1;0.213344671202;"""4/4""";76;4;0;1;Cj7;A1;line_w_a
12.8957823129;0.108843537415;4;2;9;2;2;0.19925170068;"""4/4""";74;5;1;1;C-7;A1;line_w_d
13.0133333333;0.103038548753;4;4;9;3;1;0.214784580499;"""4/4""";75;5;0;1;C-7;A1;line_w_d
13.2005442177;0.11029478458;4;4;9;3;4;0.214784580499;"""4/4""";71;5;0;1;C-7;A1;line_w_d
13.3282539683;0.107392290249;4;2;9;4;2;0.214784580499;"""4/4""";74;5;0;1;C-7;A1;line_w_d
13.4385487528;0.0957823129252;4;2;10;1;1;0.197369614512;"""4/4""";72;5;0;1;C-7;A1;line_w_d
13.5386848073;0.0798185941043;4;2;10;1;2;0.197369614512;"""4/4""";70;5;0;1;F7;A1;line_w_d
13.6214058957;0.0798185941043;4;2;10;2;1;0.197369614512;"""4/4""";67;5;0;1;F7;A1;line_w_d
13.7041269841;0.101587301587;4;2;10;2;2;0.197369614512;"""4/4""";68;5;0;1;F7;A1;line_w_d
13.8187755102;0.107392290249;4;2;10;3;1;0.206587301587;"""4/4""";69;5;0;1;F7;A1;line_w_d
13.9363265306;0.100136054422;4;2;10;3;2;0.206587301587;"""4/4""";67;5;0;1;F7;A1;line_w_d
14.0437188209;0.105941043084;4;1;10;4;1;0.206587301587;"""4/4""";63;5;0;1;F7;A1;line_w_d
15.0785714286;0.0989795918367;4;4;12;1;1;0.218197278912;"""4/4""";65;6;1;1;Bbj7;A1;lick
15.1887755102;0.0928571428571;4;4;12;1;3;0.218197278912;"""4/4""";67;6;0;1;Ebj7;A1;lick
15.2897959184;0.109183673469;4;4;12;1;4;0.218197278912;"""4/4""";69;6;0;1;Ebj7;A1;lick
15.4020408163;0.0744897959184;4;4;12;2;2;0.218197278912;"""4/4""";70;6;0;1;Ebj7;A1;lick
15.4993197279;0.25977324263;4;4;12;2;4;0.218197278912;"""4/4""";72;6;0;1;Ebj7;A1;lick
15.7750566893;0.146575963719;4;1;12;4;1;0.204410430839;"""4/4""";70;6;0;1;Ebj7;A1;lick
15.9434013605;0.294603174603;4;1;13;1;1;0.212222222222;"""4/4""";69;6;0;1;Ebj7;A1;lick
16.253968254;0.368616780045;4;2;13;2;2;0.212222222222;"""4/4""";69;6;0;1;E-7;A1;lick
16.9505668934;0.0696598639456;4;3;14;2;1;0.200884353741;"""4/4""";60;7;1;1;F7;A1;line_w
17.0289342404;0.0812698412698;4;3;14;2;2;0.200884353741;"""4/4""";63;7;0;1;F7;A1;line_w
17.1174603175;0.116099773243;4;3;14;2;3;0.200884353741;"""4/4""";65;7;0;1;F7;A1;line_w
17.2350113379;0.114648526077;4;2;14;3;2;0.202346938776;"""4/4""";67;7;0;1;F7;A1;line_w
17.3598185941;0.0624036281179;4;2;14;4;1;0.202346938776;"""4/4""";69;7;0;1;F7;A1;line_w
17.4628571429;0.06820861678;4;2;14;4;2;0.202346938776;"""4/4""";70;7;0;1;F7;A1;line_w
17.5600907029;0.111746031746;4;2;15;1;1;0.216349206349;"""4/4""";72;7;0;1;F7;A1;line_w
17.683446712;0.0740136054422;4;2;15;1;2;0.216349206349;"""4/4""";70;7;0;1;Bbj7;A1;line_w
17.7632653061;0.126258503401;4;2;15;2;1;0.216349206349;"""4/4""";72;7;0;1;Bbj7;A1;line_w
17.8909750567;0.0885260770975;4;2;15;2;2;0.216349206349;"""4/4""";70;7;0;1;Bbj7;A1;line_w
17.9882086168;0.107392290249;4;2;15;3;1;0.204217687075;"""4/4""";69;7;0;1;Bbj7;A1;line_w
18.0970521542;0.11029478458;4;2;15;3;2;0.204217687075;"""4/4""";65;7;0;1;Bbj7;A1;line_w
19.4469387755;0.122448979592;4;2;17;2;1;0.207346938776;"""4/4""";73;8;1;1;E-7;A2;#6melody
19.5787755102;0.103038548753;4;2;17;2;2;0.207346938776;"""4/4""";71;8;0;1;E-7;A2;#6melody
19.6857142857;0.277551020408;4;1;17;3;1;0.213185941043;"""4/4""";73;8;0;1;E-7;A2;#6melody
