onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
1.59129251701;0.0885260770975;4;4;1;1;2;0.548344671202;"""4/4""";71;1;1;1;Bb7;A1;lick
1.6885260771;0.684988662132;4;4;1;1;3;0.548344671202;"""4/4""";72;1;0;1;Bb7;A1;lick
2.66376417234;0.338866213152;4;6;1;3;2;0.523129251701;"""4/4""";72;1;0;1;Bb7;A1;lick
3.03891156463;0.114648526077;4;6;1;3;6;0.523129251701;"""4/4""";72;1;0;1;Bb7;A1;lick
5.34784580499;0.0406349206349;4;4;2;4;2;0.548707482993;"""4/4""";73;2;1;1;Eb7;A1;#+lick
5.40444444444;0.809070294785;4;4;2;4;3;0.548707482993;"""4/4""";75;2;0;1;Eb7;A1;#+lick
6.24399092971;0.165442176871;4;6;3;1;6;0.533922902494;"""4/4""";72;2;0;1;Bb7;A1;#+lick
6.92970521542;0.704580498866;4;1;3;3;1;0.55619047619;"""4/4""";72;2;0;1;Bb7;A1;#+lick
7.83020408163;0.213333333333;4;4;3;4;4;0.525850340136;"""4/4""";65;2;0;1;Bb7;A1;lick
8.05659863946;0.177052154195;4;1;4;1;1;0.509727891156;"""4/4""";67;2;0;1;Bb7;A1;lick
8.49850340136;0.434648526077;4;1;4;2;1;0.53358276644;"""4/4""";67;2;0;1;Bb7;A1;lick
10.6478004535;0.307664399093;4;1;5;2;1;0.549206349206;"""4/4""";73;3;1;1;Eb7;A1;lick
11.1789569161;0.699501133787;4;1;5;3;1;0.549115646259;"""4/4""";70;3;0;1;Eb7;A1;lick
12.2804535147;0.0457142857143;4;3;6;1;1;0.540181405896;"""4/4""";74;3;0;1;Eb7;A1;lick
12.3385034014;0.453514739229;4;3;6;1;2;0.540181405896;"""4/4""";75;3;0;1;Eb7;A1;lick
12.8195918367;0.232925170068;4;3;6;2;1;0.540272108844;"""4/4""";73;3;0;1;Eb7;A1;lick
13.1969160998;0.480362811791;4;3;6;2;3;0.540272108844;"""4/4""";70;3;0;1;Eb7;A1;lick
13.8318367347;0.330884353741;4;3;6;4;1;0.532267573696;"""4/4""";70;3;0;1;Eb7;A1;lick
14.1990022676;0.577596371882;4;3;6;4;3;0.532267573696;"""4/4""";70;3;0;1;Eb7;A1;lick
