onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form;idea
4.62040816327;0.118367346939;4;2;0;2;2;0.45768707483;"""4/4""";73;1;1;-1;NC;I1;lick
4.75102040816;0.0979591836735;4;4;0;3;1;0.457142857143;"""4/4""";74;1;0;-1;NC;I1;lick
4.90204081633;0.167346938776;4;4;0;3;2;0.457142857143;"""4/4""";72;1;0;-1;NC;I1;lick
5.14321995465;0.224489795918;4;4;0;3;4;0.457142857143;"""4/4""";69;1;0;-1;NC;I1;lick
5.39283446712;0.118367346939;4;6;0;4;3;0.487074829932;"""4/4""";65;1;0;-1;NC;I1;lick
5.65306122449;0.191836734694;4;6;0;4;6;0.487074829932;"""4/4""";70;1;0;-1;NC;I1;lick
5.89387755102;0.163265306122;4;2;1;1;2;0.47619047619;"""4/4""";69;1;0;1;F7;A1;lick
6.31020408163;1.10204081633;4;1;1;2;1;0.489795918367;"""4/4""";65;1;0;1;F7;A1;lick
8.46077097506;0.124807256236;4;4;2;2;4;0.489795918367;"""4/4""";65;2;1;1;Bb7;A1;lick
8.73265306122;0.50612244898;4;2;2;3;2;0.465306122449;"""4/4""";65;2;0;1;Bb7;A1;lick
9.37505668934;0.0957823129252;4;6;2;4;5;0.481632653061;"""4/4""";69;2;0;1;Bb7;A1;lick
9.4737414966;0.0957823129252;4;6;2;4;6;0.481632653061;"""4/4""";70;2;0;1;Bb7;A1;lick
9.57551020408;0.318367346939;4;4;3;1;1;0.473469387755;"""4/4""";69;2;0;1;F7;A1;lick
9.92040816327;0.434693877551;4;4;3;1;4;0.473469387755;"""4/4""";65;2;0;1;F7;A1;lick
10.3959183673;0.111224489796;4;4;3;2;4;0.473469387755;"""4/4""";65;2;0;1;F7;A1;lick
10.5563718821;0.76335600907;4;1;3;3;1;0.473469387755;"""4/4""";63;2;0;1;F7;A1;lick
13.4612244898;0.0979591836735;4;4;5;1;2;0.478911564626;"""4/4""";60;3;1;1;Bb7;A1;lick
13.7229931973;0.159183673469;4;4;5;1;4;0.478911564626;"""4/4""";65;3;0;1;Bb7;A1;lick
13.9755102041;0.175510204082;4;4;5;2;2;0.484353741497;"""4/4""";68;3;0;1;Bb7;A1;lick
14.1959183673;0.191836734694;4;4;5;2;4;0.484353741497;"""4/4""";71;3;0;1;Bb7;A1;lick
14.483446712;0.246712018141;4;2;5;3;2;0.469387755102;"""4/4""";74;3;0;1;Bb7;A1;lick
