onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin
0.0;0.236458333333;3;2;1;1;1;0.5;"""3/4""";76;0;1
0.25;0.236458333333;3;2;1;1;2;0.5;"""3/4""";74;0;0
0.5;0.473958333333;3;1;1;2;1;0.5;"""3/4""";66;0;0
1.0;0.473958333333;3;1;1;3;1;0.5;"""3/4""";68;0;0
1.5;0.236458333333;3;2;2;1;1;0.5;"""3/4""";73;0;0
1.75;0.236458333333;3;2;2;1;2;0.5;"""3/4""";71;0;0
2.0;0.473958333333;3;1;2;2;1;0.5;"""3/4""";62;0;0
2.5;0.473958333333;3;1;2;3;1;0.5;"""3/4""";64;0;0
3.0;0.236458333333;3;2;3;1;1;0.5;"""3/4""";71;0;0
3.25;0.236458333333;3;2;3;1;2;0.5;"""3/4""";69;0;0
3.5;0.473958333333;3;1;3;2;1;0.5;"""3/4""";61;0;0
4.0;0.473958333333;3;1;3;3;1;0.5;"""3/4""";64;0;0
4.5;1.42395833333;3;1;4;1;1;0.5;"""3/4""";69;0;0
