onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
15.8152173913;0.163043478261;4;2;13;1;2;0.326086956522;"""4/4""";58;1;1;1;Bb7;I1
15.9782608696;0.054347826087;4;6;13;2;1;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
16.0326086957;0.054347826087;4;6;13;2;2;0.326086956522;"""4/4""";65;1;0;1;Bb7;I1
16.0869565217;0.054347826087;4;6;13;2;3;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
16.1413043478;0.163043478261;4;6;13;2;4;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
16.3043478261;0.163043478261;4;2;13;3;1;0.326086956522;"""4/4""";61;1;0;1;Bb7;I1
16.4673913043;0.163043478261;4;2;13;3;2;0.326086956522;"""4/4""";62;1;0;1;Bb7;I1
16.7934782609;0.163043478261;4;2;13;4;2;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
16.9565217391;0.054347826087;4;6;14;1;1;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
17.0108695652;0.054347826087;4;6;14;1;2;0.326086956522;"""4/4""";65;1;0;1;Bb7;I1
17.0652173913;0.054347826087;4;6;14;1;3;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
17.1195652174;0.163043478261;4;6;14;1;4;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
17.2826086957;0.163043478261;4;2;14;2;1;0.326086956522;"""4/4""";61;1;0;1;Bb7;I1
17.4456521739;0.163043478261;4;2;14;2;2;0.326086956522;"""4/4""";62;1;0;1;Bb7;I1
17.7717391304;0.163043478261;4;2;14;3;2;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
17.9347826087;0.054347826087;4;6;14;4;1;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
17.9891304348;0.054347826087;4;6;14;4;2;0.326086956522;"""4/4""";65;1;0;1;Bb7;I1
18.0434782609;0.054347826087;4;6;14;4;3;0.326086956522;"""4/4""";63;1;0;1;Bb7;I1
18.097826087;0.163043478261;4;6;14;4;4;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
18.2608695652;0.163043478261;4;2;15;1;1;0.326086956522;"""4/4""";61;1;0;1;Bb7;I1
18.4239130435;0.163043478261;4;2;15;1;2;0.326086956522;"""4/4""";62;1;0;1;Bb7;I1
18.75;0.163043478261;4;2;15;2;2;0.326086956522;"""4/4""";58;1;0;1;Bb7;I1
18.9130434783;0.163043478261;4;2;15;3;1;0.326086956522;"""4/4""";60;1;0;1;Bb7;I1
19.0760869565;0.163043478261;4;2;15;3;2;0.326086956522;"""4/4""";56;1;0;1;Bb7;I1
20.2173913043;0.0815217391304;4;4;16;3;1;0.326086956522;"""4/4""";67;2;1;1;Bb7;I1
20.2989130435;0.0815217391304;4;4;16;3;2;0.326086956522;"""4/4""";66;2;0;1;Bb7;I1
20.3804347826;0.0815217391304;4;4;16;3;3;0.326086956522;"""4/4""";64;2;0;1;Bb7;I1
20.4619565217;0.0815217391304;4;4;16;3;4;0.326086956522;"""4/4""";58;2;0;1;Bb7;I1
20.5434782609;0.0815217391304;4;4;16;4;1;0.326086956522;"""4/4""";59;2;0;1;Bb7;I1
20.625;0.0815217391304;4;4;16;4;2;0.326086956522;"""4/4""";61;2;0;1;Bb7;I1
