onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
24.2;0.1;4;4;31;2;1;0.2;"""4/4""";65;1;1;1;Bb;I1
24.3;0.05;4;4;31;2;3;0.2;"""4/4""";67;1;0;1;Bb;I1
24.35;0.05;4;4;31;2;4;0.2;"""4/4""";69;1;0;1;Bb;I1
24.4;0.0666666666667;4;3;31;3;1;0.2;"""4/4""";70;1;0;1;Bb;I1
24.4666666667;0.0666666666667;4;3;31;3;2;0.2;"""4/4""";72;1;0;1;Bb;I1
24.5333333333;0.0666666666667;4;3;31;3;3;0.2;"""4/4""";73;1;0;1;Bb;I1
24.6;0.1;4;2;31;4;1;0.2;"""4/4""";74;1;0;1;Bb;I1
24.7;0.1;4;2;31;4;2;0.2;"""4/4""";70;1;0;1;Bb;I1
24.8;0.1;4;2;32;1;1;0.2;"""4/4""";72;1;0;1;C-;A1
24.9;0.1;4;2;32;1;2;0.2;"""4/4""";70;1;0;1;C-;A1
25.0;0.1;4;2;32;2;1;0.2;"""4/4""";69;1;0;1;C-;A1
25.1;0.1;4;2;32;2;2;0.2;"""4/4""";70;1;0;1;C-;A1
25.2;0.1;4;2;32;3;1;0.2;"""4/4""";72;1;0;1;F7;A1
25.3;0.1;4;2;32;3;2;0.2;"""4/4""";65;1;0;1;F7;A1
25.9;0.1;4;2;33;2;2;0.2;"""4/4""";61;2;1;1;D-;A1
26.0;0.0666666666667;4;3;33;3;1;0.2;"""4/4""";62;2;0;1;G7;A1
26.0666666667;0.0666666666667;4;3;33;3;2;0.2;"""4/4""";65;2;0;1;G7;A1
26.1333333333;0.0666666666667;4;3;33;3;3;0.2;"""4/4""";69;2;0;1;G7;A1
26.2;0.1;4;2;33;4;1;0.2;"""4/4""";70;2;0;1;G7;A1
26.3;0.1;4;2;33;4;2;0.2;"""4/4""";67;2;0;1;G7;A1
26.4;0.1;4;2;34;1;1;0.2;"""4/4""";63;2;0;1;C-;A1
26.5;0.1;4;2;34;1;2;0.2;"""4/4""";60;2;0;1;C-;A1
26.6;0.0666666666667;4;3;34;2;1;0.2;"""4/4""";70;2;0;1;C-;A1
26.6666666667;0.0666666666667;4;3;34;2;2;0.2;"""4/4""";72;2;0;1;C-;A1
26.7333333333;0.0666666666667;4;3;34;2;3;0.2;"""4/4""";70;2;0;1;C-;A1
26.8;0.1;4;2;34;3;1;0.2;"""4/4""";69;2;0;1;F7;A1
26.9;0.1;4;2;34;3;2;0.2;"""4/4""";67;2;0;1;F7;A1
27.0;0.1;4;2;34;4;1;0.2;"""4/4""";62;2;0;1;F7;A1
27.1;0.1;4;2;34;4;2;0.2;"""4/4""";63;2;0;1;F7;A1
27.2;0.1;4;2;35;1;1;0.2;"""4/4""";65;2;0;1;Bb7;A1
27.3;0.1;4;2;35;1;2;0.2;"""4/4""";67;2;0;1;Bb7;A1
27.4;0.1;4;2;35;2;1;0.2;"""4/4""";68;2;0;1;Bb7;A1
27.5;0.1;4;2;35;2;2;0.2;"""4/4""";67;2;0;1;Bb7;A1
27.6;0.1;4;2;35;3;1;0.2;"""4/4""";65;2;0;1;Bb7;A1
27.7;0.1;4;2;35;3;2;0.2;"""4/4""";63;2;0;1;Bb7;A1
27.8;0.1;4;2;35;4;1;0.2;"""4/4""";62;2;0;1;Bb7;A1
27.9;0.1;4;2;35;4;2;0.2;"""4/4""";60;2;0;1;Bb7;A1
28.0;0.1;4;2;36;1;1;0.2;"""4/4""";58;2;0;1;Eb7;A1
28.1;0.1;4;2;36;1;2;0.2;"""4/4""";57;2;0;1;Eb7;A1
28.2;0.1;4;2;36;2;1;0.2;"""4/4""";56;2;0;1;Eb7;A1
28.3;0.1;4;2;36;2;2;0.2;"""4/4""";60;2;0;1;Eb7;A1
28.4;0.1;4;2;36;3;1;0.2;"""4/4""";70;2;0;1;Eb7;A1
28.5;0.1;4;2;36;3;2;0.2;"""4/4""";67;2;0;1;Eb7;A1
28.6;0.1;4;2;36;4;1;0.2;"""4/4""";63;2;0;1;Eb7;A1
28.7;0.1;4;2;36;4;2;0.2;"""4/4""";60;2;0;1;Eb7;A1
28.8;0.1;4;2;37;1;1;0.2;"""4/4""";70;2;0;1;Bb7;A1
28.9;0.1;4;2;37;1;2;0.2;"""4/4""";66;2;0;1;Bb7;A1
29.0;0.1;4;2;37;2;1;0.2;"""4/4""";63;2;0;1;Bb7;A1
29.1;0.1;4;2;37;2;2;0.2;"""4/4""";57;2;0;1;Bb7;A1
29.2;0.1;4;2;37;3;1;0.2;"""4/4""";58;2;0;1;G7;A1
29.3;0.1;4;2;37;3;2;0.2;"""4/4""";63;2;0;1;G7;A1
29.4;0.1;4;2;37;4;1;0.2;"""4/4""";60;2;0;1;G7;A1
29.5;0.1;4;2;37;4;2;0.2;"""4/4""";61;2;0;1;G7;A1
