onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
0.0;0.428571428571;4;4;1;1;1;0.857142857143;"""4/4""";67;1;1;1;C-;A1
0.642857142857;0.214285714286;4;4;1;1;4;0.857142857143;"""4/4""";72;1;0;1;C-;A1
0.857142857143;0.0714285714286;4;12;1;2;1;0.857142857143;"""4/4""";70;1;0;1;C-;A1
0.928571428571;0.0714285714286;4;12;1;2;2;0.857142857143;"""4/4""";72;1;0;1;C-;A1
1.0;0.0714285714286;4;12;1;2;3;0.857142857143;"""4/4""";70;1;0;1;C-;A1
1.07142857143;0.214285714286;4;12;1;2;4;0.857142857143;"""4/4""";69;1;0;1;C-;A1
1.28571428571;0.214285714286;4;12;1;2;7;0.857142857143;"""4/4""";67;1;0;1;C-;A1
1.5;0.214285714286;4;12;1;2;10;0.857142857143;"""4/4""";65;1;0;1;C-;A1
1.71428571429;0.214285714286;4;4;1;3;1;0.857142857143;"""4/4""";63;1;0;1;F7;A1
1.92857142857;0.214285714286;4;4;1;3;2;0.857142857143;"""4/4""";55;1;0;1;F7;A1
2.14285714286;0.214285714286;4;4;1;3;3;0.857142857143;"""4/4""";58;1;0;1;F7;A1
2.35714285714;0.214285714286;4;4;1;3;4;0.857142857143;"""4/4""";62;1;0;1;F7;A1
2.57142857143;0.214285714286;4;8;1;4;1;0.857142857143;"""4/4""";60;1;0;1;F7;A1
2.78571428571;0.214285714286;4;8;1;4;3;0.857142857143;"""4/4""";58;1;0;1;F7;A1
3.0;0.107142857143;4;8;1;4;5;0.857142857143;"""4/4""";57;1;0;1;F7;A1
3.10714285714;0.107142857143;4;8;1;4;6;0.857142857143;"""4/4""";60;1;0;1;F7;A1
3.21428571429;0.107142857143;4;8;1;4;7;0.857142857143;"""4/4""";63;1;0;1;F7;A1
3.32142857143;0.107142857143;4;8;1;4;8;0.857142857143;"""4/4""";67;1;0;1;F7;A1
3.42857142857;0.214285714286;4;4;2;1;1;0.857142857143;"""4/4""";65;1;0;1;Bb;A1
3.64285714286;0.214285714286;4;4;2;1;2;0.857142857143;"""4/4""";62;1;0;1;Bb;A1
3.85714285714;0.214285714286;4;4;2;1;3;0.857142857143;"""4/4""";63;1;0;1;Bb;A1
4.07142857143;0.214285714286;4;4;2;1;4;0.857142857143;"""4/4""";65;1;0;1;Bb;A1
4.92857142857;0.214285714286;4;4;2;2;4;0.857142857143;"""4/4""";62;1;0;1;Bb;A1
5.14285714286;0.142857142857;4;12;2;3;1;0.857142857143;"""4/4""";60;1;0;1;Bb;A1
5.28571428571;0.142857142857;4;12;2;3;3;0.857142857143;"""4/4""";62;1;0;1;Bb;A1
5.42857142857;0.142857142857;4;12;2;3;5;0.857142857143;"""4/4""";60;1;0;1;Bb;A1
5.57142857143;0.214285714286;4;12;2;3;7;0.857142857143;"""4/4""";58;1;0;1;Bb;A1
5.78571428571;0.214285714286;4;12;2;3;10;0.857142857143;"""4/4""";62;1;0;1;Bb;A1
6.21428571429;0.214285714286;4;8;2;4;3;0.857142857143;"""4/4""";58;1;0;1;Bb;A1
6.42857142857;0.107142857143;4;8;2;4;5;0.857142857143;"""4/4""";58;1;0;1;Bb;A1
6.53571428571;0.107142857143;4;8;2;4;6;0.857142857143;"""4/4""";57;1;0;1;Bb;A1
6.64285714286;0.107142857143;4;8;2;4;7;0.857142857143;"""4/4""";58;1;0;1;Bb;A1
6.75;0.107142857143;4;8;2;4;8;0.857142857143;"""4/4""";60;1;0;1;Bb;A1
6.85714285714;0.857142857143;4;1;3;1;1;0.857142857143;"""4/4""";61;1;0;1;Bb-;A1
8.14285714286;0.107142857143;4;8;3;2;5;0.857142857143;"""4/4""";67;2;1;1;Bb-;A1
8.25;0.107142857143;4;8;3;2;6;0.857142857143;"""4/4""";69;2;0;1;Bb-;A1
8.35714285714;0.107142857143;4;8;3;2;7;0.857142857143;"""4/4""";70;2;0;1;Bb-;A1
8.46428571429;0.107142857143;4;8;3;2;8;0.857142857143;"""4/4""";72;2;0;1;Bb-;A1
8.57142857143;0.107142857143;4;8;3;3;1;0.857142857143;"""4/4""";73;2;0;1;Eb7;A1
8.67857142857;0.107142857143;4;8;3;3;2;0.857142857143;"""4/4""";72;2;0;1;Eb7;A1
8.78571428571;0.107142857143;4;8;3;3;3;0.857142857143;"""4/4""";70;2;0;1;Eb7;A1
8.89285714286;0.107142857143;4;8;3;3;4;0.857142857143;"""4/4""";69;2;0;1;Eb7;A1
9.0;0.107142857143;4;8;3;3;5;0.857142857143;"""4/4""";67;2;0;1;Eb7;A1
9.10714285714;0.107142857143;4;8;3;3;6;0.857142857143;"""4/4""";66;2;0;1;Eb7;A1
9.21428571429;0.107142857143;4;8;3;3;7;0.857142857143;"""4/4""";65;2;0;1;Eb7;A1
9.32142857143;0.107142857143;4;8;3;3;8;0.857142857143;"""4/4""";63;2;0;1;Eb7;A1
9.42857142857;0.107142857143;4;8;3;4;1;0.857142857143;"""4/4""";61;2;0;1;Eb7;A1
9.53571428571;0.107142857143;4;8;3;4;2;0.857142857143;"""4/4""";60;2;0;1;Eb7;A1
9.64285714286;0.107142857143;4;8;3;4;3;0.857142857143;"""4/4""";55;2;0;1;Eb7;A1
9.75;0.107142857143;4;8;3;4;4;0.857142857143;"""4/4""";57;2;0;1;Eb7;A1
9.85714285714;0.107142857143;4;8;3;4;5;0.857142857143;"""4/4""";58;2;0;1;Eb7;A1
9.96428571429;0.107142857143;4;8;3;4;6;0.857142857143;"""4/4""";61;2;0;1;Eb7;A1
10.0714285714;0.107142857143;4;8;3;4;7;0.857142857143;"""4/4""";60;2;0;1;Eb7;A1
10.1785714286;0.107142857143;4;8;3;4;8;0.857142857143;"""4/4""";58;2;0;1;Eb7;A1
10.2857142857;0.107142857143;4;8;4;1;1;0.857142857143;"""4/4""";57;2;0;1;Eb;A1
10.3928571429;0.107142857143;4;8;4;1;2;0.857142857143;"""4/4""";60;2;0;1;Eb;A1
10.5;0.107142857143;4;8;4;1;3;0.857142857143;"""4/4""";62;2;0;1;Eb;A1
10.6071428571;0.107142857143;4;8;4;1;4;0.857142857143;"""4/4""";64;2;0;1;Eb;A1
10.7142857143;0.107142857143;4;8;4;1;5;0.857142857143;"""4/4""";67;2;0;1;Eb;A1
10.8214285714;0.107142857143;4;8;4;1;6;0.857142857143;"""4/4""";64;2;0;1;Eb;A1
10.9285714286;0.107142857143;4;8;4;1;7;0.857142857143;"""4/4""";65;2;0;1;Eb;A1
11.0357142857;0.107142857143;4;8;4;1;8;0.857142857143;"""4/4""";67;2;0;1;Eb;A1
11.1428571429;0.214285714286;4;8;4;2;1;0.857142857143;"""4/4""";69;2;0;1;Eb;A1
11.3571428571;0.214285714286;4;8;4;2;3;0.857142857143;"""4/4""";72;2;0;1;Eb;A1
11.5714285714;0.107142857143;4;8;4;2;5;0.857142857143;"""4/4""";71;2;0;1;Eb;A1
11.6785714286;0.107142857143;4;8;4;2;6;0.857142857143;"""4/4""";70;2;0;1;Eb;A1
11.7857142857;0.214285714286;4;8;4;2;7;0.857142857143;"""4/4""";69;2;0;1;Eb;A1
12.0;0.107142857143;4;48;4;3;1;0.857142857143;"""4/4""";70;2;0;1;D-;A1
12.1071428571;0.0535714285714;4;48;4;3;7;0.857142857143;"""4/4""";69;2;0;1;D-;A1
12.1607142857;0.0535714285714;4;48;4;3;10;0.857142857143;"""4/4""";68;2;0;1;D-;A1
12.2142857143;0.107142857143;4;48;4;3;13;0.857142857143;"""4/4""";67;2;0;1;D-;A1
12.3214285714;0.107142857143;4;48;4;3;19;0.857142857143;"""4/4""";69;2;0;1;D-;A1
12.5357142857;0.0714285714286;4;48;4;3;31;0.857142857143;"""4/4""";68;2;0;1;D-;A1
12.6071428571;0.0714285714286;4;48;4;3;35;0.857142857143;"""4/4""";67;2;0;1;D-;A1
12.6785714286;0.0714285714286;4;48;4;3;39;0.857142857143;"""4/4""";66;2;0;1;D-;A1
12.75;0.107142857143;4;48;4;3;43;0.857142857143;"""4/4""";65;2;0;1;D-;A1
14.1428571429;0.107142857143;4;8;5;1;5;0.857142857143;"""4/4""";62;3;1;1;D-;A1
14.25;0.107142857143;4;8;5;1;6;0.857142857143;"""4/4""";64;3;0;1;D-;A1
14.3571428571;0.107142857143;4;8;5;1;7;0.857142857143;"""4/4""";65;3;0;1;D-;A1
14.4642857143;0.107142857143;4;8;5;1;8;0.857142857143;"""4/4""";67;3;0;1;D-;A1
14.5714285714;0.107142857143;4;16;5;2;1;0.857142857143;"""4/4""";69;3;0;1;D-;A1
14.6785714286;0.107142857143;4;16;5;2;3;0.857142857143;"""4/4""";70;3;0;1;D-;A1
14.7857142857;0.107142857143;4;16;5;2;5;0.857142857143;"""4/4""";72;3;0;1;D-;A1
14.8928571429;0.107142857143;4;16;5;2;7;0.857142857143;"""4/4""";74;3;0;1;D-;A1
15.0;0.0535714285714;4;16;5;2;9;0.857142857143;"""4/4""";76;3;0;1;D-;A1
15.0535714286;0.0535714285714;4;16;5;2;10;0.857142857143;"""4/4""";74;3;0;1;D-;A1
15.1071428571;0.0535714285714;4;16;5;2;11;0.857142857143;"""4/4""";73;3;0;1;D-;A1
15.1607142857;0.0535714285714;4;16;5;2;12;0.857142857143;"""4/4""";74;3;0;1;D-;A1
