onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
23.0909090909;0.181818181818;4;2;16;4;2;0.363636363636;"""4/4""";60;1;1;1;C7;I1
23.2727272727;0.363636363636;4;1;17;1;1;0.363636363636;"""4/4""";65;1;0;1;F7;A1
23.6363636364;0.181818181818;4;2;17;2;1;0.363636363636;"""4/4""";67;1;0;1;F7;A1
23.8181818182;0.181818181818;4;2;17;2;2;0.363636363636;"""4/4""";68;1;0;1;F7;A1
24.0;0.363636363636;4;1;17;3;1;0.363636363636;"""4/4""";69;1;0;1;F7;A1
24.3636363636;0.181818181818;4;2;17;4;1;0.363636363636;"""4/4""";70;1;0;1;F7;A1
24.5454545455;0.181818181818;4;2;17;4;2;0.363636363636;"""4/4""";71;1;0;1;F7;A1
24.7272727273;0.181818181818;4;2;18;1;1;0.363636363636;"""4/4""";72;1;0;1;F7;A1
24.9090909091;0.181818181818;4;2;18;1;2;0.363636363636;"""4/4""";69;1;0;1;F7;A1
25.0909090909;0.121212121212;4;3;18;2;1;0.363636363636;"""4/4""";70;1;0;1;F7;A1
25.2121212121;0.121212121212;4;3;18;2;2;0.363636363636;"""4/4""";72;1;0;1;F7;A1
25.3333333333;0.121212121212;4;3;18;2;3;0.363636363636;"""4/4""";70;1;0;1;F7;A1
25.4545454545;0.181818181818;4;2;18;3;1;0.363636363636;"""4/4""";69;1;0;1;F7;A1
25.6363636364;0.181818181818;4;2;18;3;2;0.363636363636;"""4/4""";65;1;0;1;F7;A1
25.8181818182;0.181818181818;4;2;18;4;1;0.363636363636;"""4/4""";62;1;0;1;F7;A1
26.0;0.181818181818;4;2;18;4;2;0.363636363636;"""4/4""";60;1;0;1;F7;A1
26.1818181818;0.0606060606061;4;6;19;1;1;0.363636363636;"""4/4""";67;1;0;1;F7;A1
26.2424242424;0.0606060606061;4;6;19;1;2;0.363636363636;"""4/4""";69;1;0;1;F7;A1
26.303030303;0.0606060606061;4;6;19;1;3;0.363636363636;"""4/4""";67;1;0;1;F7;A1
26.3636363636;0.181818181818;4;6;19;1;4;0.363636363636;"""4/4""";65;1;0;1;F7;A1
26.5454545455;0.181818181818;4;2;19;2;1;0.363636363636;"""4/4""";63;1;0;1;F7;A1
26.7272727273;0.181818181818;4;2;19;2;2;0.363636363636;"""4/4""";65;1;0;1;F7;A1
28.9090909091;0.181818181818;4;2;20;4;2;0.363636363636;"""4/4""";77;2;1;1;F7;A1
29.2727272727;0.0909090909091;4;4;21;1;3;0.363636363636;"""4/4""";72;2;0;1;Bb7;A1
29.3636363636;0.0909090909091;4;4;21;1;4;0.363636363636;"""4/4""";70;2;0;1;Bb7;A1
29.4545454545;0.181818181818;4;2;21;2;1;0.363636363636;"""4/4""";68;2;0;1;Bb7;A1
29.6363636364;0.181818181818;4;2;21;2;2;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
29.8181818182;0.181818181818;4;2;21;3;1;0.363636363636;"""4/4""";67;2;0;1;Bb7;A1
30.0;0.181818181818;4;2;21;3;2;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
30.1818181818;0.181818181818;4;2;21;4;1;0.363636363636;"""4/4""";63;2;0;1;Bb7;A1
30.3636363636;0.181818181818;4;2;21;4;2;0.363636363636;"""4/4""";62;2;0;1;Bb7;A1
30.5454545455;0.363636363636;4;1;22;1;1;0.363636363636;"""4/4""";60;2;0;1;Bb7;A1
30.9090909091;0.181818181818;4;2;22;2;1;0.363636363636;"""4/4""";58;2;0;1;Bb7;A1
31.0909090909;0.181818181818;4;2;22;2;2;0.363636363636;"""4/4""";53;2;0;1;Bb7;A1
31.2727272727;0.181818181818;4;2;22;3;1;0.363636363636;"""4/4""";56;2;0;1;Bb7;A1
31.4545454545;0.181818181818;4;2;22;3;2;0.363636363636;"""4/4""";57;2;0;1;Bb7;A1
31.6363636364;0.181818181818;4;2;22;4;1;0.363636363636;"""4/4""";58;2;0;1;Bb7;A1
31.8181818182;0.181818181818;4;2;22;4;2;0.363636363636;"""4/4""";59;2;0;1;Bb7;A1
32.0;0.181818181818;4;4;23;1;1;0.363636363636;"""4/4""";60;2;0;1;F7;A1
32.1818181818;0.0909090909091;4;4;23;1;3;0.363636363636;"""4/4""";62;2;0;1;F7;A1
32.2727272727;0.0909090909091;4;4;23;1;4;0.363636363636;"""4/4""";60;2;0;1;F7;A1
32.3636363636;0.181818181818;4;2;23;2;1;0.363636363636;"""4/4""";57;2;0;1;F7;A1
32.5454545455;0.181818181818;4;2;23;2;2;0.363636363636;"""4/4""";60;2;0;1;F7;A1
32.7272727273;0.181818181818;4;2;23;3;1;0.363636363636;"""4/4""";64;2;0;1;F7;A1
32.9090909091;0.181818181818;4;2;23;3;2;0.363636363636;"""4/4""";62;2;0;1;F7;A1
35.4545454545;0.0606060606061;4;6;25;2;4;0.363636363636;"""4/4""";67;3;1;1;G-;A1
35.5151515152;0.0606060606061;4;6;25;2;5;0.363636363636;"""4/4""";70;3;0;1;G-;A1
35.5757575758;0.0606060606061;4;6;25;2;6;0.363636363636;"""4/4""";74;3;0;1;G-;A1
35.6363636364;0.181818181818;4;2;25;3;1;0.363636363636;"""4/4""";77;3;0;1;G-;A1
35.8181818182;0.181818181818;4;2;25;3;2;0.363636363636;"""4/4""";76;3;0;1;G-;A1
36.0;0.181818181818;4;2;25;4;1;0.363636363636;"""4/4""";74;3;0;1;G-;A1
36.1818181818;0.181818181818;4;2;25;4;2;0.363636363636;"""4/4""";73;3;0;1;G-;A1
36.3636363636;0.181818181818;4;2;26;1;1;0.363636363636;"""4/4""";72;3;0;1;C7;A1
36.5454545455;0.181818181818;4;2;26;1;2;0.363636363636;"""4/4""";69;3;0;1;C7;A1
36.7272727273;0.181818181818;4;4;26;2;1;0.363636363636;"""4/4""";70;3;0;1;C7;A1
36.9090909091;0.0909090909091;4;4;26;2;3;0.363636363636;"""4/4""";72;3;0;1;C7;A1
37.0;0.0909090909091;4;4;26;2;4;0.363636363636;"""4/4""";70;3;0;1;C7;A1
37.0909090909;0.181818181818;4;2;26;3;1;0.363636363636;"""4/4""";69;3;0;1;C7;A1
37.2727272727;0.181818181818;4;2;26;3;2;0.363636363636;"""4/4""";65;3;0;1;C7;A1
37.4545454545;0.181818181818;4;2;26;4;1;0.363636363636;"""4/4""";62;3;0;1;C7;A1
37.6363636364;0.181818181818;4;2;26;4;2;0.363636363636;"""4/4""";60;3;0;1;C7;A1
37.8181818182;0.181818181818;4;2;27;1;1;0.363636363636;"""4/4""";67;3;0;1;F7;A1
38.0;0.181818181818;4;2;27;1;2;0.363636363636;"""4/4""";65;3;0;1;F7;A1
38.1818181818;0.181818181818;4;2;27;2;1;0.363636363636;"""4/4""";67;3;0;1;F7;A1
38.3636363636;0.181818181818;4;2;27;2;2;0.363636363636;"""4/4""";69;3;0;1;F7;A1
40.9090909091;0.363636363636;4;2;29;1;2;0.363636363636;"""4/4""";65;4;1;1;F7;A1
41.2727272727;0.181818181818;4;2;29;2;2;0.363636363636;"""4/4""";68;4;0;1;F7;A1
41.4545454545;0.181818181818;4;4;29;3;1;0.363636363636;"""4/4""";70;4;0;1;F7;A1
41.6363636364;0.0909090909091;4;4;29;3;3;0.363636363636;"""4/4""";70;4;0;1;F7;A1
41.7272727273;0.0909090909091;4;4;29;3;4;0.363636363636;"""4/4""";71;4;0;1;F7;A1
41.8181818182;0.181818181818;4;2;29;4;1;0.363636363636;"""4/4""";71;4;0;1;F7;A1
42.0;0.181818181818;4;2;29;4;2;0.363636363636;"""4/4""";71;4;0;1;F7;A1
42.1818181818;0.181818181818;4;4;30;1;1;0.363636363636;"""4/4""";70;4;0;1;F7;A1
42.3636363636;0.0909090909091;4;4;30;1;3;0.363636363636;"""4/4""";68;4;0;1;F7;A1
42.4545454545;0.0909090909091;4;4;30;1;4;0.363636363636;"""4/4""";65;4;0;1;F7;A1
42.5454545455;0.272727272727;4;4;30;2;1;0.363636363636;"""4/4""";70;4;0;1;F7;A1
42.8181818182;0.0909090909091;4;4;30;2;4;0.363636363636;"""4/4""";71;4;0;1;F7;A1
42.9090909091;0.363636363636;4;1;30;3;1;0.363636363636;"""4/4""";70;4;0;1;F7;A1
44.1818181818;0.181818181818;4;2;31;2;2;0.363636363636;"""4/4""";65;5;1;1;F7;A1
44.3636363636;0.181818181818;4;2;31;3;1;0.363636363636;"""4/4""";68;5;0;1;F7;A1
44.5454545455;0.181818181818;4;2;31;3;2;0.363636363636;"""4/4""";69;5;0;1;F7;A1
44.7272727273;0.181818181818;4;2;31;4;1;0.363636363636;"""4/4""";70;5;0;1;F7;A1
44.9090909091;0.181818181818;4;2;31;4;2;0.363636363636;"""4/4""";71;5;0;1;F7;A1
45.0909090909;0.0606060606061;4;6;32;1;1;0.363636363636;"""4/4""";72;5;0;1;C-;A1
45.1515151515;0.0606060606061;4;6;32;1;2;0.363636363636;"""4/4""";74;5;0;1;C-;A1
45.2121212121;0.0606060606061;4;6;32;1;3;0.363636363636;"""4/4""";72;5;0;1;C-;A1
45.2727272727;0.181818181818;4;6;32;1;4;0.363636363636;"""4/4""";69;5;0;1;C-;A1
45.4545454545;0.181818181818;4;2;32;2;1;0.363636363636;"""4/4""";65;5;0;1;C-;A1
45.6363636364;0.181818181818;4;2;32;2;2;0.363636363636;"""4/4""";63;5;0;1;C-;A1
46.3636363636;0.181818181818;4;2;32;4;2;0.363636363636;"""4/4""";67;5;0;1;F7;A1
46.5454545455;0.0606060606061;4;6;33;1;1;0.363636363636;"""4/4""";65;5;0;1;Bb7;A1
46.6060606061;0.0606060606061;4;6;33;1;2;0.363636363636;"""4/4""";67;5;0;1;Bb7;A1
46.6666666667;0.0606060606061;4;6;33;1;3;0.363636363636;"""4/4""";65;5;0;1;Bb7;A1
46.7272727273;0.181818181818;4;6;33;1;4;0.363636363636;"""4/4""";62;5;0;1;Bb7;A1
46.9090909091;0.181818181818;4;2;33;2;1;0.363636363636;"""4/4""";58;5;0;1;Bb7;A1
47.0909090909;0.181818181818;4;2;33;2;2;0.363636363636;"""4/4""";55;5;0;1;Bb7;A1
47.2727272727;0.363636363636;4;1;33;3;1;0.363636363636;"""4/4""";56;5;0;1;Bb7;A1
48.7272727273;0.363636363636;4;1;34;3;1;0.363636363636;"""4/4""";72;6;1;1;Bb7;A1
49.0909090909;0.181818181818;4;2;34;4;1;0.363636363636;"""4/4""";77;6;0;1;Bb7;A1
49.2727272727;0.181818181818;4;2;34;4;2;0.363636363636;"""4/4""";72;6;0;1;Bb7;A1
49.4545454545;0.181818181818;4;4;35;1;1;0.363636363636;"""4/4""";70;6;0;1;F7;A1
49.6363636364;0.0909090909091;4;4;35;1;3;0.363636363636;"""4/4""";72;6;0;1;F7;A1
49.7272727273;0.0909090909091;4;4;35;1;4;0.363636363636;"""4/4""";70;6;0;1;F7;A1
49.8181818182;0.181818181818;4;2;35;2;1;0.363636363636;"""4/4""";69;6;0;1;F7;A1
50.0;0.181818181818;4;2;35;2;2;0.363636363636;"""4/4""";70;6;0;1;F7;A1
50.1818181818;0.181818181818;4;2;35;3;1;0.363636363636;"""4/4""";72;6;0;1;F7;A1
50.3636363636;0.181818181818;4;2;35;3;2;0.363636363636;"""4/4""";69;6;0;1;F7;A1
52.7272727273;0.0909090909091;4;4;37;2;1;0.363636363636;"""4/4""";66;7;1;1;G-;A1
52.8181818182;0.0909090909091;4;4;37;2;2;0.363636363636;"""4/4""";67;7;0;1;G-;A1
52.9090909091;0.0909090909091;4;4;37;2;3;0.363636363636;"""4/4""";70;7;0;1;G-;A1
53.0;0.0909090909091;4;4;37;2;4;0.363636363636;"""4/4""";74;7;0;1;G-;A1
53.0909090909;0.0909090909091;4;4;37;3;1;0.363636363636;"""4/4""";77;7;0;1;G-;A1
53.1818181818;0.0909090909091;4;4;37;3;2;0.363636363636;"""4/4""";74;7;0;1;G-;A1
53.2727272727;0.0909090909091;4;4;37;3;3;0.363636363636;"""4/4""";75;7;0;1;G-;A1
53.3636363636;0.0909090909091;4;4;37;3;4;0.363636363636;"""4/4""";76;7;0;1;G-;A1
53.4545454545;0.0909090909091;4;4;37;4;1;0.363636363636;"""4/4""";72;7;0;1;G-;A1
53.5454545455;0.0909090909091;4;4;37;4;2;0.363636363636;"""4/4""";73;7;0;1;G-;A1
53.6363636364;0.0909090909091;4;4;37;4;3;0.363636363636;"""4/4""";74;7;0;1;G-;A1
53.7272727273;0.0909090909091;4;4;37;4;4;0.363636363636;"""4/4""";72;7;0;1;G-;A1
53.8181818182;0.0909090909091;4;4;38;1;1;0.363636363636;"""4/4""";70;7;0;1;C7;A1
53.9090909091;0.0909090909091;4;4;38;1;2;0.363636363636;"""4/4""";69;7;0;1;C7;A1
54.0;0.0909090909091;4;4;38;1;3;0.363636363636;"""4/4""";67;7;0;1;C7;A1
54.0909090909;0.0909090909091;4;4;38;1;4;0.363636363636;"""4/4""";65;7;0;1;C7;A1
54.1818181818;0.0909090909091;4;4;38;2;1;0.363636363636;"""4/4""";64;7;0;1;C7;A1
54.2727272727;0.0909090909091;4;4;38;2;2;0.363636363636;"""4/4""";67;7;0;1;C7;A1
54.3636363636;0.0909090909091;4;4;38;2;3;0.363636363636;"""4/4""";70;7;0;1;C7;A1
54.4545454545;0.0909090909091;4;4;38;2;4;0.363636363636;"""4/4""";73;7;0;1;C7;A1
54.5454545455;0.0909090909091;4;12;38;3;1;0.363636363636;"""4/4""";72;7;0;1;C7;A1
54.6363636364;0.0909090909091;4;12;38;3;4;0.363636363636;"""4/4""";69;7;0;1;C7;A1
54.7272727273;0.0606060606061;4;12;38;3;7;0.363636363636;"""4/4""";70;7;0;1;C7;A1
54.7878787879;0.0606060606061;4;12;38;3;9;0.363636363636;"""4/4""";72;7;0;1;C7;A1
54.8484848485;0.0606060606061;4;12;38;3;11;0.363636363636;"""4/4""";70;7;0;1;C7;A1
54.9090909091;0.0909090909091;4;4;38;4;1;0.363636363636;"""4/4""";69;7;0;1;C7;A1
55.0;0.0909090909091;4;4;38;4;2;0.363636363636;"""4/4""";65;7;0;1;C7;A1
55.0909090909;0.0909090909091;4;4;38;4;3;0.363636363636;"""4/4""";62;7;0;1;C7;A1
55.1818181818;0.0909090909091;4;4;38;4;4;0.363636363636;"""4/4""";60;7;0;1;C7;A1
55.2727272727;0.363636363636;4;1;39;1;1;0.363636363636;"""4/4""";65;7;0;1;F7;A1
55.8181818182;0.181818181818;4;2;39;2;2;0.363636363636;"""4/4""";63;7;0;1;F7;A1
56.0;0.181818181818;4;2;39;3;1;0.363636363636;"""4/4""";61;7;0;1;F7;A1
56.1818181818;0.181818181818;4;2;39;3;2;0.363636363636;"""4/4""";60;7;0;1;F7;A1
57.2727272727;0.181818181818;4;2;40;2;2;0.363636363636;"""4/4""";60;8;1;1;C7;A1
57.4545454545;0.181818181818;4;2;40;3;1;0.363636363636;"""4/4""";65;8;0;2;C7;A1
57.6363636364;0.181818181818;4;2;40;3;2;0.363636363636;"""4/4""";69;8;0;2;C7;A1
57.8181818182;0.181818181818;4;2;40;4;1;0.363636363636;"""4/4""";72;8;0;2;C7;A1
58.0;0.181818181818;4;2;40;4;2;0.363636363636;"""4/4""";77;8;0;2;C7;A1
58.5454545455;0.181818181818;4;4;41;2;1;0.363636363636;"""4/4""";75;8;0;2;F7;A1
58.7272727273;0.0909090909091;4;4;41;2;3;0.363636363636;"""4/4""";74;8;0;2;F7;A1
58.8181818182;0.0909090909091;4;4;41;2;4;0.363636363636;"""4/4""";72;8;0;2;F7;A1
58.9090909091;0.181818181818;4;2;41;3;1;0.363636363636;"""4/4""";70;8;0;2;F7;A1
59.0909090909;0.181818181818;4;2;41;3;2;0.363636363636;"""4/4""";69;8;0;2;F7;A1
59.2727272727;0.181818181818;4;2;41;4;1;0.363636363636;"""4/4""";67;8;0;2;F7;A1
59.4545454545;0.181818181818;4;2;41;4;2;0.363636363636;"""4/4""";66;8;0;2;F7;A1
59.6363636364;0.181818181818;4;2;42;1;1;0.363636363636;"""4/4""";65;8;0;2;Bb7;A1
59.8181818182;0.181818181818;4;2;42;1;2;0.363636363636;"""4/4""";63;8;0;2;Bb7;A1
60.0;0.121212121212;4;3;42;2;1;0.363636363636;"""4/4""";62;8;0;2;Bb7;A1
60.1212121212;0.121212121212;4;3;42;2;2;0.363636363636;"""4/4""";65;8;0;2;Bb7;A1
60.2424242424;0.121212121212;4;3;42;2;3;0.363636363636;"""4/4""";69;8;0;2;Bb7;A1
60.3636363636;0.181818181818;4;2;42;3;1;0.363636363636;"""4/4""";72;8;0;2;Bb7;A1
60.5454545455;0.181818181818;4;2;42;3;2;0.363636363636;"""4/4""";70;8;0;2;Bb7;A1
60.7272727273;0.181818181818;4;2;42;4;1;0.363636363636;"""4/4""";61;8;0;2;Bb7;A1
60.9090909091;0.181818181818;4;2;42;4;2;0.363636363636;"""4/4""";70;8;0;2;Bb7;A1
61.0909090909;0.0606060606061;4;6;43;1;1;0.363636363636;"""4/4""";69;8;0;2;F7;A1
61.1515151515;0.0606060606061;4;6;43;1;2;0.363636363636;"""4/4""";70;8;0;2;F7;A1
61.2121212121;0.0606060606061;4;6;43;1;3;0.363636363636;"""4/4""";69;8;0;2;F7;A1
61.2727272727;0.181818181818;4;6;43;1;4;0.363636363636;"""4/4""";65;8;0;2;F7;A1
61.4545454545;0.181818181818;4;2;43;2;1;0.363636363636;"""4/4""";62;8;0;2;F7;A1
61.6363636364;0.181818181818;4;2;43;2;2;0.363636363636;"""4/4""";60;8;0;2;F7;A1
61.8181818182;0.0606060606061;4;6;43;3;1;0.363636363636;"""4/4""";67;8;0;2;F7;A1
61.8787878788;0.0606060606061;4;6;43;3;2;0.363636363636;"""4/4""";68;8;0;2;F7;A1
61.9393939394;0.0606060606061;4;6;43;3;3;0.363636363636;"""4/4""";67;8;0;2;F7;A1
62.0;0.181818181818;4;6;43;3;4;0.363636363636;"""4/4""";65;8;0;2;F7;A1
62.1818181818;0.181818181818;4;2;43;4;1;0.363636363636;"""4/4""";63;8;0;2;F7;A1
62.3636363636;0.181818181818;4;2;43;4;2;0.363636363636;"""4/4""";65;8;0;2;F7;A1
62.5454545455;0.181818181818;4;2;44;1;1;0.363636363636;"""4/4""";62;8;0;2;C-;A1
62.7272727273;0.181818181818;4;2;44;1;2;0.363636363636;"""4/4""";65;8;0;2;C-;A1
62.9090909091;0.181818181818;4;2;44;2;1;0.363636363636;"""4/4""";61;8;0;2;C-;A1
63.0909090909;0.181818181818;4;2;44;2;2;0.363636363636;"""4/4""";60;8;0;2;C-;A1
65.2727272727;0.181818181818;4;2;45;4;2;0.363636363636;"""4/4""";80;9;1;2;Bb7;A1
65.6363636364;0.181818181818;4;2;46;1;2;0.363636363636;"""4/4""";79;9;0;2;Bb7;A1
65.9090909091;0.0909090909091;4;4;46;2;2;0.363636363636;"""4/4""";77;9;0;2;Bb7;A1
66.1818181818;0.181818181818;4;2;46;3;1;0.363636363636;"""4/4""";75;9;0;2;Bb7;A1
66.3636363636;0.181818181818;4;2;46;3;2;0.363636363636;"""4/4""";72;9;0;2;Bb7;A1
66.5454545455;0.181818181818;4;2;46;4;1;0.363636363636;"""4/4""";70;9;0;2;Bb7;A1
66.7272727273;0.181818181818;4;2;46;4;2;0.363636363636;"""4/4""";65;9;0;2;Bb7;A1
66.9090909091;0.545454545455;4;1;47;1;1;0.363636363636;"""4/4""";69;9;0;2;F7;A1
67.4545454545;0.181818181818;4;2;47;2;2;0.363636363636;"""4/4""";72;9;0;2;F7;A1
68.1818181818;0.181818181818;4;2;47;4;2;0.363636363636;"""4/4""";70;10;1;2;F7;A1
68.3636363636;0.0606060606061;4;6;48;1;1;0.363636363636;"""4/4""";69;10;0;2;D7;A1
68.4242424242;0.0606060606061;4;6;48;1;2;0.363636363636;"""4/4""";70;10;0;2;D7;A1
68.4848484848;0.0606060606061;4;6;48;1;3;0.363636363636;"""4/4""";69;10;0;2;D7;A1
68.5454545455;0.181818181818;4;6;48;1;4;0.363636363636;"""4/4""";67;10;0;2;D7;A1
68.7272727273;0.181818181818;4;2;48;2;1;0.363636363636;"""4/4""";66;10;0;2;D7;A1
68.9090909091;0.181818181818;4;2;48;2;2;0.363636363636;"""4/4""";69;10;0;2;D7;A1
69.0909090909;0.181818181818;4;2;48;3;1;0.363636363636;"""4/4""";72;10;0;2;D7;A1
