onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
12.625;0.375;4;2;13;3;2;0.25;"""4/4""";62;1;1;1;F7;I1
13.0;0.25;4;1;14;1;1;0.25;"""4/4""";70;1;0;1;Bb;I1
13.5;0.0416666666667;4;6;14;3;1;0.25;"""4/4""";68;1;0;1;Bb;I1
13.5416666667;0.0416666666667;4;6;14;3;2;0.25;"""4/4""";70;1;0;1;Bb;I1
13.5833333333;0.0416666666667;4;6;14;3;3;0.25;"""4/4""";68;1;0;1;Bb;I1
13.625;0.125;4;6;14;3;4;0.25;"""4/4""";65;1;0;1;Bb;I1
13.75;0.125;4;2;14;4;1;0.25;"""4/4""";63;1;0;1;Bb;I1
13.875;0.125;4;2;14;4;2;0.25;"""4/4""";58;1;0;1;Bb;I1
14.0;0.125;4;2;15;1;1;0.25;"""4/4""";60;1;0;1;Eb7;A1
14.125;0.125;4;2;15;1;2;0.25;"""4/4""";61;1;0;1;Eb7;A1
14.25;0.125;4;2;15;2;1;0.25;"""4/4""";58;1;0;1;Eb7;A1
14.375;0.125;4;2;15;2;2;0.25;"""4/4""";55;1;0;1;Eb7;A1
14.5;0.125;4;2;15;3;1;0.25;"""4/4""";60;1;0;1;Eb7;A1
14.625;0.125;4;2;15;3;2;0.25;"""4/4""";58;1;0;1;Eb7;A1
14.75;0.0833333333333;4;3;15;4;1;0.25;"""4/4""";60;1;0;1;Eb7;A1
14.8333333333;0.0833333333333;4;3;15;4;2;0.25;"""4/4""";63;1;0;1;Eb7;A1
14.9166666667;0.0833333333333;4;3;15;4;3;0.25;"""4/4""";66;1;0;1;Eb7;A1
15.0;0.125;4;2;16;1;1;0.25;"""4/4""";65;1;0;1;Bb7;A1
15.125;0.125;4;2;16;1;2;0.25;"""4/4""";63;1;0;1;Bb7;A1
15.25;0.125;4;2;16;2;1;0.25;"""4/4""";62;1;0;1;Bb7;A1
15.375;0.125;4;2;16;2;2;0.25;"""4/4""";60;1;0;1;Bb7;A1
15.5;0.125;4;2;16;3;1;0.25;"""4/4""";58;1;0;1;Bb7;A1
15.625;0.125;4;2;16;3;2;0.25;"""4/4""";57;1;0;1;Bb7;A1
15.75;0.125;4;2;16;4;1;0.25;"""4/4""";56;1;0;1;Bb7;A1
15.875;0.125;4;2;16;4;2;0.25;"""4/4""";60;1;0;1;Bb7;A1
16.0;0.125;4;2;17;1;1;0.25;"""4/4""";70;1;0;1;Bb+7;A1
16.125;0.125;4;2;17;1;2;0.25;"""4/4""";66;1;0;1;Bb+7;A1
16.25;0.125;4;2;17;2;1;0.25;"""4/4""";62;1;0;1;Bb+7;A1
16.375;0.125;4;2;17;2;2;0.25;"""4/4""";58;1;0;1;Bb+7;A1
16.5;0.125;4;2;17;3;1;0.25;"""4/4""";60;1;0;1;Bb+7;A1
16.625;0.125;4;2;17;3;2;0.25;"""4/4""";56;1;0;1;Bb+7;A1
16.75;0.125;4;2;17;4;1;0.25;"""4/4""";53;1;0;1;Bb+7;A1
16.875;0.125;4;2;17;4;2;0.25;"""4/4""";58;1;0;1;Bb+7;A1
17.0;0.125;4;2;18;1;1;0.25;"""4/4""";55;1;0;1;Eb7;A1
17.125;0.125;4;2;18;1;2;0.25;"""4/4""";58;1;0;1;Eb7;A1
17.25;0.125;4;2;18;2;1;0.25;"""4/4""";60;1;0;1;Eb7;A1
17.375;0.125;4;2;18;2;2;0.25;"""4/4""";65;1;0;1;Eb7;A1
17.5;0.25;4;1;18;3;1;0.25;"""4/4""";63;1;0;1;Eb7;A1
19.125;0.125;4;2;20;1;2;0.25;"""4/4""";66;2;1;1;Bb7;A1
19.25;0.0833333333333;4;3;20;2;1;0.25;"""4/4""";67;2;0;1;Bb7;A1
19.3333333333;0.0833333333333;4;3;20;2;2;0.25;"""4/4""";70;2;0;1;Bb7;A1
19.4166666667;0.0833333333333;4;3;20;2;3;0.25;"""4/4""";74;2;0;1;Bb7;A1
19.5;0.125;4;2;20;3;1;0.25;"""4/4""";77;2;0;1;Bb7;A1
19.625;0.125;4;2;20;3;2;0.25;"""4/4""";75;2;0;1;Bb7;A1
19.75;0.125;4;2;20;4;1;0.25;"""4/4""";74;2;0;1;Bb7;A1
19.875;0.125;4;2;20;4;2;0.25;"""4/4""";72;2;0;1;Bb7;A1
20.0;0.125;4;2;21;1;1;0.25;"""4/4""";71;2;0;1;Gb79b;A1
20.125;0.125;4;2;21;1;2;0.25;"""4/4""";62;2;0;1;Gb79b;A1
20.25;0.125;4;2;21;2;1;0.25;"""4/4""";65;2;0;1;Gb79b;A1
20.375;0.125;4;2;21;2;2;0.25;"""4/4""";67;2;0;1;Gb79b;A1
20.5;0.125;4;4;21;3;1;0.25;"""4/4""";68;2;0;1;Gb79b;A1
20.625;0.0625;4;4;21;3;3;0.25;"""4/4""";70;2;0;1;Gb79b;A1
20.6875;0.0625;4;4;21;3;4;0.25;"""4/4""";68;2;0;1;Gb79b;A1
20.75;0.125;4;2;21;4;1;0.25;"""4/4""";67;2;0;1;Gb79b;A1
20.875;0.125;4;2;21;4;2;0.25;"""4/4""";65;2;0;1;Gb79b;A1
21.0;0.125;4;2;22;1;1;0.25;"""4/4""";63;2;0;1;C-;A1
21.125;0.125;4;2;22;1;2;0.25;"""4/4""";55;2;0;1;C-;A1
21.25;0.125;4;2;22;2;1;0.25;"""4/4""";58;2;0;1;C-;A1
21.375;0.125;4;2;22;2;2;0.25;"""4/4""";63;2;0;1;C-;A1
21.5;0.125;4;2;22;3;1;0.25;"""4/4""";62;2;0;1;C-;A1
21.625;0.125;4;2;22;3;2;0.25;"""4/4""";60;2;0;1;C-;A1
21.75;0.125;4;2;22;4;1;0.25;"""4/4""";58;2;0;1;C-;A1
21.875;0.125;4;2;22;4;2;0.25;"""4/4""";55;2;0;1;C-;A1
22.0;0.125;4;2;23;1;1;0.25;"""4/4""";57;2;0;1;F7;A1
22.125;0.125;4;2;23;1;2;0.25;"""4/4""";65;2;0;1;F7;A1
22.75;0.125;4;2;23;4;1;0.25;"""4/4""";60;2;0;1;F7;A1
22.875;0.125;4;2;23;4;2;0.25;"""4/4""";65;2;0;1;F7;A1
23.5;0.125;4;2;24;3;1;0.25;"""4/4""";61;2;0;1;Bb7;A1
23.625;0.125;4;2;24;3;2;0.25;"""4/4""";65;2;0;1;Bb7;A1
24.0;0.125;4;2;25;1;1;0.25;"""4/4""";62;2;0;1;C-;A1
24.125;0.125;4;2;25;1;2;0.25;"""4/4""";65;2;0;1;C-;A1
25.125;0.125;4;2;26;1;2;0.25;"""4/4""";57;3;1;1;Bb7;A1
25.25;0.0833333333333;4;3;26;2;1;0.25;"""4/4""";58;3;0;2;Bb7;A1
25.3333333333;0.0833333333333;4;3;26;2;2;0.25;"""4/4""";62;3;0;2;Bb7;A1
25.4166666667;0.0833333333333;4;3;26;2;3;0.25;"""4/4""";65;3;0;2;Bb7;A1
25.5;0.125;4;2;26;3;1;0.25;"""4/4""";70;3;0;2;Bb7;A1
25.625;0.125;4;2;26;3;2;0.25;"""4/4""";68;3;0;2;Bb7;A1
25.75;0.125;4;2;26;4;1;0.25;"""4/4""";67;3;0;2;Bb7;A1
25.875;0.125;4;2;26;4;2;0.25;"""4/4""";65;3;0;2;Bb7;A1
26.0;0.125;4;2;27;1;1;0.25;"""4/4""";63;3;0;2;Eb7;A1
26.125;0.125;4;2;27;1;2;0.25;"""4/4""";57;3;0;2;Eb7;A1
26.25;0.125;4;2;27;2;1;0.25;"""4/4""";58;3;0;2;Eb7;A1
26.375;0.125;4;2;27;2;2;0.25;"""4/4""";60;3;0;2;Eb7;A1
26.5;0.125;4;2;27;3;1;0.25;"""4/4""";61;3;0;2;Eb7;A1
26.625;0.125;4;2;27;3;2;0.25;"""4/4""";58;3;0;2;Eb7;A1
26.75;0.125;4;2;27;4;1;0.25;"""4/4""";55;3;0;2;Eb7;A1
