onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
77.04;0.12;4;4;41;1;3;0.48;"""4/4""";58;1;1;1;Eb7;I1
77.16;0.12;4;4;41;1;4;0.48;"""4/4""";60;1;0;1;Eb7;I1
77.28;0.12;4;4;41;2;1;0.48;"""4/4""";63;1;0;1;Eb7;I1
77.4;0.12;4;4;41;2;2;0.48;"""4/4""";67;1;0;1;Eb7;I1
77.52;0.12;4;4;41;2;3;0.48;"""4/4""";68;1;0;1;Eb7;I1
77.64;0.12;4;4;41;2;4;0.48;"""4/4""";63;1;0;1;Eb7;I1
77.76;0.12;4;4;41;3;1;0.48;"""4/4""";67;1;0;1;Eb7;I1
77.88;0.36;4;4;41;3;2;0.48;"""4/4""";68;1;0;1;Eb7;I1
78.96;0.24;4;2;42;1;2;0.48;"""4/4""";63;1;0;1;Eb7;I1
79.2;0.12;4;4;42;2;1;0.48;"""4/4""";66;1;0;1;Eb7;I1
79.32;0.12;4;4;42;2;2;0.48;"""4/4""";68;1;0;1;Eb7;I1
79.44;0.12;4;4;42;2;3;0.48;"""4/4""";69;1;0;1;Eb7;I1
79.56;0.12;4;4;42;2;4;0.48;"""4/4""";70;1;0;1;Eb7;I1
79.68;0.04;4;12;42;3;1;0.48;"""4/4""";69;1;0;1;Eb7;I1
79.72;0.04;4;12;42;3;2;0.48;"""4/4""";70;1;0;1;Eb7;I1
79.76;0.04;4;12;42;3;3;0.48;"""4/4""";69;1;0;1;Eb7;I1
79.8;0.12;4;12;42;3;4;0.48;"""4/4""";68;1;0;1;Eb7;I1
79.92;0.12;4;12;42;3;7;0.48;"""4/4""";67;1;0;1;Eb7;I1
80.04;0.12;4;12;42;3;10;0.48;"""4/4""";65;1;0;1;Eb7;I1
80.28;0.12;4;4;42;4;2;0.48;"""4/4""";63;1;0;1;Eb7;I1
80.4;0.12;4;4;42;4;3;0.48;"""4/4""";62;1;0;1;Eb7;I1
80.52;0.12;4;4;42;4;4;0.48;"""4/4""";65;1;0;1;Eb7;I1
80.64;0.12;4;4;43;1;1;0.48;"""4/4""";68;1;0;1;Eb7;I1
80.76;0.12;4;4;43;1;2;0.48;"""4/4""";71;1;0;1;Eb7;I1
80.88;0.12;4;4;43;1;3;0.48;"""4/4""";70;1;0;1;Eb7;I1
81.0;0.12;4;4;43;1;4;0.48;"""4/4""";68;1;0;1;Eb7;I1
81.12;0.12;4;4;43;2;1;0.48;"""4/4""";67;1;0;1;Eb7;I1
81.24;0.12;4;4;43;2;2;0.48;"""4/4""";65;1;0;1;Eb7;I1
81.36;0.12;4;4;43;2;3;0.48;"""4/4""";63;1;0;1;Eb7;I1
81.48;0.12;4;4;43;2;4;0.48;"""4/4""";58;1;0;1;Eb7;I1
81.6;0.12;4;4;43;3;1;0.48;"""4/4""";62;1;0;1;Eb7;I1
81.72;0.12;4;4;43;3;2;0.48;"""4/4""";63;1;0;1;Eb7;I1
81.84;0.12;4;4;43;3;3;0.48;"""4/4""";65;1;0;1;Eb7;I1
81.96;0.12;4;4;43;3;4;0.48;"""4/4""";62;1;0;1;Eb7;I1
82.08;0.12;4;4;43;4;1;0.48;"""4/4""";63;1;0;1;Eb7;I1
82.2;0.12;4;4;43;4;2;0.48;"""4/4""";58;1;0;1;Eb7;I1
82.32;0.12;4;4;43;4;3;0.48;"""4/4""";60;1;0;1;Eb7;I1
82.44;0.12;4;4;43;4;4;0.48;"""4/4""";61;1;0;1;Eb7;I1
84.72;0.24;4;2;45;1;2;0.48;"""4/4""";63;2;1;1;Ab7;I1
84.96;0.24;4;4;45;2;1;0.48;"""4/4""";75;2;0;1;Ab7;I1
85.2;0.12;4;4;45;2;3;0.48;"""4/4""";72;2;0;1;Ab7;I1
85.32;0.12;4;4;45;2;4;0.48;"""4/4""";70;2;0;1;Ab7;I1
85.44;0.24;4;2;45;3;1;0.48;"""4/4""";66;2;0;1;Ab7;I1
85.68;0.24;4;2;45;3;2;0.48;"""4/4""";63;2;0;1;Ab7;I1
85.92;0.24;4;2;45;4;1;0.48;"""4/4""";65;2;0;1;Ab7;I1
86.16;0.24;4;2;45;4;2;0.48;"""4/4""";60;2;0;1;Ab7;I1
87.6;0.24;4;2;46;3;2;0.48;"""4/4""";53;3;1;1;Ab7;I1
87.84;0.12;4;4;46;4;1;0.48;"""4/4""";54;3;0;1;Ab7;I1
87.96;0.12;4;4;46;4;2;0.48;"""4/4""";56;3;0;1;Ab7;I1
88.08;0.12;4;4;46;4;3;0.48;"""4/4""";58;3;0;1;Ab7;I1
88.2;0.12;4;4;46;4;4;0.48;"""4/4""";60;3;0;1;Ab7;I1
88.32;0.36;4;4;47;1;1;0.48;"""4/4""";65;3;0;1;Eb7;I1
88.68;0.12;4;4;47;1;4;0.48;"""4/4""";62;3;0;1;Eb7;I1
88.8;0.12;4;4;47;2;1;0.48;"""4/4""";63;3;0;1;Eb7;I1
88.92;0.36;4;4;47;2;2;0.48;"""4/4""";58;3;0;1;Eb7;I1
90.48;0.12;4;4;48;1;3;0.48;"""4/4""";74;4;1;1;Eb7;I1
90.6;0.12;4;4;48;1;4;0.48;"""4/4""";73;4;0;1;Eb7;I1
90.72;0.12;4;4;48;2;1;0.48;"""4/4""";72;4;0;1;Eb7;I1
90.84;0.12;4;4;48;2;2;0.48;"""4/4""";71;4;0;1;Eb7;I1
90.96;0.12;4;4;48;2;3;0.48;"""4/4""";70;4;0;1;Eb7;I1
91.08;0.12;4;4;48;2;4;0.48;"""4/4""";68;4;0;1;Eb7;I1
91.2;0.12;4;4;48;3;1;0.48;"""4/4""";67;4;0;1;C7;I1
91.32;0.12;4;4;48;3;2;0.48;"""4/4""";65;4;0;1;C7;I1
91.44;0.12;4;4;48;3;3;0.48;"""4/4""";64;4;0;1;C7;I1
91.56;0.12;4;4;48;3;4;0.48;"""4/4""";55;4;0;1;C7;I1
91.68;0.12;4;4;48;4;1;0.48;"""4/4""";58;4;0;1;C7;I1
91.8;0.12;4;4;48;4;2;0.48;"""4/4""";61;4;0;1;C7;I1
91.92;0.12;4;4;48;4;3;0.48;"""4/4""";60;4;0;1;C7;I1
92.04;0.12;4;4;48;4;4;0.48;"""4/4""";59;4;0;1;C7;I1
92.16;0.12;4;4;49;1;1;0.48;"""4/4""";58;4;0;1;F-;I1
92.28;0.12;4;4;49;1;2;0.48;"""4/4""";57;4;0;1;F-;I1
92.4;0.12;4;4;49;1;3;0.48;"""4/4""";56;4;0;1;F-;I1
92.52;0.12;4;4;49;1;4;0.48;"""4/4""";60;4;0;1;F-;I1
92.64;0.12;4;4;49;2;1;0.48;"""4/4""";67;4;0;1;F-;I1
92.76;0.12;4;4;49;2;2;0.48;"""4/4""";65;4;0;1;F-;I1
92.88;0.12;4;4;49;2;3;0.48;"""4/4""";60;4;0;1;F-;I1
93.0;0.12;4;4;49;2;4;0.48;"""4/4""";56;4;0;1;F-;I1
93.12;0.12;4;4;49;3;1;0.48;"""4/4""";63;4;0;1;F-;I1
93.24;0.12;4;4;49;3;2;0.48;"""4/4""";61;4;0;1;F-;I1
93.36;0.12;4;4;49;3;3;0.48;"""4/4""";62;4;0;1;F-;I1
