onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
17.4545454545;0.121212121212;4;3;13;1;1;0.363636363636;"""4/4""";64;1;1;1;F;A1
17.5757575758;0.121212121212;4;3;13;1;2;0.363636363636;"""4/4""";65;1;0;1;F;A1
17.696969697;0.121212121212;4;3;13;1;3;0.363636363636;"""4/4""";67;1;0;1;F;A1
17.8181818182;0.181818181818;4;2;13;2;1;0.363636363636;"""4/4""";65;1;0;1;F;A1
18.0;0.181818181818;4;2;13;2;2;0.363636363636;"""4/4""";60;1;0;1;F;A1
18.1818181818;0.181818181818;4;2;13;3;1;0.363636363636;"""4/4""";64;1;0;1;F;A1
18.3636363636;0.181818181818;4;2;13;3;2;0.363636363636;"""4/4""";65;1;0;1;F;A1
18.5454545455;0.181818181818;4;2;13;4;1;0.363636363636;"""4/4""";58;1;0;1;F;A1
18.7272727273;0.181818181818;4;2;13;4;2;0.363636363636;"""4/4""";59;1;0;1;F;A1
18.9090909091;0.181818181818;4;2;14;1;1;0.363636363636;"""4/4""";62;1;0;1;Em7b5;A1
19.0909090909;0.181818181818;4;2;14;1;2;0.363636363636;"""4/4""";59;1;0;1;Em7b5;A1
19.2727272727;0.121212121212;4;3;14;2;1;0.363636363636;"""4/4""";61;1;0;1;Em7b5;A1
19.3939393939;0.121212121212;4;3;14;2;2;0.363636363636;"""4/4""";64;1;0;1;Em7b5;A1
19.5151515152;0.121212121212;4;3;14;2;3;0.363636363636;"""4/4""";67;1;0;1;Em7b5;A1
19.6363636364;0.181818181818;4;4;14;3;1;0.363636363636;"""4/4""";70;1;0;1;A7;A1
19.8181818182;0.0909090909091;4;4;14;3;3;0.363636363636;"""4/4""";72;1;0;1;A7;A1
19.9090909091;0.0909090909091;4;4;14;3;4;0.363636363636;"""4/4""";70;1;0;1;A7;A1
20.0;0.181818181818;4;2;14;4;1;0.363636363636;"""4/4""";69;1;0;1;A7;A1
20.1818181818;0.181818181818;4;2;14;4;2;0.363636363636;"""4/4""";65;1;0;1;A7;A1
20.3636363636;0.181818181818;4;2;15;1;1;0.363636363636;"""4/4""";67;1;0;1;D-;A1
20.5454545455;0.181818181818;4;2;15;1;2;0.363636363636;"""4/4""";60;1;0;1;D-;A1
20.7272727273;0.181818181818;4;2;15;2;1;0.363636363636;"""4/4""";62;1;0;1;D-;A1
20.9090909091;0.181818181818;4;2;15;2;2;0.363636363636;"""4/4""";63;1;0;1;D-;A1
22.9090909091;0.0606060606061;4;6;16;4;1;0.363636363636;"""4/4""";65;2;1;1;F7;A1
22.9696969697;0.0606060606061;4;6;16;4;2;0.363636363636;"""4/4""";65;2;0;1;F7;A1
23.0303030303;0.0606060606061;4;6;16;4;3;0.363636363636;"""4/4""";65;2;0;1;F7;A1
23.2727272727;0.242424242424;4;3;17;1;1;0.363636363636;"""4/4""";71;2;0;1;Bb7;A1
23.5151515152;0.242424242424;4;3;17;1;3;0.363636363636;"""4/4""";70;2;0;1;Bb7;A1
23.7575757576;0.242424242424;4;3;17;2;2;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
24.0;0.363636363636;4;1;17;3;1;0.363636363636;"""4/4""";71;2;0;1;Bb7;A1
24.3636363636;0.181818181818;4;2;17;4;1;0.363636363636;"""4/4""";70;2;0;1;Bb7;A1
24.5454545455;0.181818181818;4;2;17;4;2;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
24.7272727273;0.181818181818;4;2;18;1;1;0.363636363636;"""4/4""";67;2;0;1;Bb7;A1
24.9090909091;0.181818181818;4;2;18;1;2;0.363636363636;"""4/4""";68;2;0;1;Bb7;A1
25.0909090909;0.181818181818;4;4;18;2;1;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
25.2727272727;0.0909090909091;4;4;18;2;3;0.363636363636;"""4/4""";67;2;0;1;Bb7;A1
25.3636363636;0.0909090909091;4;4;18;2;4;0.363636363636;"""4/4""";65;2;0;1;Bb7;A1
25.4545454545;0.181818181818;4;2;18;3;1;0.363636363636;"""4/4""";63;2;0;1;Eb7;A1
25.6363636364;0.181818181818;4;2;18;3;2;0.363636363636;"""4/4""";60;2;0;1;Eb7;A1
25.8181818182;0.0606060606061;4;6;18;4;1;0.363636363636;"""4/4""";58;2;0;1;Eb7;A1
25.8787878788;0.0606060606061;4;6;18;4;2;0.363636363636;"""4/4""";60;2;0;1;Eb7;A1
25.9393939394;0.0606060606061;4;6;18;4;3;0.363636363636;"""4/4""";58;2;0;1;Eb7;A1
26.0;0.181818181818;4;6;18;4;4;0.363636363636;"""4/4""";53;2;0;1;Eb7;A1
26.1818181818;0.363636363636;4;1;19;1;1;0.363636363636;"""4/4""";57;2;0;1;A-;A1
26.5454545455;0.121212121212;4;3;19;2;1;0.363636363636;"""4/4""";60;2;0;1;A-;A1
26.6666666667;0.121212121212;4;3;19;2;2;0.363636363636;"""4/4""";64;2;0;1;A-;A1
26.7878787879;0.121212121212;4;3;19;2;3;0.363636363636;"""4/4""";67;2;0;1;A-;A1
26.9090909091;0.181818181818;4;2;19;3;1;0.363636363636;"""4/4""";65;2;0;1;A-;A1
27.0909090909;0.181818181818;4;2;19;3;2;0.363636363636;"""4/4""";60;2;0;1;A-;A1
