onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
12.1304347826;0.130434782609;4;2;12;3;2;0.260869565217;"""4/4""";68;1;1;1;F7;I1
12.3913043478;0.0326086956522;4;8;12;4;5;0.260869565217;"""4/4""";67;1;0;1;F7;I1
12.4239130435;0.0326086956522;4;8;12;4;6;0.260869565217;"""4/4""";66;1;0;1;F7;I1
12.4565217391;0.0326086956522;4;8;12;4;7;0.260869565217;"""4/4""";65;1;0;1;F7;I1
12.4891304348;0.0326086956522;4;8;12;4;8;0.260869565217;"""4/4""";63;1;0;1;F7;I1
12.5217391304;0.130434782609;4;2;13;1;1;0.260869565217;"""4/4""";62;1;0;1;Bb7;A1
13.0434782609;0.130434782609;4;2;13;3;1;0.260869565217;"""4/4""";63;1;0;1;Bb7;A1
13.1739130435;0.130434782609;4;2;13;3;2;0.260869565217;"""4/4""";58;1;0;1;Bb7;A1
13.3043478261;0.130434782609;4;2;13;4;1;0.260869565217;"""4/4""";61;1;0;1;Bb7;A1
13.4347826087;0.130434782609;4;2;13;4;2;0.260869565217;"""4/4""";62;1;0;1;Bb7;A1
13.9565217391;0.130434782609;4;2;14;2;2;0.260869565217;"""4/4""";68;1;0;1;Bb7;A1
14.2173913043;0.0326086956522;4;8;14;3;5;0.260869565217;"""4/4""";67;1;0;1;Bb7;A1
14.25;0.0326086956522;4;8;14;3;6;0.260869565217;"""4/4""";66;1;0;1;Bb7;A1
14.2826086957;0.0326086956522;4;8;14;3;7;0.260869565217;"""4/4""";65;1;0;1;Bb7;A1
14.3152173913;0.0326086956522;4;8;14;3;8;0.260869565217;"""4/4""";63;1;0;1;Bb7;A1
14.347826087;0.130434782609;4;2;14;4;1;0.260869565217;"""4/4""";62;1;0;1;Bb7;A1
14.7391304348;0.130434782609;4;2;15;1;2;0.260869565217;"""4/4""";63;1;0;1;Bb7;A1
15.0;0.0217391304348;4;12;15;2;7;0.260869565217;"""4/4""";62;1;0;1;Bb7;A1
15.0217391304;0.0217391304348;4;12;15;2;8;0.260869565217;"""4/4""";60;1;0;1;Bb7;A1
15.0434782609;0.0217391304348;4;12;15;2;9;0.260869565217;"""4/4""";58;1;0;1;Bb7;A1
15.0652173913;0.0217391304348;4;12;15;2;10;0.260869565217;"""4/4""";56;1;0;1;Bb7;A1
15.0869565217;0.0217391304348;4;12;15;2;11;0.260869565217;"""4/4""";55;1;0;1;Bb7;A1
15.1086956522;0.0217391304348;4;12;15;2;12;0.260869565217;"""4/4""";53;1;0;1;Bb7;A1
15.5217391304;0.130434782609;4;2;15;4;2;0.260869565217;"""4/4""";62;2;1;1;Bb7;A1
15.9130434783;0.130434782609;4;2;16;2;1;0.260869565217;"""4/4""";60;2;0;1;Bb7;A1
16.0434782609;0.130434782609;4;2;16;2;2;0.260869565217;"""4/4""";59;2;0;1;Bb7;A1
16.1739130435;0.130434782609;4;2;16;3;1;0.260869565217;"""4/4""";58;2;0;1;Bb7;A1
16.3043478261;0.130434782609;4;2;16;3;2;0.260869565217;"""4/4""";57;2;0;1;Bb7;A1
16.4347826087;0.130434782609;4;2;16;4;1;0.260869565217;"""4/4""";56;2;0;1;Bb7;A1
16.5652173913;0.130434782609;4;2;16;4;2;0.260869565217;"""4/4""";60;2;0;1;Bb7;A1
16.6956521739;0.130434782609;4;2;17;1;1;0.260869565217;"""4/4""";55;2;0;1;Eb7;A1
16.8260869565;0.130434782609;4;2;17;1;2;0.260869565217;"""4/4""";58;2;0;1;Eb7;A1
16.9565217391;0.130434782609;4;2;17;2;1;0.260869565217;"""4/4""";60;2;0;1;Eb7;A1
17.0869565217;0.130434782609;4;2;17;2;2;0.260869565217;"""4/4""";65;2;0;1;Eb7;A1
17.2173913043;0.130434782609;4;2;17;3;1;0.260869565217;"""4/4""";63;2;0;1;Eb7;A1
17.347826087;0.130434782609;4;2;17;3;2;0.260869565217;"""4/4""";58;2;0;1;Eb7;A1
17.4782608696;0.130434782609;4;2;17;4;1;0.260869565217;"""4/4""";60;2;0;1;Eb7;A1
17.6086956522;0.130434782609;4;2;17;4;2;0.260869565217;"""4/4""";61;2;0;1;Eb7;A1
18.1304347826;0.130434782609;4;2;18;2;2;0.260869565217;"""4/4""";62;3;1;1;Eb7;A1
18.5217391304;0.130434782609;4;2;18;4;1;0.260869565217;"""4/4""";63;3;0;1;Eb7;A1
18.652173913;0.130434782609;4;2;18;4;2;0.260869565217;"""4/4""";64;3;0;1;Eb7;A1
18.7826086957;0.260869565217;4;1;19;1;1;0.260869565217;"""4/4""";65;3;0;1;Bb7;A1
19.3043478261;0.0434782608696;4;6;19;3;1;0.260869565217;"""4/4""";69;3;0;1;Bb7;A1
19.347826087;0.0434782608696;4;6;19;3;2;0.260869565217;"""4/4""";70;3;0;1;Bb7;A1
19.3913043478;0.0434782608696;4;6;19;3;3;0.260869565217;"""4/4""";69;3;0;1;Bb7;A1
19.4347826087;0.130434782609;4;6;19;3;4;0.260869565217;"""4/4""";67;3;0;1;Bb7;A1
19.5652173913;0.130434782609;4;2;19;4;1;0.260869565217;"""4/4""";65;3;0;1;Bb7;A1
19.6956521739;0.130434782609;4;2;19;4;2;0.260869565217;"""4/4""";63;3;0;1;Bb7;A1
