onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
35.2857142857;0.0714285714286;4;4;31;4;3;0.285714285714;"""4/4""";62;1;1;1;C;I1
35.3571428571;0.0714285714286;4;4;31;4;4;0.285714285714;"""4/4""";64;1;0;1;C;I1
35.4285714286;0.142857142857;4;2;32;1;1;0.285714285714;"""4/4""";65;1;0;1;D-;I1
35.5714285714;0.142857142857;4;2;32;1;2;0.285714285714;"""4/4""";67;1;0;1;D-;I1
35.7142857143;0.142857142857;4;2;32;2;1;0.285714285714;"""4/4""";64;1;0;1;D-;I1
35.8571428571;0.142857142857;4;2;32;2;2;0.285714285714;"""4/4""";63;1;0;1;D-;I1
36.0;0.142857142857;4;2;32;3;1;0.285714285714;"""4/4""";62;1;0;1;G7;I1
36.1428571429;0.142857142857;4;2;32;3;2;0.285714285714;"""4/4""";60;1;0;1;G7;I1
36.2857142857;0.0952380952381;4;3;32;4;1;0.285714285714;"""4/4""";59;1;0;1;G7;I1
36.380952381;0.0952380952381;4;3;32;4;2;0.285714285714;"""4/4""";62;1;0;1;G7;I1
36.4761904762;0.0952380952381;4;3;32;4;3;0.285714285714;"""4/4""";65;1;0;1;G7;I1
36.5714285714;0.0714285714286;4;4;33;1;1;0.285714285714;"""4/4""";68;1;0;1;C;A1
36.6428571429;0.0714285714286;4;4;33;1;2;0.285714285714;"""4/4""";70;1;0;1;C;A1
36.7142857143;0.142857142857;4;4;33;1;3;0.285714285714;"""4/4""";67;1;0;1;C;A1
37.0;0.0714285714286;4;4;33;2;3;0.285714285714;"""4/4""";65;1;0;1;C;A1
37.0714285714;0.0714285714286;4;4;33;2;4;0.285714285714;"""4/4""";67;1;0;1;C;A1
37.1428571429;0.285714285714;4;1;33;3;1;0.285714285714;"""4/4""";64;1;0;1;C;A1
37.5714285714;0.0714285714286;4;4;33;4;3;0.285714285714;"""4/4""";59;1;0;1;C;A1
37.6428571429;0.0714285714286;4;4;33;4;4;0.285714285714;"""4/4""";60;1;0;1;C;A1
37.7142857143;0.0714285714286;4;4;34;1;1;0.285714285714;"""4/4""";62;1;0;1;C;A1
37.7857142857;0.0714285714286;4;4;34;1;2;0.285714285714;"""4/4""";60;1;0;1;C;A1
37.8571428571;0.0714285714286;4;4;34;1;3;0.285714285714;"""4/4""";59;1;0;1;C;A1
37.9285714286;0.0714285714286;4;4;34;1;4;0.285714285714;"""4/4""";58;1;0;1;C;A1
38.0;0.0952380952381;4;3;34;2;1;0.285714285714;"""4/4""";64;1;0;1;C;A1
38.0952380952;0.0952380952381;4;3;34;2;2;0.285714285714;"""4/4""";65;1;0;1;C;A1
38.1904761905;0.0952380952381;4;3;34;2;3;0.285714285714;"""4/4""";66;1;0;1;C;A1
38.2857142857;0.285714285714;4;1;34;3;1;0.285714285714;"""4/4""";67;1;0;1;C;A1
39.2857142857;0.142857142857;4;2;35;2;2;0.285714285714;"""4/4""";72;2;1;1;Ab7;A1
39.4285714286;0.047619047619;4;6;35;3;1;0.285714285714;"""4/4""";70;2;0;1;Ab7;A1
39.4761904762;0.047619047619;4;6;35;3;2;0.285714285714;"""4/4""";72;2;0;1;Ab7;A1
39.5238095238;0.047619047619;4;6;35;3;3;0.285714285714;"""4/4""";70;2;0;1;Ab7;A1
39.5714285714;0.142857142857;4;6;35;3;4;0.285714285714;"""4/4""";69;2;0;1;Ab7;A1
39.7142857143;0.142857142857;4;2;35;4;1;0.285714285714;"""4/4""";68;2;0;1;Ab7;A1
39.8571428571;0.142857142857;4;2;35;4;2;0.285714285714;"""4/4""";66;2;0;1;Ab7;A1
40.0;0.142857142857;4;2;36;1;1;0.285714285714;"""4/4""";63;2;0;1;Ab7;A1
40.1428571429;0.142857142857;4;2;36;1;2;0.285714285714;"""4/4""";60;2;0;1;Ab7;A1
40.2857142857;0.047619047619;4;6;36;2;1;0.285714285714;"""4/4""";67;2;0;1;Ab7;A1
40.3333333333;0.047619047619;4;6;36;2;2;0.285714285714;"""4/4""";68;2;0;1;Ab7;A1
40.380952381;0.047619047619;4;6;36;2;3;0.285714285714;"""4/4""";67;2;0;1;Ab7;A1
40.4285714286;0.142857142857;4;6;36;2;4;0.285714285714;"""4/4""";65;2;0;1;Ab7;A1
40.5714285714;0.142857142857;4;2;36;3;1;0.285714285714;"""4/4""";62;2;0;1;Ab7;A1
40.7142857143;0.142857142857;4;2;36;3;2;0.285714285714;"""4/4""";59;2;0;1;Ab7;A1
40.8571428571;0.285714285714;4;1;36;4;1;0.285714285714;"""4/4""";64;2;0;1;Ab7;A1
41.2857142857;0.0714285714286;4;4;37;1;3;0.285714285714;"""4/4""";62;2;0;1;Ab7;A1
41.3571428571;0.0714285714286;4;4;37;1;4;0.285714285714;"""4/4""";65;2;0;1;Ab7;A1
41.4285714286;0.142857142857;4;2;37;2;1;0.285714285714;"""4/4""";70;2;0;1;Ab7;A1
41.5714285714;0.142857142857;4;2;37;2;2;0.285714285714;"""4/4""";66;2;0;1;Ab7;A1
41.7142857143;0.142857142857;4;2;37;3;1;0.285714285714;"""4/4""";63;2;0;1;Ab7;A1
41.8571428571;0.142857142857;4;2;37;3;2;0.285714285714;"""4/4""";60;2;0;1;Ab7;A1
42.0;0.142857142857;4;2;37;4;1;0.285714285714;"""4/4""";68;2;0;1;Ab7;A1
42.1428571429;0.142857142857;4;2;37;4;2;0.285714285714;"""4/4""";66;2;0;1;Ab7;A1
42.2857142857;0.142857142857;4;2;38;1;1;0.285714285714;"""4/4""";63;2;0;1;Ab7;A1
42.4285714286;0.142857142857;4;2;38;1;2;0.285714285714;"""4/4""";58;2;0;1;Ab7;A1
42.5714285714;0.047619047619;4;6;38;2;1;0.285714285714;"""4/4""";67;2;0;1;Ab7;A1
42.619047619;0.047619047619;4;6;38;2;2;0.285714285714;"""4/4""";68;2;0;1;Ab7;A1
42.6666666667;0.047619047619;4;6;38;2;3;0.285714285714;"""4/4""";67;2;0;1;Ab7;A1
42.7142857143;0.142857142857;4;6;38;2;4;0.285714285714;"""4/4""";65;2;0;1;Ab7;A1
42.8571428571;0.142857142857;4;2;38;3;1;0.285714285714;"""4/4""";62;2;0;1;G7;A1
43.0;0.142857142857;4;2;38;3;2;0.285714285714;"""4/4""";60;2;0;1;G7;A1
43.1428571429;0.142857142857;4;2;38;4;1;0.285714285714;"""4/4""";64;2;0;1;G7;A1
43.2857142857;0.142857142857;4;2;38;4;2;0.285714285714;"""4/4""";67;2;0;1;G7;A1
43.4285714286;0.142857142857;4;2;39;1;1;0.285714285714;"""4/4""";64;2;0;1;C;A1
43.5714285714;0.142857142857;4;2;39;1;2;0.285714285714;"""4/4""";55;2;0;1;C;A1
43.7142857143;0.142857142857;4;2;39;2;1;0.285714285714;"""4/4""";56;2;0;1;C;A1
43.8571428571;0.142857142857;4;2;39;2;2;0.285714285714;"""4/4""";57;2;0;1;C;A1
