onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
57.2826086957;0.108695652174;4;2;66;4;2;0.217391304348;"""4/4""";74;1;1;1;NC;I1
57.3913043478;0.108695652174;4;2;67;1;1;0.217391304348;"""4/4""";75;1;0;1;Bb;I1
57.5;0.108695652174;4;2;67;1;2;0.217391304348;"""4/4""";77;1;0;1;Bb;I1
57.6086956522;0.108695652174;4;2;67;2;1;0.217391304348;"""4/4""";74;1;0;1;Bb;I1
57.7173913043;0.108695652174;4;2;67;2;2;0.217391304348;"""4/4""";72;1;0;1;Bb;I1
57.8260869565;0.108695652174;4;2;67;3;1;0.217391304348;"""4/4""";70;1;0;1;Bb;I1
57.9347826087;0.108695652174;4;2;67;3;2;0.217391304348;"""4/4""";69;1;0;1;Bb;I1
58.0434782609;0.108695652174;4;2;67;4;1;0.217391304348;"""4/4""";72;1;0;1;Bb;I1
58.152173913;0.108695652174;4;2;67;4;2;0.217391304348;"""4/4""";69;1;0;1;Bb;I1
58.2608695652;0.108695652174;4;2;68;1;1;0.217391304348;"""4/4""";70;1;0;1;C-;A1
58.3695652174;0.108695652174;4;2;68;1;2;0.217391304348;"""4/4""";65;1;0;1;C-;A1
58.4782608696;0.108695652174;4;2;68;2;1;0.217391304348;"""4/4""";62;1;0;1;C-;A1
58.5869565217;0.108695652174;4;2;68;2;2;0.217391304348;"""4/4""";58;1;0;1;C-;A1
58.6956521739;0.108695652174;4;2;68;3;1;0.217391304348;"""4/4""";61;1;0;1;F7;A1
58.8043478261;0.108695652174;4;2;68;3;2;0.217391304348;"""4/4""";69;1;0;1;F7;A1
58.9130434783;0.108695652174;4;2;68;4;1;0.217391304348;"""4/4""";67;1;0;1;F7;A1
59.0217391304;0.108695652174;4;2;68;4;2;0.217391304348;"""4/4""";66;1;0;1;F7;A1
59.1304347826;0.108695652174;4;2;69;1;1;0.217391304348;"""4/4""";65;1;0;1;D-;A1
59.2391304348;0.108695652174;4;2;69;1;2;0.217391304348;"""4/4""";64;1;0;1;D-;A1
59.347826087;0.108695652174;4;2;69;2;1;0.217391304348;"""4/4""";63;1;0;1;D-;A1
59.4565217391;0.108695652174;4;2;69;2;2;0.217391304348;"""4/4""";62;1;0;1;D-;A1
59.5652173913;0.108695652174;4;2;69;3;1;0.217391304348;"""4/4""";68;1;0;1;G7;A1
59.6739130435;0.108695652174;4;2;69;3;2;0.217391304348;"""4/4""";64;1;0;1;G7;A1
59.7826086957;0.108695652174;4;2;69;4;1;0.217391304348;"""4/4""";61;1;0;1;G7;A1
59.8913043478;0.108695652174;4;2;69;4;2;0.217391304348;"""4/4""";59;1;0;1;G7;A1
60.0;0.108695652174;4;4;70;1;1;0.217391304348;"""4/4""";67;1;0;1;C-;A1
60.1086956522;0.054347826087;4;4;70;1;3;0.217391304348;"""4/4""";63;1;0;1;C-;A1
60.1630434783;0.054347826087;4;4;70;1;4;0.217391304348;"""4/4""";62;1;0;1;C-;A1
60.2173913043;0.108695652174;4;2;70;2;1;0.217391304348;"""4/4""";60;1;0;1;C-;A1
60.3260869565;0.108695652174;4;2;70;2;2;0.217391304348;"""4/4""";58;1;0;1;C-;A1
60.4347826087;0.108695652174;4;2;70;3;1;0.217391304348;"""4/4""";57;1;0;1;F7;A1
60.5434782609;0.108695652174;4;2;70;3;2;0.217391304348;"""4/4""";66;1;0;1;F7;A1
60.652173913;0.108695652174;4;2;70;4;1;0.217391304348;"""4/4""";63;1;0;1;F7;A1
60.7608695652;0.108695652174;4;2;70;4;2;0.217391304348;"""4/4""";64;1;0;1;F7;A1
60.8695652174;0.108695652174;4;2;71;1;1;0.217391304348;"""4/4""";65;1;0;1;F-;A1
60.9782608696;0.108695652174;4;2;71;1;2;0.217391304348;"""4/4""";63;1;0;1;F-;A1
61.0869565217;0.0724637681159;4;3;71;2;1;0.217391304348;"""4/4""";62;1;0;1;F-;A1
61.1594202899;0.0724637681159;4;3;71;2;2;0.217391304348;"""4/4""";65;1;0;1;F-;A1
61.231884058;0.0724637681159;4;3;71;2;3;0.217391304348;"""4/4""";69;1;0;1;F-;A1
61.3043478261;0.108695652174;4;2;71;3;1;0.217391304348;"""4/4""";72;1;0;1;Bb7;A1
