onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
29.0;0.142857142857;4;2;26;2;2;0.285714285714;"""4/4""";64;1;1;1;F;I1
29.4285714286;0.142857142857;4;2;26;4;1;0.285714285714;"""4/4""";62;1;0;1;F;I1
29.5714285714;0.142857142857;4;2;26;4;2;0.285714285714;"""4/4""";57;1;0;1;F;I1
29.7142857143;0.142857142857;4;2;27;1;1;0.285714285714;"""4/4""";58;1;0;1;F;I1
29.8571428571;0.142857142857;4;2;27;1;2;0.285714285714;"""4/4""";60;1;0;1;F;I1
30.0;0.142857142857;4;2;27;2;1;0.285714285714;"""4/4""";57;1;0;1;F;I1
30.1428571429;0.142857142857;4;2;27;2;2;0.285714285714;"""4/4""";58;1;0;1;F;I1
30.2857142857;0.142857142857;4;2;27;3;1;0.285714285714;"""4/4""";60;1;0;1;F;I1
30.4285714286;0.142857142857;4;2;27;3;2;0.285714285714;"""4/4""";65;1;0;1;F;I1
32.2857142857;0.0714285714286;4;4;29;2;1;0.285714285714;"""4/4""";64;2;1;1;F;A1
32.3571428571;0.0714285714286;4;4;29;2;2;0.285714285714;"""4/4""";65;2;0;1;F;A1
32.4285714286;0.0714285714286;4;4;29;2;3;0.285714285714;"""4/4""";69;2;0;1;F;A1
32.5;0.0714285714286;4;4;29;2;4;0.285714285714;"""4/4""";72;2;0;1;F;A1
32.5714285714;0.0714285714286;4;4;29;3;1;0.285714285714;"""4/4""";76;2;0;1;D7;A1
32.6428571429;0.0714285714286;4;4;29;3;2;0.285714285714;"""4/4""";74;2;0;1;D7;A1
32.7142857143;0.0714285714286;4;4;29;3;3;0.285714285714;"""4/4""";73;2;0;1;D7;A1
32.7857142857;0.0714285714286;4;4;29;3;4;0.285714285714;"""4/4""";74;2;0;1;D7;A1
32.8571428571;0.0714285714286;4;4;29;4;1;0.285714285714;"""4/4""";77;2;0;1;D7;A1
32.9285714286;0.0714285714286;4;4;29;4;2;0.285714285714;"""4/4""";76;2;0;1;D7;A1
33.0;0.0714285714286;4;4;29;4;3;0.285714285714;"""4/4""";74;2;0;1;D7;A1
33.0714285714;0.0714285714286;4;4;29;4;4;0.285714285714;"""4/4""";73;2;0;1;D7;A1
33.1428571429;0.0714285714286;4;12;30;1;1;0.285714285714;"""4/4""";72;2;0;1;G-;A1
33.2142857143;0.0714285714286;4;12;30;1;4;0.285714285714;"""4/4""";69;2;0;1;G-;A1
33.2857142857;0.047619047619;4;12;30;1;7;0.285714285714;"""4/4""";70;2;0;1;G-;A1
33.3333333333;0.047619047619;4;12;30;1;9;0.285714285714;"""4/4""";72;2;0;1;G-;A1
33.380952381;0.047619047619;4;12;30;1;11;0.285714285714;"""4/4""";70;2;0;1;G-;A1
33.4285714286;0.0714285714286;4;4;30;2;1;0.285714285714;"""4/4""";69;2;0;1;G-;A1
33.5;0.0714285714286;4;4;30;2;2;0.285714285714;"""4/4""";65;2;0;1;G-;A1
33.5714285714;0.0714285714286;4;4;30;2;3;0.285714285714;"""4/4""";62;2;0;1;G-;A1
33.6428571429;0.0714285714286;4;4;30;2;4;0.285714285714;"""4/4""";60;2;0;1;G-;A1
33.7142857143;0.285714285714;4;1;30;3;1;0.285714285714;"""4/4""";67;2;0;1;C7;A1
34.4285714286;0.0714285714286;4;4;31;1;3;0.285714285714;"""4/4""";60;3;1;1;C-;A1
34.5;0.0714285714286;4;4;31;1;4;0.285714285714;"""4/4""";63;3;0;1;C-;A1
34.5714285714;0.142857142857;4;2;31;2;1;0.285714285714;"""4/4""";67;3;0;1;C-;A1
34.7142857143;0.142857142857;4;2;31;2;2;0.285714285714;"""4/4""";70;3;0;1;C-;A1
34.8571428571;0.142857142857;4;2;31;3;1;0.285714285714;"""4/4""";74;3;0;1;F7;A1
35.0;0.142857142857;4;2;31;3;2;0.285714285714;"""4/4""";73;3;0;1;F7;A1
35.1428571429;0.142857142857;4;2;31;4;1;0.285714285714;"""4/4""";72;3;0;1;F7;A1
35.2857142857;0.142857142857;4;2;31;4;2;0.285714285714;"""4/4""";71;3;0;1;F7;A1
35.4285714286;0.142857142857;4;2;32;1;1;0.285714285714;"""4/4""";70;3;0;1;Bb;A1
35.5714285714;0.142857142857;4;2;32;1;2;0.285714285714;"""4/4""";65;3;0;1;Bb;A1
35.7142857143;0.142857142857;4;2;32;2;1;0.285714285714;"""4/4""";67;3;0;1;Bb;A1
35.8571428571;0.142857142857;4;2;32;2;2;0.285714285714;"""4/4""";68;3;0;1;Bb;A1
36.1428571429;0.047619047619;4;6;32;3;4;0.285714285714;"""4/4""";70;3;0;1;Bo7;A1
36.1904761905;0.047619047619;4;6;32;3;5;0.285714285714;"""4/4""";68;3;0;1;Bo7;A1
36.2380952381;0.047619047619;4;6;32;3;6;0.285714285714;"""4/4""";67;3;0;1;Bo7;A1
36.2857142857;0.142857142857;4;2;32;4;1;0.285714285714;"""4/4""";68;3;0;1;Bo7;A1
36.4285714286;0.142857142857;4;2;32;4;2;0.285714285714;"""4/4""";65;3;0;1;Bo7;A1
36.5714285714;0.142857142857;4;2;33;1;1;0.285714285714;"""4/4""";67;3;0;1;A-;A1
36.7142857143;0.142857142857;4;2;33;1;2;0.285714285714;"""4/4""";68;3;0;1;A-;A1
36.8571428571;0.047619047619;4;6;33;2;1;0.285714285714;"""4/4""";67;3;0;1;A-;A1
36.9047619048;0.047619047619;4;6;33;2;2;0.285714285714;"""4/4""";68;3;0;1;A-;A1
36.9523809524;0.047619047619;4;6;33;2;3;0.285714285714;"""4/4""";67;3;0;1;A-;A1
37.0;0.142857142857;4;6;33;2;4;0.285714285714;"""4/4""";65;3;0;1;A-;A1
37.1428571429;0.285714285714;4;1;33;3;1;0.285714285714;"""4/4""";68;3;0;1;D7;A1
38.4285714286;0.142857142857;4;2;34;3;2;0.285714285714;"""4/4""";70;4;1;1;C7;A1
38.7142857143;0.142857142857;4;2;34;4;2;0.285714285714;"""4/4""";71;4;0;1;C7;A1
38.8571428571;0.142857142857;4;6;35;1;1;0.285714285714;"""4/4""";70;4;0;1;F;A1
39.0;0.047619047619;4;6;35;1;4;0.285714285714;"""4/4""";71;4;0;1;F;A1
39.0476190476;0.047619047619;4;6;35;1;5;0.285714285714;"""4/4""";70;4;0;1;F;A1
39.0952380952;0.047619047619;4;6;35;1;6;0.285714285714;"""4/4""";68;4;0;1;F;A1
39.1428571429;0.142857142857;4;2;35;2;1;0.285714285714;"""4/4""";65;4;0;1;F;A1
39.2857142857;0.142857142857;4;2;35;2;2;0.285714285714;"""4/4""";63;4;0;1;F;A1
39.4285714286;0.190476190476;4;3;35;3;1;0.285714285714;"""4/4""";60;4;0;1;F;A1
39.619047619;0.190476190476;4;3;35;3;3;0.285714285714;"""4/4""";58;4;0;1;F;A1
39.8095238095;0.190476190476;4;3;35;4;2;0.285714285714;"""4/4""";53;4;0;1;F;A1
40.0;0.142857142857;4;2;36;1;1;0.285714285714;"""4/4""";57;4;0;1;G;A1
40.1428571429;0.142857142857;4;2;36;1;2;0.285714285714;"""4/4""";60;4;0;1;G;A1
41.5714285714;0.142857142857;4;2;37;2;2;0.285714285714;"""4/4""";64;5;1;1;F;A1
41.7142857143;0.0952380952381;4;3;37;3;1;0.285714285714;"""4/4""";65;5;0;1;F;A1
41.8095238095;0.0952380952381;4;3;37;3;2;0.285714285714;"""4/4""";69;5;0;1;F;A1
41.9047619048;0.0952380952381;4;3;37;3;3;0.285714285714;"""4/4""";72;5;0;1;F;A1
42.0;0.142857142857;4;2;37;4;1;0.285714285714;"""4/4""";76;5;0;1;F;A1
42.1428571429;0.142857142857;4;2;37;4;2;0.285714285714;"""4/4""";75;5;0;1;F;A1
42.2857142857;0.142857142857;4;2;38;1;1;0.285714285714;"""4/4""";74;5;0;1;G-;A1
42.4285714286;0.142857142857;4;2;38;1;2;0.285714285714;"""4/4""";73;5;0;1;G-;A1
42.5714285714;0.142857142857;4;2;38;2;1;0.285714285714;"""4/4""";72;5;0;1;G-;A1
42.7142857143;0.142857142857;4;2;38;2;2;0.285714285714;"""4/4""";69;5;0;1;G-;A1
42.8571428571;0.142857142857;4;4;38;3;1;0.285714285714;"""4/4""";70;5;0;1;C7;A1
43.0;0.0714285714286;4;4;38;3;3;0.285714285714;"""4/4""";72;5;0;1;C7;A1
43.0714285714;0.0714285714286;4;4;38;3;4;0.285714285714;"""4/4""";70;5;0;1;C7;A1
43.1428571429;0.142857142857;4;2;38;4;1;0.285714285714;"""4/4""";69;5;0;1;C7;A1
43.2857142857;0.142857142857;4;2;38;4;2;0.285714285714;"""4/4""";67;5;0;1;C7;A1
43.4285714286;0.142857142857;4;2;39;1;1;0.285714285714;"""4/4""";65;5;0;1;C-;A1
43.5714285714;0.142857142857;4;2;39;1;2;0.285714285714;"""4/4""";60;5;0;1;C-;A1
43.7142857143;0.0952380952381;4;3;39;2;1;0.285714285714;"""4/4""";63;5;0;1;C-;A1
43.8095238095;0.0952380952381;4;3;39;2;2;0.285714285714;"""4/4""";67;5;0;1;C-;A1
43.9047619048;0.0952380952381;4;3;39;2;3;0.285714285714;"""4/4""";70;5;0;1;C-;A1
44.0;0.142857142857;4;2;39;3;1;0.285714285714;"""4/4""";74;5;0;1;F7;A1
44.1428571429;0.142857142857;4;2;39;3;2;0.285714285714;"""4/4""";73;5;0;1;F7;A1
44.2857142857;0.142857142857;4;2;39;4;1;0.285714285714;"""4/4""";72;5;0;1;F7;A1
44.4285714286;0.142857142857;4;2;39;4;2;0.285714285714;"""4/4""";71;5;0;1;F7;A1
44.5714285714;0.142857142857;4;2;40;1;1;0.285714285714;"""4/4""";70;5;0;1;Bb;A1
44.7142857143;0.142857142857;4;2;40;1;2;0.285714285714;"""4/4""";65;5;0;1;Bb;A1
44.8571428571;0.142857142857;4;2;40;2;1;0.285714285714;"""4/4""";67;5;0;1;Bb;A1
45.0;0.142857142857;4;2;40;2;2;0.285714285714;"""4/4""";68;5;0;1;Bb;A1
46.1428571429;0.142857142857;4;2;41;2;2;0.285714285714;"""4/4""";69;6;1;1;F;A1
46.2857142857;0.142857142857;4;2;41;3;1;0.285714285714;"""4/4""";70;6;0;1;F;A1
46.4285714286;0.142857142857;4;2;41;3;2;0.285714285714;"""4/4""";69;6;0;1;F;A1
48.4285714286;0.142857142857;4;2;43;2;2;0.285714285714;"""4/4""";78;7;1;1;E-;A1
48.619047619;0.047619047619;4;6;43;3;2;0.285714285714;"""4/4""";79;7;0;2;E-;A1
48.6666666667;0.047619047619;4;6;43;3;3;0.285714285714;"""4/4""";78;7;0;2;E-;A1
48.7142857143;0.142857142857;4;6;43;3;4;0.285714285714;"""4/4""";76;7;0;2;E-;A1
48.8571428571;0.142857142857;4;2;43;4;1;0.285714285714;"""4/4""";74;7;0;2;E-;A1
49.0;0.142857142857;4;2;43;4;2;0.285714285714;"""4/4""";73;7;0;2;E-;A1
49.1428571429;0.142857142857;4;2;44;1;1;0.285714285714;"""4/4""";71;7;0;2;A7;A1
49.2857142857;0.142857142857;4;2;44;1;2;0.285714285714;"""4/4""";69;7;0;2;A7;A1
49.4285714286;0.142857142857;4;2;44;2;1;0.285714285714;"""4/4""";67;7;0;2;A7;A1
49.5714285714;0.142857142857;4;2;44;2;2;0.285714285714;"""4/4""";66;7;0;2;A7;A1
49.7142857143;0.142857142857;4;2;44;3;1;0.285714285714;"""4/4""";64;7;0;2;A7;A1
49.8571428571;0.142857142857;4;2;44;3;2;0.285714285714;"""4/4""";61;7;0;2;A7;A1
50.0;0.0952380952381;4;3;44;4;1;0.285714285714;"""4/4""";62;7;0;2;A7;A1
50.0952380952;0.0952380952381;4;3;44;4;2;0.285714285714;"""4/4""";65;7;0;2;A7;A1
50.1904761905;0.0952380952381;4;3;44;4;3;0.285714285714;"""4/4""";69;7;0;2;A7;A1
50.2857142857;0.142857142857;4;2;45;1;1;0.285714285714;"""4/4""";70;7;0;2;D7;A1
50.4285714286;0.142857142857;4;2;45;1;2;0.285714285714;"""4/4""";66;7;0;2;D7;A1
50.5714285714;0.142857142857;4;2;45;2;1;0.285714285714;"""4/4""";63;7;0;2;D7;A1
50.7142857143;0.142857142857;4;2;45;2;2;0.285714285714;"""4/4""";60;7;0;2;D7;A1
50.8571428571;0.285714285714;4;1;45;3;1;0.285714285714;"""4/4""";69;7;0;2;D7;A1
51.5714285714;0.142857142857;4;2;46;1;2;0.285714285714;"""4/4""";67;8;1;2;D7;A1
51.7142857143;0.142857142857;4;2;46;2;1;0.285714285714;"""4/4""";66;8;0;2;D7;A1
51.8571428571;0.142857142857;4;2;46;2;2;0.285714285714;"""4/4""";69;8;0;2;D7;A1
52.0;0.142857142857;4;2;46;3;1;0.285714285714;"""4/4""";64;8;0;2;D7;A1
52.1428571429;0.142857142857;4;2;46;3;2;0.285714285714;"""4/4""";57;8;0;2;D7;A1
52.2857142857;0.142857142857;4;2;46;4;1;0.285714285714;"""4/4""";60;8;0;2;D7;A1
52.4285714286;0.142857142857;4;2;46;4;2;0.285714285714;"""4/4""";63;8;0;2;D7;A1
52.5714285714;0.142857142857;4;2;47;1;1;0.285714285714;"""4/4""";60;8;0;2;G7;A1
52.7142857143;0.142857142857;4;2;47;1;2;0.285714285714;"""4/4""";61;8;0;2;G7;A1
52.8571428571;0.142857142857;4;2;47;2;1;0.285714285714;"""4/4""";62;8;0;2;G7;A1
53.0;0.142857142857;4;2;47;2;2;0.285714285714;"""4/4""";60;8;0;2;G7;A1
53.1428571429;0.0952380952381;4;3;47;3;1;0.285714285714;"""4/4""";59;8;0;2;G7;A1
53.2380952381;0.0952380952381;4;3;47;3;2;0.285714285714;"""4/4""";62;8;0;2;G7;A1
53.3333333333;0.0952380952381;4;3;47;3;3;0.285714285714;"""4/4""";72;8;0;2;G7;A1
53.4285714286;0.142857142857;4;2;47;4;1;0.285714285714;"""4/4""";76;8;0;2;G7;A1
53.5714285714;0.142857142857;4;2;47;4;2;0.285714285714;"""4/4""";74;8;0;2;G7;A1
54.7142857143;0.142857142857;4;2;48;4;2;0.285714285714;"""4/4""";69;9;1;2;G7;A1
55.1428571429;0.142857142857;4;2;49;2;1;0.285714285714;"""4/4""";72;9;0;2;G-;A1
55.2857142857;0.142857142857;4;2;49;2;2;0.285714285714;"""4/4""";69;9;0;2;G-;A1
55.4285714286;0.0952380952381;4;3;49;3;1;0.285714285714;"""4/4""";70;9;0;2;G-;A1
55.5238095238;0.0952380952381;4;3;49;3;2;0.285714285714;"""4/4""";72;9;0;2;G-;A1
55.619047619;0.0952380952381;4;3;49;3;3;0.285714285714;"""4/4""";70;9;0;2;G-;A1
55.7142857143;0.142857142857;4;2;49;4;1;0.285714285714;"""4/4""";69;9;0;2;G-;A1
55.8571428571;0.142857142857;4;2;49;4;2;0.285714285714;"""4/4""";68;9;0;2;G-;A1
56.0;0.142857142857;4;2;50;1;1;0.285714285714;"""4/4""";67;9;0;2;C7;A1
56.1428571429;0.142857142857;4;2;50;1;2;0.285714285714;"""4/4""";65;9;0;2;C7;A1
56.2857142857;0.142857142857;4;2;50;2;1;0.285714285714;"""4/4""";64;9;0;2;C7;A1
56.4285714286;0.142857142857;4;2;50;2;2;0.285714285714;"""4/4""";60;9;0;2;C7;A1
56.5714285714;0.142857142857;4;2;50;3;1;0.285714285714;"""4/4""";62;9;0;2;C7;A1
56.7142857143;0.142857142857;4;2;50;3;2;0.285714285714;"""4/4""";58;9;0;2;C7;A1
56.8571428571;0.142857142857;4;2;50;4;1;0.285714285714;"""4/4""";55;9;0;2;C7;A1
57.0;0.142857142857;4;2;50;4;2;0.285714285714;"""4/4""";57;9;0;2;C7;A1
57.1428571429;0.142857142857;4;2;51;1;1;0.285714285714;"""4/4""";60;9;0;2;F;A1
57.2857142857;0.142857142857;4;2;51;1;2;0.285714285714;"""4/4""";58;9;0;2;F;A1
57.4285714286;0.0952380952381;4;3;51;2;1;0.285714285714;"""4/4""";57;9;0;2;F;A1
57.5238095238;0.0952380952381;4;3;51;2;2;0.285714285714;"""4/4""";60;9;0;2;F;A1
57.619047619;0.0952380952381;4;3;51;2;3;0.285714285714;"""4/4""";64;9;0;2;F;A1
57.7142857143;0.142857142857;4;2;51;3;1;0.285714285714;"""4/4""";65;9;0;2;F;A1
57.8571428571;0.142857142857;4;2;51;3;2;0.285714285714;"""4/4""";60;9;0;2;F;A1
58.7142857143;0.142857142857;4;2;52;2;2;0.285714285714;"""4/4""";64;10;1;2;G-;A1
59.1428571429;0.142857142857;4;2;52;4;1;0.285714285714;"""4/4""";62;10;0;3;C7;A1
59.2857142857;0.142857142857;4;2;52;4;2;0.285714285714;"""4/4""";58;10;0;3;C7;A1
59.4285714286;0.142857142857;4;2;53;1;1;0.285714285714;"""4/4""";60;10;0;3;F;A1
59.5714285714;0.142857142857;4;2;53;1;2;0.285714285714;"""4/4""";57;10;0;3;F;A1
59.7142857143;0.0952380952381;4;3;53;2;1;0.285714285714;"""4/4""";58;10;0;3;F;A1
59.8095238095;0.0952380952381;4;3;53;2;2;0.285714285714;"""4/4""";62;10;0;3;F;A1
59.9047619048;0.0952380952381;4;3;53;2;3;0.285714285714;"""4/4""";65;10;0;3;F;A1
60.0;0.142857142857;4;2;53;3;1;0.285714285714;"""4/4""";69;10;0;3;F;A1
60.1428571429;0.142857142857;4;2;53;3;2;0.285714285714;"""4/4""";67;10;0;3;F;A1
61.5714285714;0.142857142857;4;2;54;4;2;0.285714285714;"""4/4""";60;11;1;3;C7;A1
61.7142857143;0.142857142857;4;2;55;1;1;0.285714285714;"""4/4""";69;11;0;3;Cb-;A1
61.8571428571;0.142857142857;4;2;55;1;2;0.285714285714;"""4/4""";69;11;0;3;Cb-;A1
62.0;0.142857142857;4;4;55;2;1;0.285714285714;"""4/4""";70;11;0;3;Cb-;A1
62.1428571429;0.0714285714286;4;4;55;2;3;0.285714285714;"""4/4""";72;11;0;3;Cb-;A1
62.2142857143;0.0714285714286;4;4;55;2;4;0.285714285714;"""4/4""";70;11;0;3;Cb-;A1
62.2857142857;0.142857142857;4;2;55;3;1;0.285714285714;"""4/4""";69;11;0;3;F7;A1
62.4285714286;0.142857142857;4;2;55;3;2;0.285714285714;"""4/4""";67;11;0;3;F7;A1
62.5714285714;0.142857142857;4;2;55;4;1;0.285714285714;"""4/4""";65;11;0;3;F7;A1
62.7142857143;0.142857142857;4;2;55;4;2;0.285714285714;"""4/4""";63;11;0;3;F7;A1
62.8571428571;0.142857142857;4;2;56;1;1;0.285714285714;"""4/4""";62;11;0;3;Bb;A1
63.0;0.142857142857;4;2;56;1;2;0.285714285714;"""4/4""";53;11;0;3;Bb;A1
63.1428571429;0.142857142857;4;2;56;2;1;0.285714285714;"""4/4""";55;11;0;3;Bb;A1
63.2857142857;0.142857142857;4;2;56;2;2;0.285714285714;"""4/4""";58;11;0;3;Bb;A1
63.4285714286;0.142857142857;4;2;56;3;1;0.285714285714;"""4/4""";61;11;0;3;Eb7;A1
63.5714285714;0.142857142857;4;2;56;3;2;0.285714285714;"""4/4""";65;11;0;3;Eb7;A1
63.7142857143;0.142857142857;4;2;56;4;1;0.285714285714;"""4/4""";60;11;0;3;Eb7;A1
63.8571428571;0.142857142857;4;2;56;4;2;0.285714285714;"""4/4""";58;11;0;3;Eb7;A1
64.0;0.142857142857;4;2;57;1;1;0.285714285714;"""4/4""";57;11;0;3;F;A1
64.1428571429;0.142857142857;4;2;57;1;2;0.285714285714;"""4/4""";60;11;0;3;F;A1
64.2857142857;0.142857142857;4;2;57;2;1;0.285714285714;"""4/4""";64;11;0;3;F;A1
64.4285714286;0.142857142857;4;2;57;2;2;0.285714285714;"""4/4""";65;11;0;3;F;A1
65.4285714286;0.142857142857;4;2;58;2;1;0.285714285714;"""4/4""";64;12;1;3;G-;A1
65.5714285714;0.142857142857;4;2;58;2;2;0.285714285714;"""4/4""";65;12;0;3;G-;A1
65.7142857143;0.142857142857;4;2;58;3;1;0.285714285714;"""4/4""";62;12;0;3;C7;A1
65.8571428571;0.142857142857;4;2;58;3;2;0.285714285714;"""4/4""";64;12;0;3;C7;A1
66.0;0.142857142857;4;2;58;4;1;0.285714285714;"""4/4""";60;12;0;3;C7;A1
66.1428571429;0.142857142857;4;2;58;4;2;0.285714285714;"""4/4""";62;12;0;3;C7;A1
66.2857142857;0.142857142857;4;2;59;1;1;0.285714285714;"""4/4""";58;12;0;3;F;A1
66.4285714286;0.142857142857;4;2;59;1;2;0.285714285714;"""4/4""";60;12;0;3;F;A1
66.5714285714;0.285714285714;4;1;59;2;1;0.285714285714;"""4/4""";57;12;0;3;F;A1
