onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
30.2777777778;0.277777777778;4;2;14;3;2;0.555555555556;"""4/4""";60;1;1;1;C7;I1
30.5555555556;0.277777777778;4;2;14;4;1;0.555555555556;"""4/4""";65;1;0;1;C7;I1
30.8333333333;0.277777777778;4;2;14;4;2;0.555555555556;"""4/4""";64;1;0;1;C7;I1
31.1111111111;0.277777777778;4;2;15;1;1;0.555555555556;"""4/4""";60;1;0;1;C7;A1
31.3888888889;0.277777777778;4;2;15;1;2;0.555555555556;"""4/4""";60;1;0;1;C7;A1
34.1666666667;0.0925925925926;4;6;16;2;4;0.555555555556;"""4/4""";64;2;1;1;C7;A1
34.2592592593;0.0925925925926;4;6;16;2;5;0.555555555556;"""4/4""";65;2;0;1;C7;A1
34.3518518519;0.0925925925926;4;6;16;2;6;0.555555555556;"""4/4""";66;2;0;1;C7;A1
34.4444444444;0.277777777778;4;2;16;3;1;0.555555555556;"""4/4""";67;2;0;1;C7;A1
34.7222222222;0.277777777778;4;2;16;3;2;0.555555555556;"""4/4""";65;2;0;1;C7;A1
35.0;0.277777777778;4;2;16;4;1;0.555555555556;"""4/4""";64;2;0;1;C7;A1
35.2777777778;0.277777777778;4;2;16;4;2;0.555555555556;"""4/4""";62;2;0;1;C7;A1
35.5555555556;0.277777777778;4;2;17;1;1;0.555555555556;"""4/4""";60;2;0;1;G-;A1
35.8333333333;0.277777777778;4;2;17;1;2;0.555555555556;"""4/4""";57;2;0;1;G-;A1
36.1111111111;0.185185185185;4;3;17;2;1;0.555555555556;"""4/4""";58;2;0;1;G-;A1
36.2962962963;0.185185185185;4;3;17;2;2;0.555555555556;"""4/4""";62;2;0;1;G-;A1
36.4814814815;0.185185185185;4;3;17;2;3;0.555555555556;"""4/4""";69;2;0;1;G-;A1
36.6666666667;0.277777777778;4;2;17;3;1;0.555555555556;"""4/4""";72;2;0;1;C7;A1
36.9444444444;0.277777777778;4;2;17;3;2;0.555555555556;"""4/4""";68;2;0;1;C7;A1
37.2222222222;0.277777777778;4;2;17;4;1;0.555555555556;"""4/4""";64;2;0;1;C7;A1
37.5;0.277777777778;4;2;17;4;2;0.555555555556;"""4/4""";60;2;0;1;C7;A1
37.7777777778;0.277777777778;4;2;18;1;1;0.555555555556;"""4/4""";67;2;0;1;F7;A1
38.0555555556;0.277777777778;4;2;18;1;2;0.555555555556;"""4/4""";65;2;0;1;F7;A1
38.3333333333;0.277777777778;4;2;18;2;1;0.555555555556;"""4/4""";60;2;0;1;F7;A1
38.6111111111;0.277777777778;4;2;18;2;2;0.555555555556;"""4/4""";57;2;0;1;F7;A1
38.8888888889;0.277777777778;4;2;18;3;1;0.555555555556;"""4/4""";62;2;0;1;F7;A1
39.1666666667;0.277777777778;4;2;18;3;2;0.555555555556;"""4/4""";63;2;0;1;F7;A1
42.5;0.277777777778;4;2;20;1;2;0.555555555556;"""4/4""";63;3;1;1;C7;A1
42.7777777778;0.138888888889;4;4;20;2;1;0.555555555556;"""4/4""";64;3;0;1;C7;A1
42.9166666667;0.138888888889;4;4;20;2;2;0.555555555556;"""4/4""";67;3;0;1;C7;A1
43.0555555556;0.138888888889;4;4;20;2;3;0.555555555556;"""4/4""";71;3;0;1;C7;A1
43.1944444444;0.138888888889;4;4;20;2;4;0.555555555556;"""4/4""";74;3;0;1;C7;A1
43.3333333333;0.277777777778;4;4;20;3;1;0.555555555556;"""4/4""";79;3;0;1;C7;A1
43.75;0.138888888889;4;4;20;3;4;0.555555555556;"""4/4""";74;3;0;1;C7;A1
44.1666666667;0.277777777778;4;2;20;4;2;0.555555555556;"""4/4""";73;3;0;1;C7;A1
44.7222222222;0.277777777778;4;2;21;1;2;0.555555555556;"""4/4""";79;3;0;1;A7;A1
47.2222222222;0.277777777778;4;4;22;2;1;0.555555555556;"""4/4""";77;4;1;1;D7;A1
47.5;0.138888888889;4;4;22;2;3;0.555555555556;"""4/4""";76;4;0;1;D7;A1
47.6388888889;0.138888888889;4;4;22;2;4;0.555555555556;"""4/4""";75;4;0;1;D7;A1
47.7777777778;0.277777777778;4;2;22;3;1;0.555555555556;"""4/4""";74;4;0;1;D7;A1
48.0555555556;0.277777777778;4;2;22;3;2;0.555555555556;"""4/4""";73;4;0;1;D7;A1
48.3333333333;0.277777777778;4;2;22;4;1;0.555555555556;"""4/4""";72;4;0;1;D7;A1
48.6111111111;0.277777777778;4;2;22;4;2;0.555555555556;"""4/4""";71;4;0;1;D7;A1
48.8888888889;0.277777777778;4;6;23;1;1;0.555555555556;"""4/4""";70;4;0;1;G7;A1
49.1666666667;0.0925925925926;4;6;23;1;4;0.555555555556;"""4/4""";71;4;0;1;G7;A1
49.2592592593;0.0925925925926;4;6;23;1;5;0.555555555556;"""4/4""";70;4;0;1;G7;A1
49.3518518519;0.0925925925926;4;6;23;1;6;0.555555555556;"""4/4""";69;4;0;1;G7;A1
49.4444444444;0.277777777778;4;2;23;2;1;0.555555555556;"""4/4""";68;4;0;1;G7;A1
49.7222222222;0.277777777778;4;2;23;2;2;0.555555555556;"""4/4""";65;4;0;1;G7;A1
50.0;0.277777777778;4;2;23;3;1;0.555555555556;"""4/4""";63;4;0;1;G7;A1
50.2777777778;0.277777777778;4;2;23;3;2;0.555555555556;"""4/4""";60;4;0;1;G7;A1
50.5555555556;0.0925925925926;4;6;23;4;1;0.555555555556;"""4/4""";67;4;0;1;G7;A1
50.6481481481;0.0925925925926;4;6;23;4;2;0.555555555556;"""4/4""";68;4;0;1;G7;A1
50.7407407407;0.0925925925926;4;6;23;4;3;0.555555555556;"""4/4""";67;4;0;1;G7;A1
50.8333333333;0.277777777778;4;6;23;4;4;0.555555555556;"""4/4""";65;4;0;1;G7;A1
51.1111111111;0.277777777778;4;2;24;1;1;0.555555555556;"""4/4""";64;4;0;1;C7;A1
51.3888888889;0.277777777778;4;2;24;1;2;0.555555555556;"""4/4""";55;4;0;1;C7;A1
51.6666666667;0.277777777778;4;2;24;2;1;0.555555555556;"""4/4""";57;4;0;1;C7;A1
51.9444444444;0.277777777778;4;2;24;2;2;0.555555555556;"""4/4""";60;4;0;1;C7;A1
54.7222222222;0.277777777778;4;2;25;3;2;0.555555555556;"""4/4""";64;5;1;1;G7;A1
55.0;0.277777777778;4;2;25;4;1;0.555555555556;"""4/4""";65;5;0;2;G7;A1
55.2777777778;0.277777777778;4;2;25;4;2;0.555555555556;"""4/4""";66;5;0;2;G7;A1
55.5555555556;0.555555555556;4;1;26;1;1;0.555555555556;"""4/4""";67;5;0;2;C7;A1
56.1111111111;0.277777777778;4;2;26;2;1;0.555555555556;"""4/4""";72;5;0;2;C7;A1
56.3888888889;0.277777777778;4;2;26;2;2;0.555555555556;"""4/4""";70;5;0;2;C7;A1
56.6666666667;0.277777777778;4;4;26;3;1;0.555555555556;"""4/4""";69;5;0;2;C7;A1
56.9444444444;0.138888888889;4;4;26;3;3;0.555555555556;"""4/4""";67;5;0;2;C7;A1
57.0833333333;0.138888888889;4;4;26;3;4;0.555555555556;"""4/4""";65;5;0;2;C7;A1
57.5;0.277777777778;4;2;26;4;2;0.555555555556;"""4/4""";60;5;0;2;C7;A1
57.7777777778;0.555555555556;4;1;27;1;1;0.555555555556;"""4/4""";67;5;0;2;F7;A1
58.6111111111;0.277777777778;4;2;27;2;2;0.555555555556;"""4/4""";60;5;0;2;F7;A1
58.8888888889;0.277777777778;4;2;27;3;1;0.555555555556;"""4/4""";65;5;0;2;F7;A1
59.1666666667;0.277777777778;4;2;27;3;2;0.555555555556;"""4/4""";67;5;0;2;F7;A1
59.4444444444;0.277777777778;4;2;27;4;1;0.555555555556;"""4/4""";64;5;0;2;F7;A1
59.7222222222;0.277777777778;4;2;27;4;2;0.555555555556;"""4/4""";60;5;0;2;F7;A1
63.3333333333;0.277777777778;4;2;29;3;1;0.555555555556;"""4/4""";62;6;1;2;C7;A1
63.6111111111;0.277777777778;4;2;29;3;2;0.555555555556;"""4/4""";60;6;0;2;C7;A1
63.8888888889;0.277777777778;4;4;29;4;1;0.555555555556;"""4/4""";58;6;0;2;C7;A1
64.1666666667;0.138888888889;4;4;29;4;3;0.555555555556;"""4/4""";60;6;0;2;C7;A1
64.3055555556;0.138888888889;4;4;29;4;4;0.555555555556;"""4/4""";58;6;0;2;C7;A1
