onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
14.8636363636;0.136363636364;4;2;14;3;2;0.272727272727;"""4/4""";59;1;1;1;Ab7;I1
15.0;0.0909090909091;4;3;14;4;1;0.272727272727;"""4/4""";60;1;0;1;Ab7;I1
15.0909090909;0.0909090909091;4;3;14;4;2;0.272727272727;"""4/4""";63;1;0;1;Ab7;I1
15.1818181818;0.0909090909091;4;3;14;4;3;0.272727272727;"""4/4""";67;1;0;1;Ab7;I1
15.2727272727;0.136363636364;4;2;15;1;1;0.272727272727;"""4/4""";70;1;0;1;Db7;A1
15.4090909091;0.136363636364;4;2;15;1;2;0.272727272727;"""4/4""";69;1;0;1;Db7;A1
15.5454545455;0.136363636364;4;2;15;2;1;0.272727272727;"""4/4""";68;1;0;1;Db7;A1
15.6818181818;0.136363636364;4;2;15;2;2;0.272727272727;"""4/4""";65;1;0;1;Db7;A1
15.8181818182;0.136363636364;4;2;15;3;1;0.272727272727;"""4/4""";61;1;0;1;Db7;A1
15.9545454545;0.136363636364;4;2;15;3;2;0.272727272727;"""4/4""";60;1;0;1;Db7;A1
16.0909090909;0.136363636364;4;2;15;4;1;0.272727272727;"""4/4""";58;1;0;1;Db7;A1
16.2272727273;0.136363636364;4;2;15;4;2;0.272727272727;"""4/4""";56;1;0;1;Db7;A1
16.3636363636;0.0909090909091;4;3;16;1;1;0.272727272727;"""4/4""";55;1;0;1;Ab7;A1
16.4545454545;0.0909090909091;4;3;16;1;2;0.272727272727;"""4/4""";58;1;0;1;Ab7;A1
16.5454545455;0.0909090909091;4;3;16;1;3;0.272727272727;"""4/4""";64;1;0;1;Ab7;A1
16.6363636364;0.136363636364;4;2;16;2;1;0.272727272727;"""4/4""";63;1;0;1;Ab7;A1
16.7727272727;0.136363636364;4;2;16;2;2;0.272727272727;"""4/4""";60;1;0;1;Ab7;A1
16.9090909091;0.0909090909091;4;3;16;3;1;0.272727272727;"""4/4""";61;1;0;1;Ab7;A1
17.0;0.0909090909091;4;3;16;3;2;0.272727272727;"""4/4""";63;1;0;1;Ab7;A1
17.0909090909;0.0909090909091;4;3;16;3;3;0.272727272727;"""4/4""";61;1;0;1;Ab7;A1
17.1818181818;0.136363636364;4;2;16;4;1;0.272727272727;"""4/4""";60;1;0;1;Ab7;A1
17.3181818182;0.136363636364;4;2;16;4;2;0.272727272727;"""4/4""";58;1;0;1;Ab7;A1
17.4545454545;0.136363636364;4;2;17;1;1;0.272727272727;"""4/4""";56;1;0;1;Eb-;A1
17.5909090909;0.136363636364;4;2;17;1;2;0.272727272727;"""4/4""";55;1;0;1;Eb-;A1
17.7272727273;0.136363636364;4;2;17;2;1;0.272727272727;"""4/4""";54;1;0;1;Eb-;A1
17.8636363636;0.136363636364;4;2;17;2;2;0.272727272727;"""4/4""";56;1;0;1;Eb-;A1
18.0;0.136363636364;4;2;17;3;1;0.272727272727;"""4/4""";65;1;0;1;Ab7;A1
18.1363636364;0.136363636364;4;2;17;3;2;0.272727272727;"""4/4""";64;1;0;1;Ab7;A1
18.2727272727;0.136363636364;4;2;17;4;1;0.272727272727;"""4/4""";63;1;0;1;Ab7;A1
18.4090909091;0.136363636364;4;2;17;4;2;0.272727272727;"""4/4""";62;1;0;1;Ab7;A1
18.5454545455;0.136363636364;4;2;18;1;1;0.272727272727;"""4/4""";61;1;0;1;Db7;A1
18.6818181818;0.136363636364;4;2;18;1;2;0.272727272727;"""4/4""";56;1;0;1;Db7;A1
18.8181818182;0.136363636364;4;2;18;2;1;0.272727272727;"""4/4""";58;1;0;1;Db7;A1
18.9545454545;0.136363636364;4;2;18;2;2;0.272727272727;"""4/4""";59;1;0;1;Db7;A1
19.5;0.136363636364;4;2;18;4;2;0.272727272727;"""4/4""";68;1;0;1;Db7;A1
19.7727272727;0.136363636364;4;2;19;1;2;0.272727272727;"""4/4""";58;1;0;1;Db7;A1
19.9090909091;0.545454545455;4;1;19;2;1;0.272727272727;"""4/4""";59;1;0;1;Db7;A1
20.5909090909;0.136363636364;4;2;19;4;2;0.272727272727;"""4/4""";68;1;0;1;Db7;A1
