onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
21.9318181818;0.113636363636;4;4;13;1;2;0.454545454545;"""4/4""";60;1;1;1;C7;A1
22.0454545455;0.113636363636;4;4;13;1;3;0.454545454545;"""4/4""";66;1;0;1;C7;A1
22.1590909091;0.113636363636;4;4;13;1;4;0.454545454545;"""4/4""";67;1;0;1;C7;A1
22.2727272727;0.113636363636;4;4;13;2;1;0.454545454545;"""4/4""";72;1;0;1;C7;A1
22.3863636364;0.113636363636;4;4;13;2;2;0.454545454545;"""4/4""";70;1;0;1;C7;A1
22.5;0.113636363636;4;4;13;2;3;0.454545454545;"""4/4""";69;1;0;1;C7;A1
22.6136363636;0.113636363636;4;4;13;2;4;0.454545454545;"""4/4""";67;1;0;1;C7;A1
22.7272727273;0.113636363636;4;4;13;3;1;0.454545454545;"""4/4""";65;1;0;1;C7;A1
22.8409090909;0.113636363636;4;4;13;3;2;0.454545454545;"""4/4""";64;1;0;1;C7;A1
22.9545454545;0.113636363636;4;4;13;3;3;0.454545454545;"""4/4""";62;1;0;1;C7;A1
23.0681818182;0.113636363636;4;4;13;3;4;0.454545454545;"""4/4""";61;1;0;1;C7;A1
23.1818181818;0.113636363636;4;12;13;4;1;0.454545454545;"""4/4""";60;1;0;1;C7;A1
23.2954545455;0.113636363636;4;12;13;4;4;0.454545454545;"""4/4""";57;1;0;1;C7;A1
23.4090909091;0.0757575757576;4;12;13;4;7;0.454545454545;"""4/4""";58;1;0;1;C7;A1
23.4848484848;0.0757575757576;4;12;13;4;9;0.454545454545;"""4/4""";60;1;0;1;C7;A1
23.5606060606;0.0757575757576;4;12;13;4;11;0.454545454545;"""4/4""";58;1;0;1;C7;A1
23.6363636364;0.113636363636;4;4;14;1;1;0.454545454545;"""4/4""";57;1;0;1;F7;A1
23.75;0.113636363636;4;4;14;1;2;0.454545454545;"""4/4""";60;1;0;1;F7;A1
23.8636363636;0.113636363636;4;4;14;1;3;0.454545454545;"""4/4""";62;1;0;1;F7;A1
23.9772727273;0.113636363636;4;4;14;1;4;0.454545454545;"""4/4""";60;1;0;1;F7;A1
24.0909090909;0.113636363636;4;4;14;2;1;0.454545454545;"""4/4""";67;1;0;1;F7;A1
24.2045454545;0.113636363636;4;4;14;2;2;0.454545454545;"""4/4""";65;1;0;1;F7;A1
24.3181818182;0.113636363636;4;4;14;2;3;0.454545454545;"""4/4""";60;1;0;1;F7;A1
24.4318181818;0.113636363636;4;4;14;2;4;0.454545454545;"""4/4""";57;1;0;1;F7;A1
24.5454545455;0.454545454545;4;1;14;3;1;0.454545454545;"""4/4""";63;1;0;1;F7;A1
25.6818181818;0.113636363636;4;4;15;1;3;0.454545454545;"""4/4""";59;2;1;1;C7;A1
25.7954545455;0.113636363636;4;4;15;1;4;0.454545454545;"""4/4""";60;2;0;1;C7;A1
25.9090909091;0.113636363636;4;4;15;2;1;0.454545454545;"""4/4""";62;2;0;1;C7;A1
26.0227272727;0.113636363636;4;4;15;2;2;0.454545454545;"""4/4""";60;2;0;1;C7;A1
26.1363636364;0.113636363636;4;4;15;2;3;0.454545454545;"""4/4""";59;2;0;1;C7;A1
26.25;0.113636363636;4;4;15;2;4;0.454545454545;"""4/4""";60;2;0;1;C7;A1
26.3636363636;0.113636363636;4;4;15;3;1;0.454545454545;"""4/4""";63;2;0;1;C7;A1
26.4772727273;0.113636363636;4;4;15;3;2;0.454545454545;"""4/4""";64;2;0;1;C7;A1
26.5909090909;0.113636363636;4;4;15;3;3;0.454545454545;"""4/4""";65;2;0;1;C7;A1
26.7045454545;0.113636363636;4;4;15;3;4;0.454545454545;"""4/4""";66;2;0;1;C7;A1
26.8181818182;0.113636363636;4;4;15;4;1;0.454545454545;"""4/4""";67;2;0;1;C7;A1
26.9318181818;0.113636363636;4;4;15;4;2;0.454545454545;"""4/4""";69;2;0;1;C7;A1
27.0454545455;0.113636363636;4;4;15;4;3;0.454545454545;"""4/4""";70;2;0;1;C7;A1
27.1590909091;0.113636363636;4;4;15;4;4;0.454545454545;"""4/4""";72;2;0;1;C7;A1
27.2727272727;0.113636363636;4;4;16;1;1;0.454545454545;"""4/4""";74;2;0;1;G-;A1
27.3863636364;0.113636363636;4;4;16;1;2;0.454545454545;"""4/4""";77;2;0;1;G-;A1
27.5;0.113636363636;4;4;16;1;3;0.454545454545;"""4/4""";76;2;0;1;G-;A1
