onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
34.0760869565;0.0815217391304;4;4;27;1;3;0.326086956522;"""4/4""";60;1;1;1;Eb;I1
34.1576086957;0.0815217391304;4;4;27;1;4;0.326086956522;"""4/4""";59;1;0;1;Eb;I1
34.2391304348;0.163043478261;4;2;27;2;1;0.326086956522;"""4/4""";58;1;0;1;Eb;I1
34.402173913;0.163043478261;4;2;27;2;2;0.326086956522;"""4/4""";56;1;0;1;Eb;I1
34.5652173913;0.163043478261;4;2;27;3;1;0.326086956522;"""4/4""";55;1;0;1;Eb;I1
34.7282608696;0.163043478261;4;2;27;3;2;0.326086956522;"""4/4""";58;1;0;1;Eb;I1
34.8913043478;0.163043478261;4;2;27;4;1;0.326086956522;"""4/4""";62;1;0;1;Eb;I1
35.0543478261;0.163043478261;4;2;27;4;2;0.326086956522;"""4/4""";65;1;0;1;Eb;I1
35.2173913043;0.163043478261;4;2;28;1;1;0.326086956522;"""4/4""";63;1;0;1;Ab-;A1
35.3804347826;0.163043478261;4;2;28;1;2;0.326086956522;"""4/4""";58;1;0;1;Ab-;A1
35.5434782609;0.163043478261;4;2;28;2;1;0.326086956522;"""4/4""";61;1;0;1;Ab-;A1
35.7065217391;0.163043478261;4;2;28;2;2;0.326086956522;"""4/4""";59;1;0;1;Ab-;A1
36.0326086957;0.163043478261;4;2;28;3;2;0.326086956522;"""4/4""";57;1;0;1;Ab-;A1
36.1956521739;0.163043478261;4;2;28;4;1;0.326086956522;"""4/4""";58;1;0;1;Ab-;A1
36.3586956522;0.163043478261;4;2;28;4;2;0.326086956522;"""4/4""";56;1;0;1;Ab-;A1
36.5217391304;0.326086956522;4;1;29;1;1;0.326086956522;"""4/4""";55;1;0;1;Eb7;A1
37.9891304348;0.0815217391304;4;4;30;1;3;0.326086956522;"""4/4""";74;2;1;1;C7;A1
38.0706521739;0.0815217391304;4;4;30;1;4;0.326086956522;"""4/4""";72;2;0;1;C7;A1
38.152173913;0.163043478261;4;2;30;2;1;0.326086956522;"""4/4""";70;2;0;1;C7;A1
38.3152173913;0.163043478261;4;2;30;2;2;0.326086956522;"""4/4""";68;2;0;1;C7;A1
38.4782608696;0.163043478261;4;2;30;3;1;0.326086956522;"""4/4""";67;2;0;1;C7;A1
38.6413043478;0.163043478261;4;2;30;3;2;0.326086956522;"""4/4""";65;2;0;1;C7;A1
38.8043478261;0.163043478261;4;4;30;4;1;0.326086956522;"""4/4""";64;2;0;1;C7;A1
38.9673913043;0.0815217391304;4;4;30;4;3;0.326086956522;"""4/4""";62;2;0;1;C7;A1
39.0489130435;0.0815217391304;4;4;30;4;4;0.326086956522;"""4/4""";61;2;0;1;C7;A1
39.1304347826;0.163043478261;4;2;31;1;1;0.326086956522;"""4/4""";60;2;0;1;F7;A1
39.2934782609;0.163043478261;4;2;31;1;2;0.326086956522;"""4/4""";58;2;0;1;F7;A1
39.4565217391;0.108695652174;4;3;31;2;1;0.326086956522;"""4/4""";57;2;0;1;F7;A1
39.5652173913;0.108695652174;4;3;31;2;2;0.326086956522;"""4/4""";60;2;0;1;F7;A1
39.6739130435;0.108695652174;4;3;31;2;3;0.326086956522;"""4/4""";63;2;0;1;F7;A1
39.7826086957;0.163043478261;4;2;31;3;1;0.326086956522;"""4/4""";74;2;0;1;F7;A1
39.9456521739;0.163043478261;4;2;31;3;2;0.326086956522;"""4/4""";71;2;0;1;F7;A1
40.1086956522;0.163043478261;4;2;31;4;1;0.326086956522;"""4/4""";72;2;0;1;F7;A1
40.2717391304;0.163043478261;4;2;31;4;2;0.326086956522;"""4/4""";79;2;0;1;F7;A1
40.4347826087;0.163043478261;4;2;32;1;1;0.326086956522;"""4/4""";70;2;0;1;F-;A1
40.597826087;0.163043478261;4;2;32;1;2;0.326086956522;"""4/4""";67;2;0;1;F-;A1
40.7608695652;0.163043478261;4;2;32;2;1;0.326086956522;"""4/4""";68;2;0;1;F-;A1
40.9239130435;0.163043478261;4;2;32;2;2;0.326086956522;"""4/4""";78;2;0;1;F-;A1
41.25;0.0407608695652;4;8;32;3;5;0.326086956522;"""4/4""";74;2;0;1;Bb7;A1
41.2907608696;0.0407608695652;4;8;32;3;6;0.326086956522;"""4/4""";72;2;0;1;Bb7;A1
41.3315217391;0.0407608695652;4;8;32;3;7;0.326086956522;"""4/4""";70;2;0;1;Bb7;A1
41.3722826087;0.0407608695652;4;8;32;3;8;0.326086956522;"""4/4""";69;2;0;1;Bb7;A1
41.4130434783;0.326086956522;4;1;32;4;1;0.326086956522;"""4/4""";68;2;0;1;Bb7;A1
41.902173913;0.163043478261;4;2;33;1;2;0.326086956522;"""4/4""";66;2;0;1;Eb7;A1
42.0652173913;0.108695652174;4;3;33;2;1;0.326086956522;"""4/4""";67;2;0;1;Eb7;A1
42.1739130435;0.108695652174;4;3;33;2;2;0.326086956522;"""4/4""";70;2;0;1;Eb7;A1
42.2826086957;0.108695652174;4;3;33;2;3;0.326086956522;"""4/4""";74;2;0;1;Eb7;A1
42.3913043478;0.163043478261;4;2;33;3;1;0.326086956522;"""4/4""";77;2;0;1;Eb7;A1
42.5543478261;0.163043478261;4;2;33;3;2;0.326086956522;"""4/4""";75;2;0;1;Eb7;A1
42.7173913043;0.163043478261;4;2;33;4;1;0.326086956522;"""4/4""";74;2;0;1;Eb7;A1
42.8804347826;0.163043478261;4;2;33;4;2;0.326086956522;"""4/4""";72;2;0;1;Eb7;A1
43.0434782609;0.163043478261;4;2;34;1;1;0.326086956522;"""4/4""";70;2;0;1;F-;A1
43.2065217391;0.163043478261;4;2;34;1;2;0.326086956522;"""4/4""";69;2;0;1;F-;A1
43.3695652174;0.163043478261;4;2;34;2;1;0.326086956522;"""4/4""";68;2;0;1;F-;A1
43.5326086957;0.163043478261;4;2;34;2;2;0.326086956522;"""4/4""";60;2;0;1;F-;A1
43.6956521739;0.326086956522;4;1;34;3;1;0.326086956522;"""4/4""";67;2;0;1;Bb7;A1
44.0217391304;0.326086956522;4;1;34;4;1;0.326086956522;"""4/4""";70;2;0;1;Bb7;A1
