onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
13.8461538462;0.0769230769231;4;3;16;1;1;0.230769230769;"""4/4""";65;1;1;1;Bb-;I1
13.9230769231;0.0769230769231;4;3;16;1;2;0.230769230769;"""4/4""";67;1;0;1;Bb-;I1
14.0;0.0769230769231;4;3;16;1;3;0.230769230769;"""4/4""";70;1;0;1;Bb-;I1
14.0769230769;0.115384615385;4;2;16;2;1;0.230769230769;"""4/4""";72;1;0;1;Bb-;I1
14.1923076923;0.115384615385;4;2;16;2;2;0.230769230769;"""4/4""";69;1;0;1;Bb-;I1
14.3076923077;0.115384615385;4;2;16;3;1;0.230769230769;"""4/4""";70;1;0;1;Bb-;I1
14.4230769231;0.115384615385;4;2;16;3;2;0.230769230769;"""4/4""";65;1;0;1;Bb-;I1
14.5384615385;0.115384615385;4;2;16;4;1;0.230769230769;"""4/4""";61;1;0;1;Bb-;I1
14.6538461538;0.115384615385;4;2;16;4;2;0.230769230769;"""4/4""";58;1;0;1;Bb-;I1
14.7692307692;0.346153846154;4;1;17;1;1;0.230769230769;"""4/4""";66;1;0;1;F-;A1
15.1153846154;0.115384615385;4;2;17;2;2;0.230769230769;"""4/4""";65;1;0;1;F-;A1
15.5769230769;0.115384615385;4;2;17;4;2;0.230769230769;"""4/4""";61;2;1;1;F-;A1
15.6923076923;0.0769230769231;4;3;18;1;1;0.230769230769;"""4/4""";60;2;0;1;Bb7;A1
15.7692307692;0.0769230769231;4;3;18;1;2;0.230769230769;"""4/4""";63;2;0;1;Bb7;A1
15.8461538462;0.0769230769231;4;3;18;1;3;0.230769230769;"""4/4""";66;2;0;1;Bb7;A1
15.9230769231;0.115384615385;4;2;18;2;1;0.230769230769;"""4/4""";71;2;0;1;Bb7;A1
16.0384615385;0.115384615385;4;2;18;2;2;0.230769230769;"""4/4""";69;2;0;1;Bb7;A1
16.1538461538;0.115384615385;4;2;18;3;1;0.230769230769;"""4/4""";70;2;0;1;Bb7;A1
16.2692307692;0.115384615385;4;2;18;3;2;0.230769230769;"""4/4""";78;2;0;1;Bb7;A1
16.6153846154;0.115384615385;4;2;19;1;1;0.230769230769;"""4/4""";77;2;0;1;Eb-;A1
16.7307692308;0.115384615385;4;2;19;1;2;0.230769230769;"""4/4""";75;2;0;1;Eb-;A1
17.7692307692;0.0769230769231;4;3;20;2;1;0.230769230769;"""4/4""";72;3;1;1;Eb-;A1
17.8461538462;0.0769230769231;4;3;20;2;2;0.230769230769;"""4/4""";73;3;0;1;Eb-;A1
17.9230769231;0.0769230769231;4;3;20;2;3;0.230769230769;"""4/4""";74;3;0;1;Eb-;A1
18.0;0.115384615385;4;2;20;3;1;0.230769230769;"""4/4""";75;3;0;1;Eb-;A1
18.1153846154;0.115384615385;4;2;20;3;2;0.230769230769;"""4/4""";74;3;0;1;Eb-;A1
18.2307692308;0.115384615385;4;2;20;4;1;0.230769230769;"""4/4""";73;3;0;1;Eb-;A1
18.3461538462;0.115384615385;4;2;20;4;2;0.230769230769;"""4/4""";73;3;0;1;Eb-;A1
18.4615384615;0.115384615385;4;2;21;1;1;0.230769230769;"""4/4""";70;3;0;1;Eb-;A1
18.5769230769;0.115384615385;4;2;21;1;2;0.230769230769;"""4/4""";66;3;0;1;Eb-;A1
18.6923076923;0.115384615385;4;2;21;2;1;0.230769230769;"""4/4""";63;3;0;1;Eb-;A1
18.8076923077;0.115384615385;4;2;21;2;2;0.230769230769;"""4/4""";58;3;0;1;Eb-;A1
18.9230769231;0.115384615385;4;2;21;3;1;0.230769230769;"""4/4""";61;3;0;1;Eb-;A1
19.0384615385;0.115384615385;4;2;21;3;2;0.230769230769;"""4/4""";59;3;0;1;Eb-;A1
19.1538461538;0.115384615385;4;2;21;4;1;0.230769230769;"""4/4""";60;3;0;1;Eb-;A1
19.2692307692;0.115384615385;4;2;21;4;2;0.230769230769;"""4/4""";65;3;0;1;Eb-;A1
19.3846153846;0.115384615385;4;2;22;1;1;0.230769230769;"""4/4""";64;3;0;1;Ab7;A1
19.5;0.115384615385;4;2;22;1;2;0.230769230769;"""4/4""";63;3;0;1;Ab7;A1
19.6153846154;0.115384615385;4;2;22;2;1;0.230769230769;"""4/4""";71;3;0;1;Ab7;A1
19.7307692308;0.115384615385;4;2;22;2;2;0.230769230769;"""4/4""";70;3;0;1;Ab7;A1
19.8461538462;0.0384615384615;4;6;22;3;1;0.230769230769;"""4/4""";69;3;0;1;Ab7;A1
19.8846153846;0.0384615384615;4;6;22;3;2;0.230769230769;"""4/4""";70;3;0;1;Ab7;A1
19.9230769231;0.0384615384615;4;6;22;3;3;0.230769230769;"""4/4""";69;3;0;1;Ab7;A1
19.9615384615;0.115384615385;4;6;22;3;4;0.230769230769;"""4/4""";66;3;0;1;Ab7;A1
20.0769230769;0.115384615385;4;2;22;4;1;0.230769230769;"""4/4""";64;3;0;1;Ab7;A1
20.1923076923;0.115384615385;4;2;22;4;2;0.230769230769;"""4/4""";61;3;0;1;Ab7;A1
20.3076923077;0.115384615385;4;2;23;1;1;0.230769230769;"""4/4""";68;3;0;1;Db;A1
20.4230769231;0.115384615385;4;2;23;1;2;0.230769230769;"""4/4""";64;3;0;1;Db;A1
20.5384615385;0.0769230769231;4;3;23;2;1;0.230769230769;"""4/4""";65;3;0;1;Db;A1
20.6153846154;0.0769230769231;4;3;23;2;2;0.230769230769;"""4/4""";68;3;0;1;Db;A1
20.6923076923;0.0769230769231;4;3;23;2;3;0.230769230769;"""4/4""";72;3;0;1;Db;A1
20.7692307692;0.115384615385;4;2;23;3;1;0.230769230769;"""4/4""";75;3;0;1;Db;A1
20.8846153846;0.115384615385;4;2;23;3;2;0.230769230769;"""4/4""";74;3;0;1;Db;A1
21.0;0.115384615385;4;4;23;4;1;0.230769230769;"""4/4""";73;3;0;1;Db;A1
21.1153846154;0.0576923076923;4;4;23;4;3;0.230769230769;"""4/4""";75;3;0;1;Db;A1
21.1730769231;0.0576923076923;4;4;23;4;4;0.230769230769;"""4/4""";73;3;0;1;Db;A1
21.2307692308;0.115384615385;4;2;24;1;1;0.230769230769;"""4/4""";72;3;0;1;F79b;A1
21.3461538462;0.115384615385;4;2;24;1;2;0.230769230769;"""4/4""";70;3;0;1;F79b;A1
21.4615384615;0.115384615385;4;2;24;2;1;0.230769230769;"""4/4""";69;3;0;1;F79b;A1
21.5769230769;0.115384615385;4;2;24;2;2;0.230769230769;"""4/4""";60;3;0;1;F79b;A1
21.6923076923;0.115384615385;4;2;24;3;1;0.230769230769;"""4/4""";63;3;0;1;F79b;A1
21.8076923077;0.115384615385;4;2;24;3;2;0.230769230769;"""4/4""";66;3;0;1;F79b;A1
21.9230769231;0.115384615385;4;2;24;4;1;0.230769230769;"""4/4""";63;3;0;1;F79b;A1
22.0384615385;0.115384615385;4;2;24;4;2;0.230769230769;"""4/4""";64;3;0;1;F79b;A1
22.1538461538;0.115384615385;4;2;25;1;1;0.230769230769;"""4/4""";65;3;0;1;Bb-;A1
22.2692307692;0.230769230769;4;2;25;1;2;0.230769230769;"""4/4""";77;3;0;2;Bb-;A1
22.5;0.115384615385;4;2;25;2;2;0.230769230769;"""4/4""";73;3;0;2;Bb-;A1
22.6153846154;0.115384615385;4;2;25;3;1;0.230769230769;"""4/4""";70;3;0;2;Bb-;A1
22.7307692308;0.115384615385;4;2;25;3;2;0.230769230769;"""4/4""";65;3;0;2;Bb-;A1
22.9615384615;0.115384615385;4;2;25;4;2;0.230769230769;"""4/4""";65;3;0;2;Bb-;A1
23.0769230769;0.115384615385;4;2;26;1;1;0.230769230769;"""4/4""";75;3;0;2;C-;A1
23.1923076923;0.115384615385;4;2;26;1;2;0.230769230769;"""4/4""";67;3;0;2;C-;A1
23.3076923077;0.115384615385;4;2;26;2;1;0.230769230769;"""4/4""";70;3;0;2;C-;A1
23.4230769231;0.115384615385;4;2;26;2;2;0.230769230769;"""4/4""";69;3;0;2;C-;A1
23.8846153846;0.115384615385;4;2;26;4;2;0.230769230769;"""4/4""";65;4;1;2;F7;A1
24.0;0.115384615385;4;2;27;1;1;0.230769230769;"""4/4""";67;4;0;3;Bb-;A1
24.1153846154;0.115384615385;4;2;27;1;2;0.230769230769;"""4/4""";73;4;0;3;Bb-;A1
24.2307692308;0.115384615385;4;2;27;2;1;0.230769230769;"""4/4""";72;4;0;3;Bb-;A1
24.3461538462;0.115384615385;4;2;27;2;2;0.230769230769;"""4/4""";70;4;0;3;Bb-;A1
24.4615384615;0.115384615385;4;2;27;3;1;0.230769230769;"""4/4""";75;4;0;3;Bb-;A1
24.5769230769;0.115384615385;4;2;27;3;2;0.230769230769;"""4/4""";72;4;0;3;Bb-;A1
24.6923076923;0.115384615385;4;2;27;4;1;0.230769230769;"""4/4""";73;4;0;3;Bb-;A1
24.8076923077;0.115384615385;4;2;27;4;2;0.230769230769;"""4/4""";67;4;0;3;Bb-;A1
25.0384615385;0.230769230769;4;2;28;1;2;0.230769230769;"""4/4""";61;4;0;3;C-;A1
25.2692307692;0.115384615385;4;2;28;2;2;0.230769230769;"""4/4""";61;4;0;3;C-;A1
25.3846153846;0.115384615385;4;2;28;3;1;0.230769230769;"""4/4""";66;4;0;3;F7;A1
25.5;0.115384615385;4;2;28;3;2;0.230769230769;"""4/4""";59;4;0;3;F7;A1
25.6153846154;0.115384615385;4;2;28;4;1;0.230769230769;"""4/4""";57;4;0;3;F7;A1
25.7307692308;0.115384615385;4;2;28;4;2;0.230769230769;"""4/4""";58;4;0;3;F7;A1
25.9615384615;0.230769230769;4;2;29;1;2;0.230769230769;"""4/4""";77;4;0;3;Bb-;A1
26.1923076923;0.115384615385;4;2;29;2;2;0.230769230769;"""4/4""";73;4;0;3;Bb-;A1
26.3076923077;0.115384615385;4;2;29;3;1;0.230769230769;"""4/4""";70;4;0;3;Bb-;A1
26.4230769231;0.115384615385;4;2;29;3;2;0.230769230769;"""4/4""";65;4;0;3;Bb-;A1
26.6538461538;0.115384615385;4;2;29;4;2;0.230769230769;"""4/4""";65;4;0;3;Bb-;A1
26.7692307692;0.115384615385;4;2;30;1;1;0.230769230769;"""4/4""";66;4;0;3;F79b;A1
26.8846153846;0.115384615385;4;2;30;1;2;0.230769230769;"""4/4""";65;4;0;3;F79b;A1
27.0;0.115384615385;4;2;30;2;1;0.230769230769;"""4/4""";61;4;0;3;F79b;A1
27.1153846154;0.115384615385;4;2;30;2;2;0.230769230769;"""4/4""";60;4;0;3;F79b;A1
27.2307692308;0.230769230769;4;1;30;3;1;0.230769230769;"""4/4""";59;4;0;3;F79b;A1
27.4615384615;0.115384615385;4;2;30;4;1;0.230769230769;"""4/4""";57;4;0;3;F79b;A1
27.5769230769;0.115384615385;4;2;30;4;2;0.230769230769;"""4/4""";58;4;0;3;F79b;A1
27.8076923077;0.115384615385;4;2;31;1;2;0.230769230769;"""4/4""";54;4;0;3;Bb-;A1
27.9230769231;0.0769230769231;4;3;31;2;1;0.230769230769;"""4/4""";53;4;0;3;Bb-;A1
28.0;0.0769230769231;4;3;31;2;2;0.230769230769;"""4/4""";54;4;0;3;Bb-;A1
28.0769230769;0.0769230769231;4;3;31;2;3;0.230769230769;"""4/4""";58;4;0;3;Bb-;A1
28.1538461538;0.115384615385;4;2;31;3;1;0.230769230769;"""4/4""";60;4;0;3;Bb-;A1
28.2692307692;0.115384615385;4;2;31;3;2;0.230769230769;"""4/4""";58;4;0;3;Bb-;A1
28.3846153846;0.115384615385;4;2;31;4;1;0.230769230769;"""4/4""";57;4;0;3;Bb-;A1
28.5;0.115384615385;4;2;31;4;2;0.230769230769;"""4/4""";60;4;0;3;Bb-;A1
28.6153846154;0.115384615385;4;2;32;1;1;0.230769230769;"""4/4""";63;4;0;3;F79b;A1
28.7307692308;0.115384615385;4;2;32;1;2;0.230769230769;"""4/4""";66;4;0;3;F79b;A1
29.4230769231;0.115384615385;4;2;32;4;2;0.230769230769;"""4/4""";65;4;0;3;F79b;A1
29.5384615385;0.461538461538;4;1;33;1;1;0.230769230769;"""4/4""";61;4;0;3;Bb-;A1
31.0384615385;0.115384615385;4;2;34;3;2;0.230769230769;"""4/4""";65;5;1;3;F7;A1
31.1538461538;0.115384615385;4;2;34;4;1;0.230769230769;"""4/4""";67;5;0;3;F7;A1
31.2692307692;0.115384615385;4;2;34;4;2;0.230769230769;"""4/4""";69;5;0;3;F7;A1
31.3846153846;0.115384615385;4;2;35;1;1;0.230769230769;"""4/4""";72;5;0;3;Bb-;A1
31.5;0.115384615385;4;2;35;1;2;0.230769230769;"""4/4""";70;5;0;3;Bb-;A1
31.6153846154;0.115384615385;4;2;35;2;1;0.230769230769;"""4/4""";69;5;0;3;Bb-;A1
31.7307692308;0.115384615385;4;2;35;2;2;0.230769230769;"""4/4""";72;5;0;3;Bb-;A1
31.8461538462;0.115384615385;4;2;35;3;1;0.230769230769;"""4/4""";75;5;0;3;Bb-;A1
31.9615384615;0.115384615385;4;2;35;3;2;0.230769230769;"""4/4""";78;5;0;3;Bb-;A1
32.3076923077;0.230769230769;4;1;36;1;1;0.230769230769;"""4/4""";77;5;0;3;C-;A1
32.7692307692;0.0769230769231;4;3;36;3;1;0.230769230769;"""4/4""";72;5;0;3;F7;A1
32.8461538462;0.0769230769231;4;3;36;3;2;0.230769230769;"""4/4""";73;5;0;3;F7;A1
32.9230769231;0.0769230769231;4;3;36;3;3;0.230769230769;"""4/4""";74;5;0;3;F7;A1
33.0;0.115384615385;4;2;36;4;1;0.230769230769;"""4/4""";75;5;0;3;F7;A1
33.1153846154;0.115384615385;4;2;36;4;2;0.230769230769;"""4/4""";72;5;0;3;F7;A1
33.2307692308;0.115384615385;4;2;37;1;1;0.230769230769;"""4/4""";73;5;0;3;Bb-;A1
33.3461538462;0.115384615385;4;2;37;1;2;0.230769230769;"""4/4""";65;5;0;3;Bb-;A1
33.4615384615;0.115384615385;4;2;37;2;1;0.230769230769;"""4/4""";70;5;0;3;Bb-;A1
33.5769230769;0.115384615385;4;2;37;2;2;0.230769230769;"""4/4""";73;5;0;3;Bb-;A1
33.6923076923;0.115384615385;4;2;37;3;1;0.230769230769;"""4/4""";72;5;0;3;Bb-;A1
33.8076923077;0.115384615385;4;2;37;3;2;0.230769230769;"""4/4""";70;5;0;3;Bb-;A1
33.9230769231;0.115384615385;4;2;37;4;1;0.230769230769;"""4/4""";69;5;0;3;Bb-;A1
34.0384615385;0.115384615385;4;2;37;4;2;0.230769230769;"""4/4""";60;5;0;3;Bb-;A1
34.1538461538;0.115384615385;4;2;38;1;1;0.230769230769;"""4/4""";63;5;0;3;F79b;A1
34.2692307692;0.115384615385;4;2;38;1;2;0.230769230769;"""4/4""";66;5;0;3;F79b;A1
34.3846153846;0.115384615385;4;2;38;2;1;0.230769230769;"""4/4""";63;5;0;3;F79b;A1
34.5;0.115384615385;4;2;38;2;2;0.230769230769;"""4/4""";64;5;0;3;F79b;A1
34.6153846154;0.115384615385;4;2;38;3;1;0.230769230769;"""4/4""";65;5;0;3;F79b;A1
34.7307692308;0.115384615385;4;2;38;3;2;0.230769230769;"""4/4""";60;5;0;3;F79b;A1
34.8461538462;0.115384615385;4;2;38;4;1;0.230769230769;"""4/4""";63;5;0;3;F79b;A1
34.9615384615;0.115384615385;4;2;38;4;2;0.230769230769;"""4/4""";60;5;0;3;F79b;A1
35.0769230769;0.230769230769;4;1;39;1;1;0.230769230769;"""4/4""";61;5;0;3;Bb-;A1
35.3076923077;0.115384615385;4;2;39;2;1;0.230769230769;"""4/4""";65;5;0;3;Bb-;A1
35.4230769231;0.115384615385;4;2;39;2;2;0.230769230769;"""4/4""";55;5;0;3;Bb-;A1
36.5769230769;0.115384615385;4;2;40;3;2;0.230769230769;"""4/4""";61;6;1;3;F7;A1
36.6923076923;0.115384615385;4;2;40;4;1;0.230769230769;"""4/4""";53;6;0;3;F7;A1
36.8076923077;0.115384615385;4;2;40;4;2;0.230769230769;"""4/4""";55;6;0;3;F7;A1
36.9230769231;0.115384615385;4;2;41;1;1;0.230769230769;"""4/4""";61;6;0;3;Bb-;A1
37.0384615385;0.115384615385;4;2;41;1;2;0.230769230769;"""4/4""";58;6;0;3;Bb-;A1
37.1538461538;0.115384615385;4;2;41;2;1;0.230769230769;"""4/4""";53;6;0;3;Bb-;A1
37.2692307692;0.115384615385;4;2;41;2;2;0.230769230769;"""4/4""";58;6;0;3;Bb-;A1
37.3846153846;0.115384615385;4;2;41;3;1;0.230769230769;"""4/4""";60;6;0;3;Bb-;A1
37.5;0.115384615385;4;2;41;3;2;0.230769230769;"""4/4""";57;6;0;3;Bb-;A1
37.6153846154;0.115384615385;4;2;41;4;1;0.230769230769;"""4/4""";58;6;0;3;Bb-;A1
37.7307692308;0.115384615385;4;2;41;4;2;0.230769230769;"""4/4""";60;6;0;3;Bb-;A1
37.8461538462;0.115384615385;4;2;42;1;1;0.230769230769;"""4/4""";61;6;0;3;C-;A1
37.9615384615;0.115384615385;4;2;42;1;2;0.230769230769;"""4/4""";63;6;0;3;C-;A1
38.0769230769;0.115384615385;4;2;42;2;1;0.230769230769;"""4/4""";64;6;0;3;C-;A1
38.1923076923;0.115384615385;4;2;42;2;2;0.230769230769;"""4/4""";65;6;0;3;C-;A1
38.3076923077;0.115384615385;4;2;42;3;1;0.230769230769;"""4/4""";66;6;0;3;F7;A1
38.4230769231;0.115384615385;4;2;42;3;2;0.230769230769;"""4/4""";65;6;0;3;F7;A1
38.5384615385;0.115384615385;4;2;42;4;1;0.230769230769;"""4/4""";63;6;0;3;F7;A1
38.6538461538;0.115384615385;4;2;42;4;2;0.230769230769;"""4/4""";60;6;0;3;F7;A1
38.7692307692;0.115384615385;4;2;43;1;1;0.230769230769;"""4/4""";61;6;0;3;Bb-;A1
38.8846153846;0.115384615385;4;2;43;1;2;0.230769230769;"""4/4""";53;6;0;3;Bb-;A1
39.0;0.115384615385;4;2;43;2;1;0.230769230769;"""4/4""";55;6;0;3;Bb-;A1
39.1153846154;0.115384615385;4;2;43;2;2;0.230769230769;"""4/4""";61;6;0;3;Bb-;A1
39.2307692308;0.115384615385;4;2;43;3;1;0.230769230769;"""4/4""";60;6;0;3;Bb-;A1
39.3461538462;0.115384615385;4;2;43;3;2;0.230769230769;"""4/4""";58;6;0;3;Bb-;A1
39.4615384615;0.115384615385;4;2;43;4;1;0.230769230769;"""4/4""";57;6;0;3;Bb-;A1
39.5769230769;0.115384615385;4;2;43;4;2;0.230769230769;"""4/4""";58;6;0;3;Bb-;A1
39.6923076923;0.115384615385;4;2;44;1;1;0.230769230769;"""4/4""";60;6;0;3;C-;A1
39.8076923077;0.115384615385;4;2;44;1;2;0.230769230769;"""4/4""";55;6;0;3;C-;A1
39.9230769231;0.461538461538;4;1;44;2;1;0.230769230769;"""4/4""";58;6;0;3;C-;A1
40.5;0.0576923076923;4;4;44;4;3;0.230769230769;"""4/4""";60;6;0;3;F7;A1
40.5576923077;0.0576923076923;4;4;44;4;4;0.230769230769;"""4/4""";63;6;0;3;F7;A1
40.6153846154;0.115384615385;4;2;45;1;1;0.230769230769;"""4/4""";66;6;0;3;Bb-;A1
40.7307692308;0.115384615385;4;2;45;1;2;0.230769230769;"""4/4""";65;6;0;3;Bb-;A1
41.7692307692;0.0769230769231;4;3;46;2;1;0.230769230769;"""4/4""";69;7;1;3;F7;A1
41.8461538462;0.0769230769231;4;3;46;2;2;0.230769230769;"""4/4""";70;7;0;3;F7;A1
41.9230769231;0.0769230769231;4;3;46;2;3;0.230769230769;"""4/4""";71;7;0;3;F7;A1
42.0;0.115384615385;4;2;46;3;1;0.230769230769;"""4/4""";72;7;0;3;F7;A1
42.1153846154;0.115384615385;4;2;46;3;2;0.230769230769;"""4/4""";70;7;0;3;F7;A1
42.2307692308;0.115384615385;4;2;46;4;1;0.230769230769;"""4/4""";69;7;0;3;F7;A1
42.3461538462;0.115384615385;4;2;46;4;2;0.230769230769;"""4/4""";72;7;0;3;F7;A1
42.4615384615;0.115384615385;4;2;47;1;1;0.230769230769;"""4/4""";70;7;0;3;Bb-;A1
42.5769230769;0.115384615385;4;2;47;1;2;0.230769230769;"""4/4""";65;7;0;3;Bb-;A1
42.6923076923;0.115384615385;4;2;47;2;1;0.230769230769;"""4/4""";61;7;0;3;Bb-;A1
42.8076923077;0.115384615385;4;2;47;2;2;0.230769230769;"""4/4""";58;7;0;3;Bb-;A1
42.9230769231;0.115384615385;4;2;47;3;1;0.230769230769;"""4/4""";66;7;0;3;Bb-;A1
43.0384615385;0.115384615385;4;2;47;3;2;0.230769230769;"""4/4""";65;7;0;3;Bb-;A1
43.1538461538;0.115384615385;4;2;47;4;1;0.230769230769;"""4/4""";63;7;0;3;Bb-;A1
43.2692307692;0.115384615385;4;2;47;4;2;0.230769230769;"""4/4""";60;7;0;3;Bb-;A1
43.3846153846;0.115384615385;4;2;48;1;1;0.230769230769;"""4/4""";61;7;0;3;Bb-;A1
43.5;0.115384615385;4;2;48;1;2;0.230769230769;"""4/4""";58;7;0;3;Bb-;A1
44.4230769231;0.115384615385;4;2;49;1;2;0.230769230769;"""4/4""";64;8;1;3;F-;A1
44.5384615385;0.0769230769231;4;3;49;2;1;0.230769230769;"""4/4""";65;8;0;4;F-;A1
44.6153846154;0.0769230769231;4;3;49;2;2;0.230769230769;"""4/4""";68;8;0;4;F-;A1
44.6923076923;0.0769230769231;4;3;49;2;3;0.230769230769;"""4/4""";72;8;0;4;F-;A1
44.7692307692;0.346153846154;4;1;49;3;1;0.230769230769;"""4/4""";75;8;0;4;F-;A1
45.1153846154;0.115384615385;4;2;49;4;2;0.230769230769;"""4/4""";73;8;0;4;F-;A1
45.2307692308;0.115384615385;4;2;50;1;1;0.230769230769;"""4/4""";74;8;0;4;Bb7;A1
45.3461538462;0.115384615385;4;2;50;1;2;0.230769230769;"""4/4""";70;8;0;4;Bb7;A1
45.4615384615;0.115384615385;4;2;50;2;1;0.230769230769;"""4/4""";71;8;0;4;Bb7;A1
