onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
31.9565217391;0.130434782609;4;2;31;3;2;0.260869565217;"""4/4""";63;1;1;1;Ab;I1
32.0869565217;0.130434782609;4;2;31;4;1;0.260869565217;"""4/4""";65;1;0;1;Ab;I1
32.2173913043;0.130434782609;4;2;31;4;2;0.260869565217;"""4/4""";67;1;0;1;Ab;I1
32.347826087;0.130434782609;4;2;32;1;1;0.260869565217;"""4/4""";68;1;0;1;Bb-;I1
32.4782608696;0.130434782609;4;2;32;1;2;0.260869565217;"""4/4""";67;1;0;1;Bb-;I1
32.6086956522;0.130434782609;4;2;32;2;1;0.260869565217;"""4/4""";65;1;0;1;Bb-;I1
32.7391304348;0.130434782609;4;2;32;2;2;0.260869565217;"""4/4""";64;1;0;1;Bb-;I1
32.8695652174;0.130434782609;4;2;32;3;1;0.260869565217;"""4/4""";63;1;0;1;Eb7;I1
33.0;0.130434782609;4;2;32;3;2;0.260869565217;"""4/4""";61;1;0;1;Eb7;I1
33.1304347826;0.0869565217391;4;3;32;4;1;0.260869565217;"""4/4""";60;1;0;1;Eb7;I1
33.2173913043;0.0869565217391;4;3;32;4;2;0.260869565217;"""4/4""";61;1;0;1;Eb7;I1
33.3043478261;0.0869565217391;4;3;32;4;3;0.260869565217;"""4/4""";62;1;0;1;Eb7;I1
33.3913043478;0.130434782609;4;2;33;1;1;0.260869565217;"""4/4""";63;1;0;1;Ab;A1
33.5217391304;0.130434782609;4;2;33;1;2;0.260869565217;"""4/4""";60;1;0;1;Ab;A1
33.652173913;0.130434782609;4;2;33;2;1;0.260869565217;"""4/4""";61;1;0;1;Ab;A1
33.7826086957;0.130434782609;4;2;33;2;2;0.260869565217;"""4/4""";63;1;0;1;Ab;A1
35.347826087;0.130434782609;4;2;34;4;2;0.260869565217;"""4/4""";60;2;1;1;F7;A1
35.4782608696;0.130434782609;4;2;35;1;1;0.260869565217;"""4/4""";67;2;0;1;Bb7;A1
35.6086956522;0.130434782609;4;2;35;1;2;0.260869565217;"""4/4""";65;2;0;1;Bb7;A1
35.7391304348;0.130434782609;4;2;35;2;1;0.260869565217;"""4/4""";62;2;0;1;Bb7;A1
35.8695652174;0.130434782609;4;2;35;2;2;0.260869565217;"""4/4""";58;2;0;1;Bb7;A1
36.0;0.260869565217;4;1;35;3;1;0.260869565217;"""4/4""";60;2;0;1;Bb7;A1
37.6956521739;0.0652173913043;4;4;37;1;3;0.260869565217;"""4/4""";58;3;1;1;Bb-;A1
37.7608695652;0.0652173913043;4;4;37;1;4;0.260869565217;"""4/4""";61;3;0;1;Bb-;A1
37.8260869565;0.0869565217391;4;3;37;2;1;0.260869565217;"""4/4""";65;3;0;1;Bb-;A1
37.9130434783;0.0869565217391;4;3;37;2;2;0.260869565217;"""4/4""";68;3;0;1;Bb-;A1
38.0;0.0869565217391;4;3;37;2;3;0.260869565217;"""4/4""";72;3;0;1;Bb-;A1
38.0869565217;0.130434782609;4;2;37;3;1;0.260869565217;"""4/4""";75;3;0;1;Bb-;A1
38.2173913043;0.130434782609;4;2;37;3;2;0.260869565217;"""4/4""";74;3;0;1;Bb-;A1
38.347826087;0.130434782609;4;2;37;4;1;0.260869565217;"""4/4""";73;3;0;1;Bb-;A1
38.4782608696;0.130434782609;4;2;37;4;2;0.260869565217;"""4/4""";72;3;0;1;Bb-;A1
38.6086956522;0.130434782609;4;2;38;1;1;0.260869565217;"""4/4""";70;3;0;1;Eb7;A1
38.7391304348;0.130434782609;4;2;38;1;2;0.260869565217;"""4/4""";69;3;0;1;Eb7;A1
38.8695652174;0.130434782609;4;2;38;2;1;0.260869565217;"""4/4""";68;3;0;1;Eb7;A1
39.0;0.130434782609;4;2;38;2;2;0.260869565217;"""4/4""";67;3;0;1;Eb7;A1
39.1304347826;0.130434782609;4;2;38;3;1;0.260869565217;"""4/4""";66;3;0;1;Eb7;A1
39.2608695652;0.130434782609;4;2;38;3;2;0.260869565217;"""4/4""";65;3;0;1;Eb7;A1
39.3913043478;0.130434782609;4;2;38;4;1;0.260869565217;"""4/4""";64;3;0;1;Eb7;A1
39.5217391304;0.130434782609;4;2;38;4;2;0.260869565217;"""4/4""";62;3;0;1;Eb7;A1
39.652173913;0.260869565217;4;1;39;1;1;0.260869565217;"""4/4""";63;3;0;1;Ab;A1
40.3043478261;0.130434782609;4;2;39;3;2;0.260869565217;"""4/4""";61;3;0;1;Ab;A1
40.4347826087;0.260869565217;4;1;39;4;1;0.260869565217;"""4/4""";60;3;0;1;Ab;A1
41.2173913043;0.130434782609;4;2;40;3;1;0.260869565217;"""4/4""";70;4;1;1;Ab7;A1
41.347826087;0.130434782609;4;2;40;3;2;0.260869565217;"""4/4""";66;4;0;1;Ab7;A1
41.4782608696;0.130434782609;4;2;40;4;1;0.260869565217;"""4/4""";63;4;0;1;Ab7;A1
41.7391304348;0.130434782609;4;2;41;1;1;0.260869565217;"""4/4""";68;4;0;1;Db7;A1
41.8695652174;0.130434782609;4;2;41;1;2;0.260869565217;"""4/4""";64;4;0;1;Db7;A1
42.0;0.0869565217391;4;3;41;2;1;0.260869565217;"""4/4""";65;4;0;1;Db7;A1
42.0869565217;0.0869565217391;4;3;41;2;2;0.260869565217;"""4/4""";68;4;0;1;Db7;A1
42.1739130435;0.0869565217391;4;3;41;2;3;0.260869565217;"""4/4""";72;4;0;1;Db7;A1
42.2608695652;0.130434782609;4;2;41;3;1;0.260869565217;"""4/4""";75;4;0;1;Db7;A1
42.3913043478;0.130434782609;4;2;41;3;2;0.260869565217;"""4/4""";73;4;0;1;Db7;A1
43.1739130435;0.130434782609;4;2;42;2;2;0.260869565217;"""4/4""";78;4;0;1;Gb7;A1
43.3043478261;0.130434782609;4;2;42;3;1;0.260869565217;"""4/4""";76;4;0;1;Gb7;A1
43.4347826087;0.130434782609;4;2;42;3;2;0.260869565217;"""4/4""";68;4;0;1;Gb7;A1
43.5652173913;0.130434782609;4;2;42;4;1;0.260869565217;"""4/4""";71;4;0;1;Gb7;A1
43.6956521739;0.130434782609;4;2;42;4;2;0.260869565217;"""4/4""";75;4;0;1;Gb7;A1
43.8260869565;0.130434782609;4;2;43;1;1;0.260869565217;"""4/4""";73;4;0;1;Ab;A1
44.4782608696;0.130434782609;4;2;43;3;2;0.260869565217;"""4/4""";72;4;0;1;Ab;A1
44.8695652174;0.130434782609;4;2;44;1;1;0.260869565217;"""4/4""";75;4;0;1;F7;A1
45.0;0.130434782609;4;2;44;1;2;0.260869565217;"""4/4""";73;4;0;1;F7;A1
45.1304347826;0.130434782609;4;2;44;2;1;0.260869565217;"""4/4""";72;4;0;1;F7;A1
45.2608695652;0.130434782609;4;2;44;2;2;0.260869565217;"""4/4""";70;4;0;1;F7;A1
45.3913043478;0.260869565217;4;1;44;3;1;0.260869565217;"""4/4""";69;4;0;1;F7;A1
45.652173913;0.260869565217;4;1;44;4;1;0.260869565217;"""4/4""";63;4;0;1;F7;A1
45.9130434783;0.0869565217391;4;3;45;1;1;0.260869565217;"""4/4""";66;4;0;1;Bb7;A1
46.0;0.0869565217391;4;3;45;1;2;0.260869565217;"""4/4""";68;4;0;1;Bb7;A1
46.0869565217;0.0869565217391;4;3;45;1;3;0.260869565217;"""4/4""";66;4;0;1;Bb7;A1
46.1739130435;0.130434782609;4;2;45;2;1;0.260869565217;"""4/4""";65;4;0;1;Bb7;A1
46.3043478261;0.130434782609;4;2;45;2;2;0.260869565217;"""4/4""";63;4;0;1;Bb7;A1
46.4347826087;0.130434782609;4;2;45;3;1;0.260869565217;"""4/4""";62;4;0;1;Bb7;A1
46.5652173913;0.130434782609;4;2;45;3;2;0.260869565217;"""4/4""";65;4;0;1;Bb7;A1
46.6956521739;0.130434782609;4;2;45;4;1;0.260869565217;"""4/4""";68;4;0;1;Bb7;A1
46.8260869565;0.130434782609;4;2;45;4;2;0.260869565217;"""4/4""";72;4;0;1;Bb7;A1
46.9565217391;0.0326086956522;4;8;46;1;1;0.260869565217;"""4/4""";66;4;0;1;Bb7;A1
46.9891304348;0.228260869565;4;8;46;1;2;0.260869565217;"""4/4""";67;4;0;1;Bb7;A1
47.2173913043;0.130434782609;4;2;46;2;1;0.260869565217;"""4/4""";70;4;0;1;Bb7;A1
47.347826087;0.130434782609;4;2;46;2;2;0.260869565217;"""4/4""";67;4;0;1;Bb7;A1
47.4782608696;0.130434782609;4;2;46;3;1;0.260869565217;"""4/4""";68;4;0;1;Bb7;A1
47.6086956522;0.130434782609;4;2;46;3;2;0.260869565217;"""4/4""";66;4;0;1;Bb7;A1
48.652173913;0.0652173913043;4;4;47;3;3;0.260869565217;"""4/4""";58;5;1;1;Bb-;A1
48.7173913043;0.0652173913043;4;4;47;3;4;0.260869565217;"""4/4""";61;5;0;1;Bb-;A1
48.7826086957;0.130434782609;4;2;47;4;1;0.260869565217;"""4/4""";65;5;0;1;Bb-;A1
48.9130434783;0.130434782609;4;2;47;4;2;0.260869565217;"""4/4""";68;5;0;1;Bb-;A1
49.0434782609;0.130434782609;4;2;48;1;1;0.260869565217;"""4/4""";67;5;0;1;Eb7;A1
49.1739130435;0.130434782609;4;2;48;1;2;0.260869565217;"""4/4""";65;5;0;1;Eb7;A1
49.3043478261;0.130434782609;4;2;48;2;1;0.260869565217;"""4/4""";63;5;0;1;Eb7;A1
49.4347826087;0.130434782609;4;2;48;2;2;0.260869565217;"""4/4""";58;5;0;1;Eb7;A1
