onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
31.6666666667;0.238095238095;4;2;17;3;2;0.47619047619;"""4/4""";60;1;1;1;C7;A1
31.9047619048;0.15873015873;4;3;17;4;1;0.47619047619;"""4/4""";64;1;0;1;C7;A1
32.0634920635;0.15873015873;4;3;17;4;2;0.47619047619;"""4/4""";67;1;0;1;C7;A1
32.2222222222;0.15873015873;4;3;17;4;3;0.47619047619;"""4/4""";69;1;0;1;C7;A1
32.380952381;0.238095238095;4;2;18;1;1;0.47619047619;"""4/4""";72;1;0;1;F7;A1
32.619047619;0.238095238095;4;2;18;1;2;0.47619047619;"""4/4""";69;1;0;1;F7;A1
33.3333333333;0.238095238095;4;2;18;3;1;0.47619047619;"""4/4""";66;1;0;1;F7;A1
33.5714285714;0.238095238095;4;2;18;3;2;0.47619047619;"""4/4""";65;1;0;1;F7;A1
33.8095238095;0.15873015873;4;3;18;4;1;0.47619047619;"""4/4""";63;1;0;1;F7;A1
33.9682539683;0.15873015873;4;3;18;4;2;0.47619047619;"""4/4""";60;1;0;1;F7;A1
34.126984127;0.15873015873;4;3;18;4;3;0.47619047619;"""4/4""";64;1;0;1;F7;A1
34.4444444444;0.15873015873;4;3;19;1;2;0.47619047619;"""4/4""";60;1;0;1;C7;A1
34.6031746032;0.15873015873;4;3;19;1;3;0.47619047619;"""4/4""";55;1;0;1;C7;A1
36.4285714286;0.119047619048;4;4;20;1;3;0.47619047619;"""4/4""";67;2;1;1;G-;A1
36.5476190476;0.119047619048;4;4;20;1;4;0.47619047619;"""4/4""";69;2;0;1;G-;A1
36.6666666667;0.119047619048;4;4;20;2;1;0.47619047619;"""4/4""";70;2;0;1;G-;A1
36.7857142857;0.119047619048;4;4;20;2;2;0.47619047619;"""4/4""";72;2;0;1;G-;A1
36.9047619048;0.119047619048;4;4;20;2;3;0.47619047619;"""4/4""";73;2;0;1;G-;A1
37.0238095238;0.119047619048;4;4;20;2;4;0.47619047619;"""4/4""";70;2;0;1;G-;A1
37.1428571429;0.119047619048;4;12;20;3;1;0.47619047619;"""4/4""";72;2;0;1;C7;A1
37.2619047619;0.119047619048;4;12;20;3;4;0.47619047619;"""4/4""";69;2;0;1;C7;A1
37.380952381;0.0793650793651;4;12;20;3;7;0.47619047619;"""4/4""";70;2;0;1;C7;A1
37.4603174603;0.0793650793651;4;12;20;3;9;0.47619047619;"""4/4""";72;2;0;1;C7;A1
37.5396825397;0.0793650793651;4;12;20;3;11;0.47619047619;"""4/4""";70;2;0;1;C7;A1
37.619047619;0.119047619048;4;4;20;4;1;0.47619047619;"""4/4""";69;2;0;1;C7;A1
37.7380952381;0.119047619048;4;4;20;4;2;0.47619047619;"""4/4""";65;2;0;1;C7;A1
37.8571428571;0.119047619048;4;4;20;4;3;0.47619047619;"""4/4""";61;2;0;1;C7;A1
37.9761904762;0.119047619048;4;4;20;4;4;0.47619047619;"""4/4""";59;2;0;1;C7;A1
38.0952380952;0.119047619048;4;12;21;1;1;0.47619047619;"""4/4""";60;2;0;1;F7;A1
38.2142857143;0.119047619048;4;12;21;1;4;0.47619047619;"""4/4""";57;2;0;1;F7;A1
38.3333333333;0.0793650793651;4;12;21;1;7;0.47619047619;"""4/4""";58;2;0;1;F7;A1
38.4126984127;0.0793650793651;4;12;21;1;9;0.47619047619;"""4/4""";64;2;0;1;F7;A1
38.4920634921;0.0793650793651;4;12;21;1;11;0.47619047619;"""4/4""";65;2;0;1;F7;A1
38.5714285714;0.119047619048;4;4;21;2;1;0.47619047619;"""4/4""";65;2;0;1;F7;A1
38.6904761905;0.119047619048;4;4;21;2;2;0.47619047619;"""4/4""";60;2;0;1;F7;A1
38.8095238095;0.119047619048;4;4;21;2;3;0.47619047619;"""4/4""";62;2;0;1;F7;A1
38.9285714286;0.119047619048;4;4;21;2;4;0.47619047619;"""4/4""";60;2;0;1;F7;A1
39.0476190476;0.47619047619;4;1;21;3;1;0.47619047619;"""4/4""";63;2;0;1;F7;A1
40.9523809524;0.357142857143;4;4;22;3;1;0.47619047619;"""4/4""";75;3;1;1;F7;A1
41.3095238095;0.119047619048;4;4;22;3;4;0.47619047619;"""4/4""";71;3;0;1;F7;A1
41.4285714286;0.119047619048;4;4;22;4;1;0.47619047619;"""4/4""";72;3;0;1;F7;A1
41.5476190476;0.119047619048;4;4;22;4;2;0.47619047619;"""4/4""";68;3;0;1;F7;A1
41.6666666667;0.119047619048;4;4;22;4;3;0.47619047619;"""4/4""";69;3;0;1;F7;A1
41.7857142857;0.119047619048;4;4;22;4;4;0.47619047619;"""4/4""";65;3;0;1;F7;A1
41.9047619048;0.47619047619;4;1;23;1;1;0.47619047619;"""4/4""";66;3;0;1;C7;A1
42.619047619;0.119047619048;4;4;23;2;3;0.47619047619;"""4/4""";63;3;0;1;C7;A1
42.7380952381;0.119047619048;4;4;23;2;4;0.47619047619;"""4/4""";64;3;0;1;C7;A1
