onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
24.0;0.09375;4;2;33;1;1;0.1875;"""4/4""";69;1;1;1;Bb;A1
24.09375;0.09375;4;2;33;1;2;0.1875;"""4/4""";70;1;0;1;Bb;A1
24.1875;0.09375;4;2;33;2;1;0.1875;"""4/4""";72;1;0;1;Bb;A1
24.28125;0.09375;4;2;33;2;2;0.1875;"""4/4""";70;1;0;1;Bb;A1
24.375;0.09375;4;2;33;3;1;0.1875;"""4/4""";69;1;0;1;Bb;A1
24.46875;0.09375;4;2;33;3;2;0.1875;"""4/4""";70;1;0;1;Bb;A1
24.5625;0.09375;4;2;33;4;1;0.1875;"""4/4""";74;1;0;1;Bb;A1
24.65625;0.09375;4;2;33;4;2;0.1875;"""4/4""";77;1;0;1;Bb;A1
24.75;0.09375;4;2;34;1;1;0.1875;"""4/4""";76;1;0;1;C-;A1
24.84375;0.09375;4;2;34;1;2;0.1875;"""4/4""";73;1;0;1;C-;A1
24.9375;0.09375;4;2;34;2;1;0.1875;"""4/4""";70;1;0;1;C-;A1
25.03125;0.09375;4;2;34;2;2;0.1875;"""4/4""";67;1;0;1;C-;A1
25.125;0.09375;4;2;34;3;1;0.1875;"""4/4""";66;1;0;1;F7;A1
25.21875;0.09375;4;2;34;3;2;0.1875;"""4/4""";69;1;0;1;F7;A1
25.3125;0.09375;4;2;34;4;1;0.1875;"""4/4""";72;1;0;1;F7;A1
25.40625;0.09375;4;2;34;4;2;0.1875;"""4/4""";75;1;0;1;F7;A1
25.5;0.09375;4;2;35;1;1;0.1875;"""4/4""";72;1;0;1;D-;A1
25.59375;0.09375;4;2;35;1;2;0.1875;"""4/4""";73;1;0;1;D-;A1
25.6875;0.09375;4;2;35;2;1;0.1875;"""4/4""";74;1;0;1;D-;A1
25.78125;0.09375;4;2;35;2;2;0.1875;"""4/4""";72;1;0;1;D-;A1
25.875;0.09375;4;2;35;3;1;0.1875;"""4/4""";71;1;0;1;G7;A1
25.96875;0.09375;4;2;35;3;2;0.1875;"""4/4""";68;1;0;1;G7;A1
26.0625;0.09375;4;2;35;4;1;0.1875;"""4/4""";67;1;0;1;G7;A1
