onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
0.0;0.1;4;2;1;1;1;0.2;"""4/4""";65;1;1;1;F;A1
0.1;0.1;4;2;1;1;2;0.2;"""4/4""";67;1;0;1;F;A1
0.2;0.1;4;2;1;2;1;0.2;"""4/4""";69;1;0;1;F;A1
0.3;0.1;4;2;1;2;2;0.2;"""4/4""";70;1;0;1;F;A1
0.4;0.1;4;2;1;3;1;0.2;"""4/4""";72;1;0;1;F;A1
0.5;0.1;4;2;1;3;2;0.2;"""4/4""";69;1;0;1;F;A1
0.6;0.0666666666667;4;3;1;4;1;0.2;"""4/4""";70;1;0;1;F;A1
0.666666666667;0.0666666666667;4;3;1;4;2;0.2;"""4/4""";72;1;0;1;F;A1
0.733333333333;0.0666666666667;4;3;1;4;3;0.2;"""4/4""";70;1;0;1;F;A1
0.8;0.1;4;2;2;1;1;0.2;"""4/4""";69;1;0;1;D7;A1
0.9;0.1;4;2;2;1;2;0.2;"""4/4""";67;1;0;1;D7;A1
1.0;0.1;4;2;2;2;1;0.2;"""4/4""";66;1;0;1;D7;A1
1.1;0.1;4;2;2;2;2;0.2;"""4/4""";69;1;0;1;D7;A1
1.2;0.1;4;2;2;3;1;0.2;"""4/4""";72;1;0;1;D7;A1
1.3;0.1;4;2;2;3;2;0.2;"""4/4""";75;1;0;1;D7;A1
1.4;0.1;4;2;2;4;1;0.2;"""4/4""";72;1;0;1;D7;A1
1.5;0.1;4;2;2;4;2;0.2;"""4/4""";73;1;0;1;D7;A1
1.6;0.1;4;2;3;1;1;0.2;"""4/4""";74;1;0;1;G-;A1
1.7;0.1;4;2;3;1;2;0.2;"""4/4""";73;1;0;1;G-;A1
1.8;0.1;4;2;3;2;1;0.2;"""4/4""";72;1;0;1;G-;A1
1.9;0.1;4;2;3;2;2;0.2;"""4/4""";71;1;0;1;G-;A1
2.0;0.1;4;2;3;3;1;0.2;"""4/4""";70;1;0;1;G-;A1
2.1;0.1;4;2;3;3;2;0.2;"""4/4""";69;1;0;1;G-;A1
2.2;0.1;4;2;3;4;1;0.2;"""4/4""";67;1;0;1;G-;A1
2.3;0.1;4;2;3;4;2;0.2;"""4/4""";65;1;0;1;G-;A1
2.4;0.1;4;2;4;1;1;0.2;"""4/4""";64;1;0;1;C7;A1
2.5;0.1;4;2;4;1;2;0.2;"""4/4""";67;1;0;1;C7;A1
2.6;0.1;4;2;4;2;1;0.2;"""4/4""";70;1;0;1;C7;A1
2.7;0.1;4;2;4;2;2;0.2;"""4/4""";73;1;0;1;C7;A1
2.8;0.1;4;2;4;3;1;0.2;"""4/4""";72;1;0;1;C7;A1
2.9;0.1;4;2;4;3;2;0.2;"""4/4""";70;1;0;1;C7;A1
3.0;0.1;4;2;4;4;1;0.2;"""4/4""";69;1;0;1;C7;A1
3.1;0.1;4;2;4;4;2;0.2;"""4/4""";67;1;0;1;C7;A1
3.2;0.1;4;2;5;1;1;0.2;"""4/4""";65;1;0;1;F;A1
3.3;0.1;4;2;5;1;2;0.2;"""4/4""";64;1;0;1;F;A1
3.4;0.1;4;2;5;2;1;0.2;"""4/4""";62;1;0;1;F;A1
3.5;0.1;4;2;5;2;2;0.2;"""4/4""";61;1;0;1;F;A1
3.6;0.1;4;2;5;3;1;0.2;"""4/4""";60;1;0;1;F;A1
3.7;0.1;4;2;5;3;2;0.2;"""4/4""";58;1;0;1;F;A1
3.8;0.1;4;2;5;4;1;0.2;"""4/4""";57;1;0;1;F;A1
3.9;0.1;4;2;5;4;2;0.2;"""4/4""";55;1;0;1;F;A1
4.0;0.1;4;2;6;1;1;0.2;"""4/4""";54;1;0;1;D7;A1
4.1;0.1;4;2;6;1;2;0.2;"""4/4""";57;1;0;1;D7;A1
4.2;0.1;4;2;6;2;1;0.2;"""4/4""";60;1;0;1;D7;A1
4.3;0.1;4;2;6;2;2;0.2;"""4/4""";63;1;0;1;D7;A1
4.4;0.1;4;2;6;3;1;0.2;"""4/4""";60;1;0;1;D7;A1
4.5;0.1;4;2;6;3;2;0.2;"""4/4""";61;1;0;1;D7;A1
4.6;0.1;4;2;6;4;1;0.2;"""4/4""";62;1;0;1;D7;A1
4.7;0.1;4;2;6;4;2;0.2;"""4/4""";57;1;0;1;D7;A1
4.8;0.1;4;2;7;1;1;0.2;"""4/4""";60;1;0;1;G-;A1
4.9;0.1;4;2;7;1;2;0.2;"""4/4""";57;1;0;1;G-;A1
5.0;0.0666666666667;4;3;7;2;1;0.2;"""4/4""";58;1;0;1;G-;A1
5.06666666667;0.0666666666667;4;3;7;2;2;0.2;"""4/4""";62;1;0;1;G-;A1
5.13333333333;0.0666666666667;4;3;7;2;3;0.2;"""4/4""";65;1;0;1;G-;A1
5.2;0.1;4;2;7;3;1;0.2;"""4/4""";69;1;0;1;G-;A1
5.3;0.1;4;2;7;3;2;0.2;"""4/4""";67;1;0;1;G-;A1
5.4;0.1;4;2;7;4;1;0.2;"""4/4""";64;1;0;1;G-;A1
5.5;0.1;4;2;7;4;2;0.2;"""4/4""";60;1;0;1;G-;A1
5.6;0.1;4;2;8;1;1;0.2;"""4/4""";67;1;0;1;C7;A1
5.7;0.1;4;2;8;1;2;0.2;"""4/4""";68;1;0;1;C7;A1
5.8;0.1;4;2;8;2;1;0.2;"""4/4""";64;1;0;1;C7;A1
5.9;0.1;4;2;8;2;2;0.2;"""4/4""";60;1;0;1;C7;A1
6.0;0.1;4;2;8;3;1;0.2;"""4/4""";62;1;0;1;C7;A1
6.1;0.1;4;2;8;3;2;0.2;"""4/4""";58;1;0;1;C7;A1
6.2;0.1;4;2;8;4;1;0.2;"""4/4""";55;1;0;1;C7;A1
6.3;0.1;4;2;8;4;2;0.2;"""4/4""";57;1;0;1;C7;A1
6.4;0.1;4;2;9;1;1;0.2;"""4/4""";60;1;0;1;C-;A1
6.5;0.1;4;2;9;1;2;0.2;"""4/4""";57;1;0;1;C-;A1
6.6;0.1;4;2;9;2;1;0.2;"""4/4""";58;1;0;1;C-;A1
6.7;0.1;4;2;9;2;2;0.2;"""4/4""";61;1;0;1;C-;A1
6.8;0.1;4;2;9;3;1;0.2;"""4/4""";67;1;0;1;C-;A1
6.9;0.1;4;2;9;3;2;0.2;"""4/4""";63;1;0;1;C-;A1
7.0;0.1;4;2;9;4;1;0.2;"""4/4""";60;1;0;1;C-;A1
7.1;0.1;4;2;9;4;2;0.2;"""4/4""";59;1;0;1;C-;A1
8.1;0.1;4;2;11;1;2;0.2;"""4/4""";67;2;1;1;Bb;A1
8.2;0.1;4;2;11;2;1;0.2;"""4/4""";63;2;0;1;Bb;A1
8.3;0.1;4;2;11;2;2;0.2;"""4/4""";59;2;0;1;Bb;A1
8.4;0.1;4;2;11;3;1;0.2;"""4/4""";58;2;0;1;Bb;A1
8.5;0.1;4;2;11;3;2;0.2;"""4/4""";55;2;0;1;Bb;A1
8.6;0.1;4;2;11;4;1;0.2;"""4/4""";57;2;0;1;Bb;A1
8.7;0.1;4;2;11;4;2;0.2;"""4/4""";66;2;0;1;Bb;A1
8.8;0.1;4;2;12;1;1;0.2;"""4/4""";63;2;0;1;Bb;A1
8.9;0.1;4;2;12;1;2;0.2;"""4/4""";64;2;0;1;Bb;A1
9.0;0.1;4;2;12;2;1;0.2;"""4/4""";65;2;0;1;Bb;A1
9.1;0.1;4;2;12;2;2;0.2;"""4/4""";57;2;0;1;Bb;A1
9.2;0.1;4;2;12;3;1;0.2;"""4/4""";58;2;0;1;Eb7;A1
9.3;0.1;4;2;12;3;2;0.2;"""4/4""";63;2;0;1;Eb7;A1
9.4;0.1;4;2;12;4;1;0.2;"""4/4""";60;2;0;1;Eb7;A1
9.5;0.1;4;2;12;4;2;0.2;"""4/4""";61;2;0;1;Eb7;A1
9.6;0.1;4;2;13;1;1;0.2;"""4/4""";62;2;0;1;F;A1
9.7;0.1;4;2;13;1;2;0.2;"""4/4""";61;2;0;1;F;A1
9.8;0.1;4;2;13;2;1;0.2;"""4/4""";60;2;0;1;F;A1
9.9;0.1;4;2;13;2;2;0.2;"""4/4""";59;2;0;1;F;A1
10.0;0.1;4;2;13;3;1;0.2;"""4/4""";58;2;0;1;F;A1
10.1;0.1;4;2;13;3;2;0.2;"""4/4""";57;2;0;1;F;A1
10.2;0.1;4;2;13;4;1;0.2;"""4/4""";55;2;0;1;F;A1
10.3;0.1;4;2;13;4;2;0.2;"""4/4""";53;2;0;1;F;A1
10.4;0.1;4;2;14;1;1;0.2;"""4/4""";52;2;0;1;C7;A1
10.5;0.1;4;2;14;1;2;0.2;"""4/4""";55;2;0;1;C7;A1
10.6;0.1;4;2;14;2;1;0.2;"""4/4""";58;2;0;1;C7;A1
10.7;0.1;4;2;14;2;2;0.2;"""4/4""";61;2;0;1;C7;A1
10.8;0.1;4;2;14;3;1;0.2;"""4/4""";60;2;0;1;C7;A1
10.9;0.1;4;2;14;3;2;0.2;"""4/4""";58;2;0;1;C7;A1
11.0;0.0666666666667;4;3;14;4;1;0.2;"""4/4""";57;2;0;1;C7;A1
11.0666666667;0.0666666666667;4;3;14;4;2;0.2;"""4/4""";60;2;0;1;C7;A1
11.1333333333;0.0666666666667;4;3;14;4;3;0.2;"""4/4""";64;2;0;1;C7;A1
11.2;0.2;4;1;15;1;1;0.2;"""4/4""";67;2;0;1;F;A1
11.5;0.1;4;2;15;2;2;0.2;"""4/4""";72;2;0;1;F;A1
11.7;0.2;4;2;15;3;2;0.2;"""4/4""";67;2;0;1;F;A1
11.9;0.1;4;2;15;4;2;0.2;"""4/4""";68;2;0;1;F;A1
12.1;0.2;4;2;16;1;2;0.2;"""4/4""";72;2;0;1;C7;A1
12.3;0.1;4;2;16;2;2;0.2;"""4/4""";76;2;0;1;C7;A1
12.4;0.05;4;4;16;3;1;0.2;"""4/4""";74;2;0;1;C7;A1
12.45;0.05;4;4;16;3;2;0.2;"""4/4""";76;2;0;1;C7;A1
12.5;0.05;4;4;16;3;3;0.2;"""4/4""";72;2;0;1;C7;A1
12.55;0.05;4;4;16;3;4;0.2;"""4/4""";74;2;0;1;C7;A1
12.6;0.1;4;4;16;4;1;0.2;"""4/4""";70;2;0;1;C7;A1
12.7;0.05;4;4;16;4;3;0.2;"""4/4""";69;2;0;1;C7;A1
12.75;0.05;4;4;16;4;4;0.2;"""4/4""";70;2;0;1;C7;A1
12.8;0.2;4;1;17;1;1;0.2;"""4/4""";69;2;0;1;F;A1
13.7;0.1;4;2;18;1;2;0.2;"""4/4""";68;3;1;1;D7;A1
13.8;0.0666666666667;4;3;18;2;1;0.2;"""4/4""";69;3;0;1;D7;A1
13.8666666667;0.0666666666667;4;3;18;2;2;0.2;"""4/4""";72;3;0;1;D7;A1
13.9333333333;0.0666666666667;4;3;18;2;3;0.2;"""4/4""";76;3;0;1;D7;A1
14.0;0.1;4;2;18;3;1;0.2;"""4/4""";79;3;0;1;D7;A1
14.1;0.1;4;2;18;3;2;0.2;"""4/4""";77;3;0;1;D7;A1
14.2;0.1;4;2;18;4;1;0.2;"""4/4""";76;3;0;1;D7;A1
14.3;0.1;4;2;18;4;2;0.2;"""4/4""";71;3;0;1;D7;A1
14.9;0.1;4;2;19;3;2;0.2;"""4/4""";66;4;1;1;G-;A1
15.0;0.05;4;4;19;4;1;0.2;"""4/4""";67;4;0;1;G-;A1
15.05;0.05;4;4;19;4;2;0.2;"""4/4""";70;4;0;1;G-;A1
15.1;0.05;4;4;19;4;3;0.2;"""4/4""";74;4;0;1;G-;A1
15.15;0.05;4;4;19;4;4;0.2;"""4/4""";77;4;0;1;G-;A1
15.3;0.1;4;2;20;1;2;0.2;"""4/4""";74;4;0;1;C7;A1
15.4;0.1;4;2;20;2;1;0.2;"""4/4""";75;4;0;1;C7;A1
15.5;0.1;4;2;20;2;2;0.2;"""4/4""";76;4;0;1;C7;A1
15.6;0.1;4;2;20;3;1;0.2;"""4/4""";72;4;0;1;C7;A1
15.7;0.1;4;2;20;3;2;0.2;"""4/4""";73;4;0;1;C7;A1
15.8;0.1;4;2;20;4;1;0.2;"""4/4""";74;4;0;1;C7;A1
15.9;0.1;4;2;20;4;2;0.2;"""4/4""";72;4;0;1;C7;A1
16.0;0.1;4;2;21;1;1;0.2;"""4/4""";70;4;0;1;F;A1
16.1;0.1;4;2;21;1;2;0.2;"""4/4""";67;4;0;1;F;A1
16.2;0.0666666666667;4;3;21;2;1;0.2;"""4/4""";69;4;0;1;F;A1
16.2666666667;0.0666666666667;4;3;21;2;2;0.2;"""4/4""";70;4;0;1;F;A1
16.3333333333;0.0666666666667;4;3;21;2;3;0.2;"""4/4""";71;4;0;1;F;A1
16.4;0.1;4;2;21;3;1;0.2;"""4/4""";72;4;0;1;F;A1
16.5;0.1;4;2;21;3;2;0.2;"""4/4""";69;4;0;1;F;A1
16.6;0.0666666666667;4;3;21;4;1;0.2;"""4/4""";70;4;0;1;F;A1
16.6666666667;0.0666666666667;4;3;21;4;2;0.2;"""4/4""";72;4;0;1;F;A1
16.7333333333;0.0666666666667;4;3;21;4;3;0.2;"""4/4""";70;4;0;1;F;A1
16.8;0.1;4;2;22;1;1;0.2;"""4/4""";69;4;0;1;D7;A1
16.9;0.1;4;2;22;1;2;0.2;"""4/4""";67;4;0;1;D7;A1
17.0;0.1;4;2;22;2;1;0.2;"""4/4""";66;4;0;1;D7;A1
17.1;0.1;4;2;22;2;2;0.2;"""4/4""";57;4;0;1;D7;A1
17.2;0.1;4;2;22;3;1;0.2;"""4/4""";60;4;0;1;D7;A1
17.3;0.1;4;2;22;3;2;0.2;"""4/4""";63;4;0;1;D7;A1
17.4;0.1;4;2;22;4;1;0.2;"""4/4""";60;4;0;1;D7;A1
17.5;0.1;4;2;22;4;2;0.2;"""4/4""";61;4;0;1;D7;A1
17.6;0.1;4;2;23;1;1;0.2;"""4/4""";62;4;0;1;G-;A1
17.7;0.1;4;2;23;1;2;0.2;"""4/4""";61;4;0;1;G-;A1
17.8;0.1;4;2;23;2;1;0.2;"""4/4""";60;4;0;1;G-;A1
17.9;0.1;4;2;23;2;2;0.2;"""4/4""";59;4;0;1;G-;A1
18.0;0.1;4;2;23;3;1;0.2;"""4/4""";58;4;0;1;G-;A1
18.1;0.1;4;2;23;3;2;0.2;"""4/4""";57;4;0;1;G-;A1
18.2;0.1;4;2;23;4;1;0.2;"""4/4""";55;4;0;1;G-;A1
18.3;0.1;4;2;23;4;2;0.2;"""4/4""";53;4;0;1;G-;A1
18.4;0.1;4;2;24;1;1;0.2;"""4/4""";52;4;0;1;C7;A1
18.5;0.1;4;2;24;1;2;0.2;"""4/4""";55;4;0;1;C7;A1
18.6;0.1;4;2;24;2;1;0.2;"""4/4""";58;4;0;1;C7;A1
18.7;0.1;4;2;24;2;2;0.2;"""4/4""";61;4;0;1;C7;A1
18.8;0.1;4;2;24;3;1;0.2;"""4/4""";60;4;0;1;C7;A1
18.9;0.1;4;2;24;3;2;0.2;"""4/4""";58;4;0;1;C7;A1
19.0;0.1;4;2;24;4;1;0.2;"""4/4""";62;4;0;1;C7;A1
19.1;0.1;4;2;24;4;2;0.2;"""4/4""";65;4;0;1;C7;A1
19.2;0.1;4;2;25;1;1;0.2;"""4/4""";67;4;0;1;C-;A1
19.3;0.1;4;2;25;1;2;0.2;"""4/4""";66;4;0;1;C-;A1
19.4;0.1;4;2;25;2;1;0.2;"""4/4""";65;4;0;1;C-;A1
19.5;0.1;4;2;25;2;2;0.2;"""4/4""";64;4;0;1;C-;A1
19.6;0.1;4;2;25;3;1;0.2;"""4/4""";63;4;0;1;C-;A1
19.7;0.1;4;2;25;3;2;0.2;"""4/4""";55;4;0;1;C-;A1
19.8;0.1;4;2;25;4;1;0.2;"""4/4""";56;4;0;1;C-;A1
19.9;0.1;4;2;25;4;2;0.2;"""4/4""";57;4;0;1;C-;A1
20.0;0.1;4;2;26;1;1;0.2;"""4/4""";62;4;0;1;F7;A1
20.1;0.1;4;2;26;1;2;0.2;"""4/4""";61;4;0;1;F7;A1
20.2;0.2;4;1;26;2;1;0.2;"""4/4""";60;4;0;1;F7;A1
20.7;0.1;4;2;26;4;2;0.2;"""4/4""";57;5;1;1;F7;A1
20.8;0.1;4;2;27;1;1;0.2;"""4/4""";60;5;0;1;Bb;A1
20.9;0.1;4;2;27;1;2;0.2;"""4/4""";58;5;0;1;Bb;A1
21.0;0.1;4;2;27;2;1;0.2;"""4/4""";57;5;0;1;Bb;A1
21.1;0.1;4;2;27;2;2;0.2;"""4/4""";58;5;0;1;Bb;A1
21.2;0.1;4;2;27;3;1;0.2;"""4/4""";62;5;0;1;Bb;A1
21.3;0.1;4;2;27;3;2;0.2;"""4/4""";65;5;0;1;Bb;A1
21.4;0.1;4;2;27;4;1;0.2;"""4/4""";67;5;0;1;Bb;A1
21.5;0.1;4;2;27;4;2;0.2;"""4/4""";69;5;0;1;Bb;A1
21.6;0.1;4;2;28;1;1;0.2;"""4/4""";72;5;0;1;Bb-;A1
21.7;0.1;4;2;28;1;2;0.2;"""4/4""";69;5;0;1;Bb-;A1
21.8;0.0666666666667;4;3;28;2;1;0.2;"""4/4""";70;5;0;1;Eb7;A1
21.8666666667;0.0666666666667;4;3;28;2;2;0.2;"""4/4""";72;5;0;1;Eb7;A1
21.9333333333;0.0666666666667;4;3;28;2;3;0.2;"""4/4""";70;5;0;1;Eb7;A1
22.0;0.1;4;2;28;3;1;0.2;"""4/4""";69;5;0;1;Eb7;A1
22.1;0.1;4;2;28;3;2;0.2;"""4/4""";65;5;0;1;Eb7;A1
22.2;0.1;4;2;28;4;1;0.2;"""4/4""";62;5;0;1;Eb7;A1
22.3;0.1;4;2;28;4;2;0.2;"""4/4""";60;5;0;1;Eb7;A1
22.4;0.1;4;2;29;1;1;0.2;"""4/4""";67;5;0;1;F;A1
22.5;0.1;4;2;29;1;2;0.2;"""4/4""";60;5;0;1;F;A1
22.6;0.1;4;2;29;2;1;0.2;"""4/4""";64;5;0;1;F;A1
22.7;0.1;4;2;29;2;2;0.2;"""4/4""";67;5;0;1;F;A1
22.8;0.1;4;2;29;3;1;0.2;"""4/4""";66;5;0;1;Ab-;A1
