onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
12.0;0.0909090909091;4;4;17;3;1;0.181818181818;"""4/4""";77;1;1;1;E-;I1
12.0909090909;0.0454545454545;4;4;17;3;3;0.181818181818;"""4/4""";74;1;0;1;E-;I1
12.1363636364;0.0454545454545;4;4;17;3;4;0.181818181818;"""4/4""";72;1;0;1;E-;I1
12.1818181818;0.0909090909091;4;2;17;4;1;0.181818181818;"""4/4""";70;1;0;1;E-;I1
12.2727272727;0.0909090909091;4;2;17;4;2;0.181818181818;"""4/4""";69;1;0;1;E-;I1
12.3636363636;0.0909090909091;4;2;18;1;1;0.181818181818;"""4/4""";67;1;0;1;A7;I1
12.4545454545;0.0909090909091;4;2;18;1;2;0.181818181818;"""4/4""";66;1;0;1;A7;I1
12.5454545455;0.0909090909091;4;2;18;2;1;0.181818181818;"""4/4""";64;1;0;1;A7;I1
12.6363636364;0.0909090909091;4;2;18;2;2;0.181818181818;"""4/4""";57;1;0;1;A7;I1
12.7272727273;0.0909090909091;4;2;18;3;1;0.181818181818;"""4/4""";61;1;0;1;A7;I1
12.8181818182;0.0909090909091;4;2;18;3;2;0.181818181818;"""4/4""";62;1;0;1;A7;I1
12.9090909091;0.0909090909091;4;2;18;4;1;0.181818181818;"""4/4""";64;1;0;1;A7;I1
13.0;0.0909090909091;4;2;18;4;2;0.181818181818;"""4/4""";61;1;0;1;A7;I1
13.0909090909;0.181818181818;4;1;19;1;1;0.181818181818;"""4/4""";62;1;0;1;D7;I1
13.5454545455;0.0909090909091;4;2;19;3;2;0.181818181818;"""4/4""";61;2;1;1;D7;I1
13.6363636364;0.0909090909091;4;2;19;4;1;0.181818181818;"""4/4""";62;2;0;1;D7;I1
13.7272727273;0.0909090909091;4;2;19;4;2;0.181818181818;"""4/4""";64;2;0;1;D7;I1
13.8181818182;0.0909090909091;4;2;20;1;1;0.181818181818;"""4/4""";66;2;0;1;D7;I1
13.9090909091;0.0909090909091;4;2;20;1;2;0.181818181818;"""4/4""";67;2;0;1;D7;I1
14.0;0.0909090909091;4;2;20;2;1;0.181818181818;"""4/4""";69;2;0;1;D7;I1
14.0909090909;0.0909090909091;4;2;20;2;2;0.181818181818;"""4/4""";71;2;0;1;D7;I1
14.1818181818;0.0909090909091;4;2;20;3;1;0.181818181818;"""4/4""";72;2;0;1;D7;I1
14.2727272727;0.0909090909091;4;2;20;3;2;0.181818181818;"""4/4""";71;2;0;1;D7;I1
14.3636363636;0.0909090909091;4;2;20;4;1;0.181818181818;"""4/4""";69;2;0;1;D7;I1
14.4545454545;0.0909090909091;4;2;20;4;2;0.181818181818;"""4/4""";67;2;0;1;D7;I1
14.5454545455;0.0909090909091;4;2;21;1;1;0.181818181818;"""4/4""";66;2;0;1;G7;I1
14.6363636364;0.0909090909091;4;2;21;1;2;0.181818181818;"""4/4""";69;2;0;1;G7;I1
14.7272727273;0.0909090909091;4;2;21;2;1;0.181818181818;"""4/4""";72;2;0;1;G7;I1
14.8181818182;0.0909090909091;4;2;21;2;2;0.181818181818;"""4/4""";75;2;0;1;G7;I1
14.9090909091;0.0909090909091;4;2;21;3;1;0.181818181818;"""4/4""";72;2;0;1;G7;I1
15.0;0.0909090909091;4;2;21;3;2;0.181818181818;"""4/4""";73;2;0;1;G7;I1
15.0909090909;0.0909090909091;4;2;21;4;1;0.181818181818;"""4/4""";74;2;0;1;G7;I1
15.1818181818;0.0909090909091;4;2;21;4;2;0.181818181818;"""4/4""";72;2;0;1;G7;I1
15.2727272727;0.181818181818;4;1;22;1;1;0.181818181818;"""4/4""";71;2;0;1;G7;I1
15.6363636364;0.0909090909091;4;2;22;3;1;0.181818181818;"""4/4""";79;3;1;1;G7;I1
15.7272727273;0.0909090909091;4;2;22;3;2;0.181818181818;"""4/4""";78;3;0;1;G7;I1
15.8181818182;0.0909090909091;4;2;22;4;1;0.181818181818;"""4/4""";77;3;0;1;G7;I1
15.9090909091;0.0909090909091;4;2;22;4;2;0.181818181818;"""4/4""";76;3;0;1;G7;I1
16.0;0.0909090909091;4;2;23;1;1;0.181818181818;"""4/4""";74;3;0;1;G-;I1
16.0909090909;0.0909090909091;4;2;23;1;2;0.181818181818;"""4/4""";73;3;0;1;G-;I1
16.1818181818;0.0909090909091;4;2;23;2;1;0.181818181818;"""4/4""";72;3;0;1;G-;I1
16.2727272727;0.0909090909091;4;2;23;2;2;0.181818181818;"""4/4""";71;3;0;1;G-;I1
16.3636363636;0.0909090909091;4;2;23;3;1;0.181818181818;"""4/4""";70;3;0;1;G-;I1
16.4545454545;0.0909090909091;4;2;23;3;2;0.181818181818;"""4/4""";69;3;0;1;G-;I1
16.5454545455;0.0909090909091;4;2;23;4;1;0.181818181818;"""4/4""";67;3;0;1;G-;I1
16.6363636364;0.0909090909091;4;2;23;4;2;0.181818181818;"""4/4""";65;3;0;1;G-;I1
16.7272727273;0.0909090909091;4;2;24;1;1;0.181818181818;"""4/4""";64;3;0;1;C7;I1
16.8181818182;0.0909090909091;4;2;24;1;2;0.181818181818;"""4/4""";67;3;0;1;C7;I1
16.9090909091;0.0909090909091;4;2;24;2;1;0.181818181818;"""4/4""";70;3;0;1;C7;I1
17.0;0.0909090909091;4;2;24;2;2;0.181818181818;"""4/4""";74;3;0;1;C7;I1
17.0909090909;0.0909090909091;4;2;24;3;1;0.181818181818;"""4/4""";72;3;0;1;C7;I1
17.1818181818;0.0909090909091;4;2;24;3;2;0.181818181818;"""4/4""";69;3;0;1;C7;I1
17.2727272727;0.0606060606061;4;3;24;4;1;0.181818181818;"""4/4""";70;3;0;1;C7;I1
17.3333333333;0.0606060606061;4;3;24;4;2;0.181818181818;"""4/4""";71;3;0;1;C7;I1
17.3939393939;0.0606060606061;4;3;24;4;3;0.181818181818;"""4/4""";72;3;0;1;C7;I1
17.4545454545;0.0909090909091;4;2;25;1;1;0.181818181818;"""4/4""";76;3;0;1;F;A1
17.5454545455;0.0909090909091;4;2;25;1;2;0.181818181818;"""4/4""";79;3;0;1;F;A1
18.0;0.0909090909091;4;2;25;4;1;0.181818181818;"""4/4""";78;4;1;1;F;A1
18.0909090909;0.0909090909091;4;2;25;4;2;0.181818181818;"""4/4""";75;4;0;2;F;A1
18.1818181818;0.0909090909091;4;2;26;1;1;0.181818181818;"""4/4""";71;4;0;2;F;A1
18.2727272727;0.0909090909091;4;2;26;1;2;0.181818181818;"""4/4""";68;4;0;2;F;A1
18.3636363636;0.0909090909091;4;2;26;2;1;0.181818181818;"""4/4""";66;4;0;2;F;A1
18.4545454545;0.0909090909091;4;2;26;2;2;0.181818181818;"""4/4""";67;4;0;2;F;A1
18.5454545455;0.0909090909091;4;2;26;3;1;0.181818181818;"""4/4""";70;4;0;2;F;A1
18.6363636364;0.0909090909091;4;2;26;3;2;0.181818181818;"""4/4""";74;4;0;2;F;A1
18.7272727273;0.0909090909091;4;2;26;4;1;0.181818181818;"""4/4""";77;4;0;2;F;A1
18.8181818182;0.0909090909091;4;2;26;4;2;0.181818181818;"""4/4""";74;4;0;2;F;A1
18.9090909091;0.0909090909091;4;2;27;1;1;0.181818181818;"""4/4""";75;4;0;2;F;A1
19.0;0.0909090909091;4;2;27;1;2;0.181818181818;"""4/4""";76;4;0;2;F;A1
19.0909090909;0.0909090909091;4;2;27;2;1;0.181818181818;"""4/4""";72;4;0;2;F;A1
19.1818181818;0.0909090909091;4;2;27;2;2;0.181818181818;"""4/4""";73;4;0;2;F;A1
19.2727272727;0.0909090909091;4;2;27;3;1;0.181818181818;"""4/4""";74;4;0;2;F;A1
19.3636363636;0.0909090909091;4;2;27;3;2;0.181818181818;"""4/4""";73;4;0;2;F;A1
19.4545454545;0.0909090909091;4;2;27;4;1;0.181818181818;"""4/4""";72;4;0;2;F;A1
19.5454545455;0.0909090909091;4;2;27;4;2;0.181818181818;"""4/4""";71;4;0;2;F;A1
19.6363636364;0.181818181818;4;1;28;1;1;0.181818181818;"""4/4""";70;4;0;2;A-;A1
