onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
37.0673076923;0.0721153846154;4;4;33;1;3;0.288461538462;"""4/4""";67;1;1;1;A-;A1
37.1394230769;0.0721153846154;4;4;33;1;4;0.288461538462;"""4/4""";69;1;0;1;A-;A1
37.2115384615;0.144230769231;4;4;33;2;1;0.288461538462;"""4/4""";70;1;0;1;A-;A1
37.3557692308;0.0721153846154;4;4;33;2;3;0.288461538462;"""4/4""";72;1;0;1;A-;A1
37.4278846154;0.0721153846154;4;4;33;2;4;0.288461538462;"""4/4""";70;1;0;1;A-;A1
37.5;0.144230769231;4;2;33;3;1;0.288461538462;"""4/4""";69;1;0;1;D7;A1
37.6442307692;0.144230769231;4;2;33;3;2;0.288461538462;"""4/4""";67;1;0;1;D7;A1
37.7884615385;0.144230769231;4;2;33;4;1;0.288461538462;"""4/4""";66;1;0;1;D7;A1
37.9326923077;0.144230769231;4;2;33;4;2;0.288461538462;"""4/4""";69;1;0;1;D7;A1
38.0769230769;0.0480769230769;4;6;34;1;1;0.288461538462;"""4/4""";67;1;0;1;G-;A1
38.125;0.0480769230769;4;6;34;1;2;0.288461538462;"""4/4""";69;1;0;1;G-;A1
38.1730769231;0.0480769230769;4;6;34;1;3;0.288461538462;"""4/4""";67;1;0;1;G-;A1
38.2211538462;0.144230769231;4;6;34;1;4;0.288461538462;"""4/4""";65;1;0;1;G-;A1
38.3653846154;0.144230769231;4;2;34;2;1;0.288461538462;"""4/4""";64;1;0;1;G-;A1
38.5096153846;0.144230769231;4;2;34;2;2;0.288461538462;"""4/4""";62;1;0;1;G-;A1
38.7980769231;0.144230769231;4;2;34;3;2;0.288461538462;"""4/4""";62;1;0;1;G-;A1
38.9423076923;0.144230769231;4;2;34;4;1;0.288461538462;"""4/4""";65;1;0;1;G-;A1
39.0865384615;0.144230769231;4;2;34;4;2;0.288461538462;"""4/4""";62;1;0;1;G-;A1
39.2307692308;0.144230769231;4;2;35;1;1;0.288461538462;"""4/4""";58;1;0;1;G-;A1
39.375;0.144230769231;4;2;35;1;2;0.288461538462;"""4/4""";55;1;0;1;G-;A1
39.5192307692;0.144230769231;4;2;35;2;1;0.288461538462;"""4/4""";57;1;0;1;G-;A1
39.6634615385;0.144230769231;4;2;35;2;2;0.288461538462;"""4/4""";55;1;0;1;G-;A1
39.8076923077;0.288461538462;4;1;35;3;1;0.288461538462;"""4/4""";60;1;0;1;G-;A1
41.1057692308;0.144230769231;4;2;36;3;2;0.288461538462;"""4/4""";61;2;1;1;G-;A1
41.25;0.0576923076923;4;5;36;4;1;0.288461538462;"""4/4""";62;2;0;1;G-;A1
41.3076923077;0.0576923076923;4;5;36;4;2;0.288461538462;"""4/4""";65;2;0;1;G-;A1
41.3653846154;0.0576923076923;4;5;36;4;3;0.288461538462;"""4/4""";69;2;0;1;G-;A1
41.4230769231;0.0576923076923;4;5;36;4;4;0.288461538462;"""4/4""";70;2;0;1;G-;A1
41.4807692308;0.0576923076923;4;5;36;4;5;0.288461538462;"""4/4""";72;2;0;1;G-;A1
41.5384615385;0.288461538462;4;1;37;1;1;0.288461538462;"""4/4""";69;2;0;1;G-;A1
41.8269230769;0.144230769231;4;2;37;2;1;0.288461538462;"""4/4""";72;2;0;1;G-;A1
41.9711538462;0.144230769231;4;2;37;2;2;0.288461538462;"""4/4""";68;2;0;1;G-;A1
43.125;0.144230769231;4;2;38;2;2;0.288461538462;"""4/4""";60;3;1;1;F;A1
43.2692307692;0.144230769231;4;2;38;3;1;0.288461538462;"""4/4""";67;3;0;1;F;A1
43.4134615385;0.144230769231;4;2;38;3;2;0.288461538462;"""4/4""";66;3;0;1;F;A1
43.5576923077;0.144230769231;4;2;38;4;1;0.288461538462;"""4/4""";65;3;0;1;F;A1
43.7019230769;0.144230769231;4;2;38;4;2;0.288461538462;"""4/4""";63;3;0;1;F;A1
43.8461538462;0.144230769231;4;2;39;1;1;0.288461538462;"""4/4""";62;3;0;1;G-;A1
43.9903846154;0.144230769231;4;2;39;1;2;0.288461538462;"""4/4""";53;3;0;1;G-;A1
44.1346153846;0.144230769231;4;2;39;2;1;0.288461538462;"""4/4""";55;3;0;1;G-;A1
44.2788461538;0.144230769231;4;2;39;2;2;0.288461538462;"""4/4""";58;3;0;1;G-;A1
44.4230769231;0.144230769231;4;2;39;3;1;0.288461538462;"""4/4""";61;3;0;1;C7;A1
44.5673076923;0.144230769231;4;2;39;3;2;0.288461538462;"""4/4""";65;3;0;1;C7;A1
44.7115384615;0.144230769231;4;2;39;4;1;0.288461538462;"""4/4""";60;3;0;1;C7;A1
44.8557692308;0.144230769231;4;2;39;4;2;0.288461538462;"""4/4""";58;3;0;1;C7;A1
45.0;0.144230769231;4;2;40;1;1;0.288461538462;"""4/4""";57;3;0;1;F;A1
45.1442307692;0.144230769231;4;2;40;1;2;0.288461538462;"""4/4""";60;3;0;1;F;A1
45.2884615385;0.144230769231;4;2;40;2;1;0.288461538462;"""4/4""";62;3;0;1;F;A1
45.4326923077;0.144230769231;4;2;40;2;2;0.288461538462;"""4/4""";64;3;0;1;F;A1
47.4519230769;0.144230769231;4;2;42;1;2;0.288461538462;"""4/4""";66;4;1;1;G-;A1
47.5961538462;0.0961538461538;4;3;42;2;1;0.288461538462;"""4/4""";67;4;0;1;G-;A1
47.6923076923;0.0961538461538;4;3;42;2;2;0.288461538462;"""4/4""";70;4;0;1;G-;A1
47.7884615385;0.0961538461538;4;3;42;2;3;0.288461538462;"""4/4""";74;4;0;1;G-;A1
47.8846153846;0.144230769231;4;2;42;3;1;0.288461538462;"""4/4""";78;4;0;1;G-;A1
48.0288461538;0.144230769231;4;2;42;3;2;0.288461538462;"""4/4""";79;4;0;1;G-;A1
48.1730769231;0.144230769231;4;2;42;4;1;0.288461538462;"""4/4""";76;4;0;1;G-;A1
48.4615384615;0.144230769231;4;2;43;1;1;0.288461538462;"""4/4""";76;4;0;1;G-;A1
48.6057692308;0.144230769231;4;2;43;1;2;0.288461538462;"""4/4""";77;4;0;1;G-;A1
48.75;0.144230769231;4;2;43;2;1;0.288461538462;"""4/4""";74;4;0;1;G-;A1
49.0384615385;0.144230769231;4;2;43;3;1;0.288461538462;"""4/4""";75;4;0;1;G-;A1
49.1826923077;0.144230769231;4;2;43;3;2;0.288461538462;"""4/4""";76;4;0;1;G-;A1
50.3365384615;0.144230769231;4;2;44;3;2;0.288461538462;"""4/4""";74;5;1;1;G-;A1
50.625;0.0721153846154;4;4;44;4;3;0.288461538462;"""4/4""";70;5;0;1;G-;A1
50.6971153846;0.0721153846154;4;4;44;4;4;0.288461538462;"""4/4""";67;5;0;1;G-;A1
50.7692307692;0.144230769231;4;2;45;1;1;0.288461538462;"""4/4""";69;5;0;1;G-;A1
50.9134615385;0.144230769231;4;2;45;1;2;0.288461538462;"""4/4""";70;5;0;1;G-;A1
51.0576923077;0.144230769231;4;2;45;2;1;0.288461538462;"""4/4""";72;5;0;1;G-;A1
51.2019230769;0.144230769231;4;2;45;2;2;0.288461538462;"""4/4""";69;5;0;1;G-;A1
51.3461538462;0.144230769231;4;2;45;3;1;0.288461538462;"""4/4""";70;5;0;1;C7;A1
51.4903846154;0.144230769231;4;2;45;3;2;0.288461538462;"""4/4""";72;5;0;1;C7;A1
51.6346153846;0.0721153846154;4;4;45;4;1;0.288461538462;"""4/4""";73;5;0;1;C7;A1
51.7067307692;0.0721153846154;4;4;45;4;2;0.288461538462;"""4/4""";75;5;0;1;C7;A1
51.7788461538;0.144230769231;4;4;45;4;3;0.288461538462;"""4/4""";72;5;0;1;C7;A1
52.3557692308;0.144230769231;4;2;46;2;2;0.288461538462;"""4/4""";69;5;0;1;F;A1
52.5;0.0480769230769;4;6;46;3;1;0.288461538462;"""4/4""";70;5;0;1;F;A1
52.5480769231;0.0480769230769;4;6;46;3;2;0.288461538462;"""4/4""";72;5;0;1;F;A1
52.5961538462;0.0480769230769;4;6;46;3;3;0.288461538462;"""4/4""";70;5;0;1;F;A1
52.6442307692;0.144230769231;4;6;46;3;4;0.288461538462;"""4/4""";69;5;0;1;F;A1
52.7884615385;0.144230769231;4;2;46;4;1;0.288461538462;"""4/4""";67;5;0;1;F;A1
52.9326923077;0.144230769231;4;2;46;4;2;0.288461538462;"""4/4""";66;5;0;1;F;A1
53.0769230769;0.144230769231;4;2;47;1;1;0.288461538462;"""4/4""";65;5;0;1;G-;A1
53.2211538462;0.144230769231;4;2;47;1;2;0.288461538462;"""4/4""";63;5;0;1;G-;A1
53.3653846154;0.0961538461538;4;3;47;2;1;0.288461538462;"""4/4""";62;5;0;1;G-;A1
53.4615384615;0.0961538461538;4;3;47;2;2;0.288461538462;"""4/4""";65;5;0;1;G-;A1
53.5576923077;0.0961538461538;4;3;47;2;3;0.288461538462;"""4/4""";69;5;0;1;G-;A1
53.6538461538;0.144230769231;4;2;47;3;1;0.288461538462;"""4/4""";72;5;0;1;C7;A1
53.7980769231;0.144230769231;4;2;47;3;2;0.288461538462;"""4/4""";70;5;0;1;C7;A1
53.9423076923;0.144230769231;4;2;47;4;1;0.288461538462;"""4/4""";61;5;0;1;C7;A1
54.0865384615;0.144230769231;4;2;47;4;2;0.288461538462;"""4/4""";59;5;0;1;C7;A1
54.2307692308;0.144230769231;4;2;48;1;1;0.288461538462;"""4/4""";60;5;0;1;F;A1
54.375;0.144230769231;4;2;48;1;2;0.288461538462;"""4/4""";70;5;0;1;F;A1
54.5192307692;0.144230769231;4;2;48;2;1;0.288461538462;"""4/4""";67;5;0;1;F;A1
54.6634615385;0.144230769231;4;2;48;2;2;0.288461538462;"""4/4""";68;5;0;1;F;A1
54.8076923077;0.144230769231;4;2;48;3;1;0.288461538462;"""4/4""";69;5;0;1;F;A1
54.9519230769;0.144230769231;4;2;48;3;2;0.288461538462;"""4/4""";65;5;0;1;F;A1
56.6826923077;0.0721153846154;4;4;50;1;3;0.288461538462;"""4/4""";60;6;1;1;C-;A1
56.7548076923;0.0721153846154;4;4;50;1;4;0.288461538462;"""4/4""";63;6;0;1;C-;A1
56.8269230769;0.0721153846154;4;4;50;2;1;0.288461538462;"""4/4""";67;6;0;1;C-;A1
56.8990384615;0.0721153846154;4;4;50;2;2;0.288461538462;"""4/4""";69;6;0;1;C-;A1
56.9711538462;0.0721153846154;4;4;50;2;3;0.288461538462;"""4/4""";70;6;0;1;C-;A1
57.0432692308;0.0721153846154;4;4;50;2;4;0.288461538462;"""4/4""";72;6;0;1;C-;A1
57.1153846154;0.144230769231;4;2;50;3;1;0.288461538462;"""4/4""";74;6;0;1;C-;A1
57.2596153846;0.144230769231;4;2;50;3;2;0.288461538462;"""4/4""";72;6;0;1;C-;A1
57.8365384615;0.0721153846154;4;4;51;1;3;0.288461538462;"""4/4""";60;7;1;1;F7;A1
57.9086538462;0.0721153846154;4;4;51;1;4;0.288461538462;"""4/4""";63;7;0;1;F7;A1
57.9807692308;0.0961538461538;4;3;51;2;1;0.288461538462;"""4/4""";66;7;0;1;F7;A1
58.0769230769;0.0961538461538;4;3;51;2;2;0.288461538462;"""4/4""";69;7;0;1;F7;A1
58.1730769231;0.0961538461538;4;3;51;2;3;0.288461538462;"""4/4""";73;7;0;1;F7;A1
58.2692307692;0.432692307692;4;1;51;3;1;0.288461538462;"""4/4""";80;7;0;1;F7;A1
58.7019230769;0.144230769231;4;2;51;4;2;0.288461538462;"""4/4""";78;7;0;1;F7;A1
58.8461538462;0.144230769231;4;4;52;1;1;0.288461538462;"""4/4""";77;7;0;1;Bb;A1
58.9903846154;0.0721153846154;4;4;52;1;3;0.288461538462;"""4/4""";76;7;0;1;Bb;A1
59.0625;0.0721153846154;4;4;52;1;4;0.288461538462;"""4/4""";75;7;0;1;Bb;A1
59.1346153846;0.144230769231;4;2;52;2;1;0.288461538462;"""4/4""";74;7;0;1;Bb;A1
59.2788461538;0.144230769231;4;2;52;2;2;0.288461538462;"""4/4""";75;7;0;1;Bb;A1
59.5673076923;0.0721153846154;4;4;52;3;3;0.288461538462;"""4/4""";74;7;0;1;Bb;A1
59.6394230769;0.0721153846154;4;4;52;3;4;0.288461538462;"""4/4""";73;7;0;1;Bb;A1
59.7115384615;0.144230769231;4;2;52;4;1;0.288461538462;"""4/4""";72;7;0;1;Bb;A1
59.8557692308;0.144230769231;4;2;52;4;2;0.288461538462;"""4/4""";74;7;0;1;Bb;A1
61.2980769231;0.0721153846154;4;4;54;1;3;0.288461538462;"""4/4""";62;8;1;1;G7;A1
61.3701923077;0.0721153846154;4;4;54;1;4;0.288461538462;"""4/4""";64;8;0;1;G7;A1
61.4423076923;0.144230769231;4;2;54;2;1;0.288461538462;"""4/4""";65;8;0;1;G7;A1
61.5865384615;0.144230769231;4;2;54;2;2;0.288461538462;"""4/4""";67;8;0;1;G7;A1
61.7307692308;0.144230769231;4;2;54;3;1;0.288461538462;"""4/4""";69;8;0;1;G7;A1
61.875;0.144230769231;4;2;54;3;2;0.288461538462;"""4/4""";71;8;0;1;G7;A1
62.0192307692;0.144230769231;4;4;54;4;1;0.288461538462;"""4/4""";76;8;0;1;G7;A1
62.1634615385;0.0721153846154;4;4;54;4;3;0.288461538462;"""4/4""";75;8;0;1;G7;A1
62.2355769231;0.0721153846154;4;4;54;4;4;0.288461538462;"""4/4""";74;8;0;1;G7;A1
62.3076923077;0.144230769231;4;2;55;1;1;0.288461538462;"""4/4""";73;8;0;1;G7;A1
62.4519230769;0.144230769231;4;2;55;1;2;0.288461538462;"""4/4""";69;8;0;1;G7;A1
62.5961538462;0.144230769231;4;2;55;2;1;0.288461538462;"""4/4""";65;8;0;1;G7;A1
62.7403846154;0.144230769231;4;2;55;2;2;0.288461538462;"""4/4""";61;8;0;1;G7;A1
62.8846153846;0.288461538462;4;1;55;3;1;0.288461538462;"""4/4""";69;8;0;1;G7;A1
