onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
43.3928571429;0.133928571429;4;2;41;3;1;0.267857142857;"""4/4""";60;1;1;1;Bb;I1
43.5267857143;0.133928571429;4;2;41;3;2;0.267857142857;"""4/4""";58;1;0;1;Bb;I1
43.6607142857;0.133928571429;4;2;41;4;1;0.267857142857;"""4/4""";57;1;0;1;Bb;I1
43.7946428571;0.133928571429;4;2;41;4;2;0.267857142857;"""4/4""";58;1;0;1;Bb;I1
43.9285714286;0.133928571429;4;2;42;1;1;0.267857142857;"""4/4""";63;1;0;1;C-;I1
44.0625;0.133928571429;4;2;42;1;2;0.267857142857;"""4/4""";66;1;0;1;C-;I1
44.1964285714;0.133928571429;4;2;42;2;1;0.267857142857;"""4/4""";63;1;0;1;C-;I1
44.3303571429;0.133928571429;4;2;42;2;2;0.267857142857;"""4/4""";64;1;0;1;C-;I1
44.4642857143;0.133928571429;4;2;42;3;1;0.267857142857;"""4/4""";65;1;0;1;F7;I1
44.5982142857;0.133928571429;4;2;42;3;2;0.267857142857;"""4/4""";63;1;0;1;F7;I1
44.7321428571;0.0892857142857;4;3;42;4;1;0.267857142857;"""4/4""";62;1;0;1;F7;I1
44.8214285714;0.0892857142857;4;3;42;4;2;0.267857142857;"""4/4""";65;1;0;1;F7;I1
44.9107142857;0.0892857142857;4;3;42;4;3;0.267857142857;"""4/4""";69;1;0;1;F7;I1
45.0;0.267857142857;4;1;43;1;1;0.267857142857;"""4/4""";70;1;0;1;Bb;I1
45.2678571429;0.267857142857;4;1;43;2;1;0.267857142857;"""4/4""";65;1;0;1;Bb;I1
45.5357142857;0.535714285714;4;1;43;3;1;0.267857142857;"""4/4""";67;1;0;1;Bb;I1
47.6785714286;0.133928571429;4;2;45;3;1;0.267857142857;"""4/4""";72;2;1;1;Bb7;I1
47.8125;0.133928571429;4;2;45;3;2;0.267857142857;"""4/4""";71;2;0;1;Bb7;I1
47.9464285714;0.133928571429;4;2;45;4;1;0.267857142857;"""4/4""";70;2;0;1;Bb7;I1
48.0803571429;0.133928571429;4;2;45;4;2;0.267857142857;"""4/4""";68;2;0;1;Bb7;I1
48.2142857143;0.133928571429;4;2;46;1;1;0.267857142857;"""4/4""";67;2;0;1;Eb;I1
48.3482142857;0.133928571429;4;2;46;1;2;0.267857142857;"""4/4""";65;2;0;1;Eb;I1
48.4821428571;0.133928571429;4;2;46;2;1;0.267857142857;"""4/4""";63;2;0;1;Eb;I1
48.6160714286;0.133928571429;4;2;46;2;2;0.267857142857;"""4/4""";60;2;0;1;Eb;I1
48.75;0.133928571429;4;2;46;3;1;0.267857142857;"""4/4""";70;2;0;1;Eb-6;I1
48.8839285714;0.133928571429;4;2;46;3;2;0.267857142857;"""4/4""";66;2;0;1;Eb-6;I1
49.0178571429;0.133928571429;4;2;46;4;1;0.267857142857;"""4/4""";63;2;0;1;Eb-6;I1
49.1517857143;0.133928571429;4;2;46;4;2;0.267857142857;"""4/4""";60;2;0;1;Eb-6;I1
49.2857142857;0.133928571429;4;2;47;1;1;0.267857142857;"""4/4""";62;2;0;1;Bb;I1
49.4196428571;0.133928571429;4;2;47;1;2;0.267857142857;"""4/4""";58;2;0;1;Bb;I1
49.5535714286;0.133928571429;4;2;47;2;1;0.267857142857;"""4/4""";57;2;0;1;Bb;I1
49.6875;0.133928571429;4;2;47;2;2;0.267857142857;"""4/4""";58;2;0;1;Bb;I1
49.8214285714;0.133928571429;4;2;47;3;1;0.267857142857;"""4/4""";60;2;0;1;Bb;I1
49.9553571429;0.133928571429;4;2;47;3;2;0.267857142857;"""4/4""";58;2;0;1;Bb;I1
50.0892857143;0.133928571429;4;2;47;4;1;0.267857142857;"""4/4""";57;2;0;1;Bb;I1
50.2232142857;0.133928571429;4;2;47;4;2;0.267857142857;"""4/4""";58;2;0;1;Bb;I1
51.5625;0.133928571429;4;2;49;1;2;0.267857142857;"""4/4""";64;3;1;1;Bb;A1
51.6964285714;0.0892857142857;4;3;49;2;1;0.267857142857;"""4/4""";65;3;0;1;Bb;A1
51.7857142857;0.0892857142857;4;3;49;2;2;0.267857142857;"""4/4""";70;3;0;1;Bb;A1
51.875;0.0892857142857;4;3;49;2;3;0.267857142857;"""4/4""";74;3;0;1;Bb;A1
51.9642857143;0.267857142857;4;1;49;3;1;0.267857142857;"""4/4""";77;3;0;1;Bb;A1
52.2321428571;0.133928571429;4;2;49;4;1;0.267857142857;"""4/4""";75;3;0;1;Bb;A1
52.3660714286;0.133928571429;4;2;49;4;2;0.267857142857;"""4/4""";72;3;0;1;Bb;A1
53.7053571429;0.0669642857143;4;4;51;1;3;0.267857142857;"""4/4""";74;4;1;1;Bb;A1
53.7723214286;0.0669642857143;4;4;51;1;4;0.267857142857;"""4/4""";72;4;0;1;Bb;A1
53.8392857143;0.133928571429;4;2;51;2;1;0.267857142857;"""4/4""";70;4;0;1;Bb;A1
53.9732142857;0.133928571429;4;2;51;2;2;0.267857142857;"""4/4""";69;4;0;1;Bb;A1
54.1071428571;0.133928571429;4;2;51;3;1;0.267857142857;"""4/4""";67;4;0;1;Bb;A1
54.2410714286;0.133928571429;4;2;51;3;2;0.267857142857;"""4/4""";66;4;0;1;Bb;A1
54.375;0.133928571429;4;2;51;4;1;0.267857142857;"""4/4""";65;4;0;1;Bb;A1
54.5089285714;0.133928571429;4;2;51;4;2;0.267857142857;"""4/4""";64;4;0;1;Bb;A1
54.6428571429;0.133928571429;4;2;52;1;1;0.267857142857;"""4/4""";63;4;0;1;C-;A1
54.7767857143;0.133928571429;4;2;52;1;2;0.267857142857;"""4/4""";58;4;0;1;C-;A1
54.9107142857;0.133928571429;4;2;52;2;1;0.267857142857;"""4/4""";55;4;0;1;C-;A1
55.0446428571;0.133928571429;4;2;52;2;2;0.267857142857;"""4/4""";58;4;0;1;C-;A1
55.1785714286;0.133928571429;4;2;52;3;1;0.267857142857;"""4/4""";61;4;0;1;F7;A1
55.3125;0.133928571429;4;2;52;3;2;0.267857142857;"""4/4""";62;4;0;1;F7;A1
55.4464285714;0.133928571429;4;2;52;4;1;0.267857142857;"""4/4""";58;4;0;1;F7;A1
55.5803571429;0.133928571429;4;2;52;4;2;0.267857142857;"""4/4""";55;4;0;1;F7;A1
