onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
39.9324324324;0.202702702703;4;2;25;3;2;0.405405405405;"""4/4""";60;1;1;1;Eb;I1
40.2702702703;0.135135135135;4;3;25;4;2;0.405405405405;"""4/4""";63;1;0;1;Eb;I1
40.4054054054;0.135135135135;4;3;25;4;3;0.405405405405;"""4/4""";67;1;0;1;Eb;I1
40.5405405405;0.202702702703;4;2;26;1;1;0.405405405405;"""4/4""";70;1;0;1;F-;I1
40.7432432432;0.202702702703;4;2;26;1;2;0.405405405405;"""4/4""";67;1;0;1;F-;I1
40.9459459459;0.202702702703;4;2;26;2;1;0.405405405405;"""4/4""";68;1;0;1;F-;I1
41.1486486486;0.202702702703;4;2;26;2;2;0.405405405405;"""4/4""";59;1;0;1;F-;I1
41.5540540541;0.405405405405;4;2;26;3;2;0.405405405405;"""4/4""";67;1;0;1;Bb7;I1
41.9594594595;0.202702702703;4;2;26;4;2;0.405405405405;"""4/4""";65;1;0;1;Bb7;I1
42.1621621622;0.608108108108;4;1;27;1;1;0.405405405405;"""4/4""";62;1;0;1;Eb;A1
42.7702702703;0.202702702703;4;2;27;2;2;0.405405405405;"""4/4""";65;1;0;1;Eb;A1
43.5810810811;0.202702702703;4;2;27;4;2;0.405405405405;"""4/4""";63;2;1;1;Eb;A1
43.7837837838;0.135135135135;4;3;28;1;1;0.405405405405;"""4/4""";60;2;0;1;F-;A1
43.9189189189;0.135135135135;4;3;28;1;2;0.405405405405;"""4/4""";63;2;0;1;F-;A1
44.0540540541;0.135135135135;4;3;28;1;3;0.405405405405;"""4/4""";67;2;0;1;F-;A1
44.1891891892;0.202702702703;4;2;28;2;1;0.405405405405;"""4/4""";70;2;0;1;F-;A1
44.3918918919;0.202702702703;4;2;28;2;2;0.405405405405;"""4/4""";67;2;0;1;F-;A1
44.5945945946;0.202702702703;4;2;28;3;1;0.405405405405;"""4/4""";68;2;0;1;Bb7;A1
44.7972972973;0.202702702703;4;2;28;3;2;0.405405405405;"""4/4""";73;2;0;1;Bb7;A1
45.0;0.0675675675676;4;6;28;4;1;0.405405405405;"""4/4""";71;2;0;1;Bb7;A1
45.0675675676;0.0675675675676;4;6;28;4;2;0.405405405405;"""4/4""";73;2;0;1;Bb7;A1
45.1351351351;0.0675675675676;4;6;28;4;3;0.405405405405;"""4/4""";71;2;0;1;Bb7;A1
45.2027027027;0.202702702703;4;6;28;4;4;0.405405405405;"""4/4""";69;2;0;1;Bb7;A1
45.4054054054;0.202702702703;4;2;29;1;1;0.405405405405;"""4/4""";70;2;0;1;Eb;A1
45.6081081081;0.202702702703;4;2;29;1;2;0.405405405405;"""4/4""";67;2;0;1;Eb;A1
47.2297297297;0.202702702703;4;2;30;1;2;0.405405405405;"""4/4""";64;3;1;1;F-;A1
47.4324324324;0.135135135135;4;3;30;2;1;0.405405405405;"""4/4""";65;3;0;1;F-;A1
47.5675675676;0.135135135135;4;3;30;2;2;0.405405405405;"""4/4""";68;3;0;1;F-;A1
47.7027027027;0.135135135135;4;3;30;2;3;0.405405405405;"""4/4""";72;3;0;1;F-;A1
47.8378378378;0.202702702703;4;2;30;3;1;0.405405405405;"""4/4""";75;3;0;1;Bb7;A1
48.0405405405;0.202702702703;4;2;30;3;2;0.405405405405;"""4/4""";74;3;0;1;Bb7;A1
48.2432432432;0.202702702703;4;2;30;4;1;0.405405405405;"""4/4""";72;3;0;1;Bb7;A1
48.4459459459;0.202702702703;4;2;30;4;2;0.405405405405;"""4/4""";71;3;0;1;Bb7;A1
48.6486486486;0.0675675675676;4;6;31;1;1;0.405405405405;"""4/4""";70;3;0;1;G-;A1
48.7162162162;0.0675675675676;4;6;31;1;2;0.405405405405;"""4/4""";71;3;0;1;G-;A1
48.7837837838;0.0675675675676;4;6;31;1;3;0.405405405405;"""4/4""";70;3;0;1;G-;A1
48.8513513514;0.202702702703;4;6;31;1;4;0.405405405405;"""4/4""";68;3;0;1;G-;A1
49.0540540541;0.202702702703;4;2;31;2;1;0.405405405405;"""4/4""";67;3;0;1;G-;A1
49.2567567568;0.202702702703;4;2;31;2;2;0.405405405405;"""4/4""";65;3;0;1;G-;A1
49.4594594595;0.202702702703;4;2;31;3;1;0.405405405405;"""4/4""";64;3;0;1;C7;A1
49.6621621622;0.202702702703;4;2;31;3;2;0.405405405405;"""4/4""";55;3;0;1;C7;A1
49.8648648649;0.202702702703;4;2;31;4;1;0.405405405405;"""4/4""";58;3;0;1;C7;A1
50.0675675676;0.202702702703;4;2;31;4;2;0.405405405405;"""4/4""";61;3;0;1;C7;A1
50.2702702703;0.202702702703;4;2;32;1;1;0.405405405405;"""4/4""";60;3;0;1;F-;A1
50.472972973;0.202702702703;4;2;32;1;2;0.405405405405;"""4/4""";58;3;0;1;F-;A1
50.6756756757;0.135135135135;4;3;32;2;1;0.405405405405;"""4/4""";60;3;0;1;F-;A1
50.8108108108;0.135135135135;4;3;32;2;2;0.405405405405;"""4/4""";63;3;0;1;F-;A1
50.9459459459;0.135135135135;4;3;32;2;3;0.405405405405;"""4/4""";67;3;0;1;F-;A1
51.0810810811;0.202702702703;4;2;32;3;1;0.405405405405;"""4/4""";65;3;0;1;Bb7;A1
51.2837837838;0.202702702703;4;2;32;3;2;0.405405405405;"""4/4""";58;3;0;1;Bb7;A1
51.4864864865;0.202702702703;4;2;32;4;1;0.405405405405;"""4/4""";62;3;0;1;Bb7;A1
51.6891891892;0.202702702703;4;2;32;4;2;0.405405405405;"""4/4""";63;3;0;1;Bb7;A1
52.5;0.202702702703;4;2;33;2;2;0.405405405405;"""4/4""";72;3;0;1;Eb;A1
53.1081081081;0.202702702703;4;2;33;4;1;0.405405405405;"""4/4""";75;3;0;1;Eb;A1
53.3108108108;0.202702702703;4;2;33;4;2;0.405405405405;"""4/4""";72;3;0;1;Eb;A1
53.5135135135;0.202702702703;4;2;34;1;1;0.405405405405;"""4/4""";70;3;0;1;F-;A1
53.7162162162;0.202702702703;4;2;34;1;2;0.405405405405;"""4/4""";68;3;0;1;F-;A1
55.3378378378;0.202702702703;4;2;35;1;2;0.405405405405;"""4/4""";63;4;1;1;Eb;A1
55.5405405405;0.101351351351;4;4;35;2;1;0.405405405405;"""4/4""";66;4;0;1;Eb;A1
55.6418918919;0.101351351351;4;4;35;2;2;0.405405405405;"""4/4""";67;4;0;1;Eb;A1
55.7432432432;0.101351351351;4;4;35;2;3;0.405405405405;"""4/4""";68;4;0;1;Eb;A1
55.8445945946;0.101351351351;4;4;35;2;4;0.405405405405;"""4/4""";69;4;0;1;Eb;A1
55.9459459459;0.101351351351;4;4;35;3;1;0.405405405405;"""4/4""";70;4;0;1;Eb;A1
56.0472972973;0.101351351351;4;4;35;3;2;0.405405405405;"""4/4""";68;4;0;1;Eb;A1
56.1486486486;0.101351351351;4;4;35;3;3;0.405405405405;"""4/4""";67;4;0;1;Eb;A1
56.25;0.101351351351;4;4;35;3;4;0.405405405405;"""4/4""";65;4;0;1;Eb;A1
56.3513513514;0.101351351351;4;4;35;4;1;0.405405405405;"""4/4""";64;4;0;1;Eb;A1
56.4527027027;0.101351351351;4;4;35;4;2;0.405405405405;"""4/4""";55;4;0;1;Eb;A1
56.5540540541;0.101351351351;4;4;35;4;3;0.405405405405;"""4/4""";58;4;0;1;Eb;A1
56.6554054054;0.101351351351;4;4;35;4;4;0.405405405405;"""4/4""";61;4;0;1;Eb;A1
56.7567567568;0.101351351351;4;4;36;1;1;0.405405405405;"""4/4""";60;4;0;1;F-;A1
56.8581081081;0.101351351351;4;4;36;1;2;0.405405405405;"""4/4""";59;4;0;1;F-;A1
56.9594594595;0.101351351351;4;4;36;1;3;0.405405405405;"""4/4""";58;4;0;1;F-;A1
57.0608108108;0.101351351351;4;4;36;1;4;0.405405405405;"""4/4""";57;4;0;1;F-;A1
57.1621621622;0.101351351351;4;4;36;2;1;0.405405405405;"""4/4""";56;4;0;1;F-;A1
57.2635135135;0.101351351351;4;4;36;2;2;0.405405405405;"""4/4""";60;4;0;1;F-;A1
57.3648648649;0.101351351351;4;4;36;2;3;0.405405405405;"""4/4""";67;4;0;1;F-;A1
57.4662162162;0.101351351351;4;4;36;2;4;0.405405405405;"""4/4""";66;4;0;1;F-;A1
57.5675675676;0.202702702703;4;4;36;3;1;0.405405405405;"""4/4""";65;4;0;1;Bb7;A1
57.8716216216;0.101351351351;4;4;36;3;4;0.405405405405;"""4/4""";63;4;0;1;Bb7;A1
57.972972973;0.0675675675676;4;12;36;4;1;0.405405405405;"""4/4""";61;4;0;1;Bb7;A1
58.0405405405;0.0675675675676;4;12;36;4;3;0.405405405405;"""4/4""";62;4;0;1;Bb7;A1
58.1081081081;0.0675675675676;4;12;36;4;5;0.405405405405;"""4/4""";71;4;0;1;Bb7;A1
58.1756756757;0.101351351351;4;12;36;4;7;0.405405405405;"""4/4""";68;4;0;1;Bb7;A1
58.277027027;0.101351351351;4;12;36;4;10;0.405405405405;"""4/4""";69;4;0;1;Bb7;A1
58.3783783784;0.202702702703;4;2;37;1;1;0.405405405405;"""4/4""";70;4;0;1;Eb;A1
58.8851351351;0.101351351351;4;4;37;2;2;0.405405405405;"""4/4""";73;4;0;1;Eb;A1
58.9864864865;0.101351351351;4;4;37;2;3;0.405405405405;"""4/4""";72;4;0;1;Eb;A1
59.0878378378;0.101351351351;4;4;37;2;4;0.405405405405;"""4/4""";71;4;0;1;Eb;A1
59.1891891892;0.101351351351;4;4;37;3;1;0.405405405405;"""4/4""";70;4;0;1;Eb;A1
59.2905405405;0.101351351351;4;4;37;3;2;0.405405405405;"""4/4""";68;4;0;1;Eb;A1
59.3918918919;0.101351351351;4;4;37;3;3;0.405405405405;"""4/4""";67;4;0;1;Eb;A1
59.4932432432;0.101351351351;4;4;37;3;4;0.405405405405;"""4/4""";65;4;0;1;Eb;A1
59.5945945946;0.101351351351;4;4;37;4;1;0.405405405405;"""4/4""";64;4;0;1;Eb;A1
59.6959459459;0.101351351351;4;4;37;4;2;0.405405405405;"""4/4""";55;4;0;1;Eb;A1
59.7972972973;0.101351351351;4;4;37;4;3;0.405405405405;"""4/4""";58;4;0;1;Eb;A1
59.8986486486;0.101351351351;4;4;37;4;4;0.405405405405;"""4/4""";61;4;0;1;Eb;A1
60.0;0.101351351351;4;12;38;1;1;0.405405405405;"""4/4""";60;4;0;1;F-;A1
60.1013513514;0.101351351351;4;12;38;1;4;0.405405405405;"""4/4""";58;4;0;1;F-;A1
60.2027027027;0.0675675675676;4;12;38;1;7;0.405405405405;"""4/4""";60;4;0;1;F-;A1
60.2702702703;0.0675675675676;4;12;38;1;9;0.405405405405;"""4/4""";63;4;0;1;F-;A1
60.3378378378;0.0675675675676;4;12;38;1;11;0.405405405405;"""4/4""";67;4;0;1;F-;A1
60.4054054054;0.405405405405;4;1;38;2;1;0.405405405405;"""4/4""";65;4;0;1;F-;A1
61.722972973;0.101351351351;4;4;39;1;2;0.405405405405;"""4/4""";69;5;1;1;G-;A1
61.8243243243;0.101351351351;4;4;39;1;3;0.405405405405;"""4/4""";70;5;0;1;G-;A1
61.9256756757;0.101351351351;4;4;39;1;4;0.405405405405;"""4/4""";72;5;0;1;G-;A1
62.027027027;0.101351351351;4;8;39;2;1;0.405405405405;"""4/4""";73;5;0;1;G-;A1
62.1283783784;0.101351351351;4;8;39;2;3;0.405405405405;"""4/4""";72;5;0;1;G-;A1
62.2297297297;0.101351351351;4;8;39;2;5;0.405405405405;"""4/4""";73;5;0;1;G-;A1
62.3310810811;0.0506756756757;4;8;39;2;7;0.405405405405;"""4/4""";72;5;0;1;G-;A1
62.3817567568;0.0506756756757;4;8;39;2;8;0.405405405405;"""4/4""";71;5;0;1;G-;A1
62.4324324324;0.101351351351;4;4;39;3;1;0.405405405405;"""4/4""";70;5;0;1;C7;A1
62.5337837838;0.101351351351;4;4;39;3;2;0.405405405405;"""4/4""";68;5;0;1;C7;A1
62.6351351351;0.101351351351;4;4;39;3;3;0.405405405405;"""4/4""";67;5;0;1;C7;A1
62.7364864865;0.101351351351;4;4;39;3;4;0.405405405405;"""4/4""";65;5;0;1;C7;A1
62.8378378378;0.101351351351;4;4;39;4;1;0.405405405405;"""4/4""";64;5;0;1;C7;A1
62.9391891892;0.101351351351;4;4;39;4;2;0.405405405405;"""4/4""";55;5;0;1;C7;A1
63.0405405405;0.101351351351;4;4;39;4;3;0.405405405405;"""4/4""";58;5;0;1;C7;A1
63.1418918919;0.101351351351;4;4;39;4;4;0.405405405405;"""4/4""";61;5;0;1;C7;A1
63.2432432432;0.101351351351;4;4;40;1;1;0.405405405405;"""4/4""";60;5;0;1;F-;A1
63.3445945946;0.101351351351;4;4;40;1;2;0.405405405405;"""4/4""";58;5;0;1;F-;A1
63.4459459459;0.101351351351;4;4;40;1;3;0.405405405405;"""4/4""";60;5;0;1;F-;A1
63.5472972973;0.101351351351;4;4;40;1;4;0.405405405405;"""4/4""";63;5;0;1;F-;A1
63.6486486486;0.101351351351;4;4;40;2;1;0.405405405405;"""4/4""";67;5;0;1;F-;A1
63.75;0.101351351351;4;4;40;2;2;0.405405405405;"""4/4""";65;5;0;1;F-;A1
63.8513513514;0.101351351351;4;4;40;2;3;0.405405405405;"""4/4""";60;5;0;1;F-;A1
63.9527027027;0.101351351351;4;4;40;2;4;0.405405405405;"""4/4""";58;5;0;1;F-;A1
64.0540540541;0.202702702703;4;4;40;3;1;0.405405405405;"""4/4""";65;5;0;1;Bb7;A1
64.3581081081;0.101351351351;4;4;40;3;4;0.405405405405;"""4/4""";66;5;0;1;Bb7;A1
64.527027027;0.0675675675676;4;6;40;4;2;0.405405405405;"""4/4""";62;5;0;1;Bb7;A1
64.5945945946;0.0675675675676;4;6;40;4;3;0.405405405405;"""4/4""";61;5;0;1;Bb7;A1
64.6621621622;0.0675675675676;4;6;40;4;4;0.405405405405;"""4/4""";59;5;0;1;Bb7;A1
64.7297297297;0.0675675675676;4;6;40;4;5;0.405405405405;"""4/4""";57;5;0;1;Bb7;A1
64.7972972973;0.0675675675676;4;6;40;4;6;0.405405405405;"""4/4""";56;5;0;1;Bb7;A1
65.472972973;0.101351351351;4;4;41;2;3;0.405405405405;"""4/4""";70;6;1;1;Eb;A1
65.5743243243;0.101351351351;4;4;41;2;4;0.405405405405;"""4/4""";68;6;0;2;Eb;A1
65.6756756757;0.101351351351;4;4;41;3;1;0.405405405405;"""4/4""";67;6;0;2;Eb7;A1
65.777027027;0.101351351351;4;4;41;3;2;0.405405405405;"""4/4""";65;6;0;2;Eb7;A1
65.8783783784;0.101351351351;4;4;41;3;3;0.405405405405;"""4/4""";63;6;0;2;Eb7;A1
65.9797297297;0.101351351351;4;4;41;3;4;0.405405405405;"""4/4""";58;6;0;2;Eb7;A1
66.0810810811;0.101351351351;4;12;41;4;1;0.405405405405;"""4/4""";61;6;0;2;Eb7;A1
66.1824324324;0.101351351351;4;12;41;4;4;0.405405405405;"""4/4""";59;6;0;2;Eb7;A1
66.2837837838;0.0675675675676;4;12;41;4;7;0.405405405405;"""4/4""";60;6;0;2;Eb7;A1
66.3513513514;0.0675675675676;4;12;41;4;9;0.405405405405;"""4/4""";63;6;0;2;Eb7;A1
66.4189189189;0.0675675675676;4;12;41;4;11;0.405405405405;"""4/4""";67;6;0;2;Eb7;A1
66.4864864865;0.101351351351;4;8;42;1;1;0.405405405405;"""4/4""";70;6;0;2;Ab;A1
66.5878378378;0.101351351351;4;8;42;1;3;0.405405405405;"""4/4""";67;6;0;2;Ab;A1
