onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
26.313559322;0.127118644068;4;2;26;4;2;0.254237288136;"""4/4""";69;1;1;1;D7;I1
26.4406779661;0.127118644068;4;2;27;1;1;0.254237288136;"""4/4""";66;1;0;1;G;I1
26.5677966102;0.127118644068;4;2;27;1;2;0.254237288136;"""4/4""";69;1;0;1;G;I1
26.6949152542;0.127118644068;4;2;27;2;1;0.254237288136;"""4/4""";74;1;0;1;G;I1
26.8220338983;0.127118644068;4;2;27;2;2;0.254237288136;"""4/4""";72;1;0;1;G;I1
26.9491525424;0.127118644068;4;2;27;3;1;0.254237288136;"""4/4""";71;1;0;1;G;I1
27.0762711864;0.127118644068;4;2;27;3;2;0.254237288136;"""4/4""";67;1;0;1;G;I1
27.2033898305;0.127118644068;4;2;27;4;1;0.254237288136;"""4/4""";64;1;0;1;G;I1
27.3305084746;0.127118644068;4;2;27;4;2;0.254237288136;"""4/4""";63;1;0;1;G;I1
27.4576271186;0.127118644068;4;2;28;1;1;0.254237288136;"""4/4""";62;1;0;1;G;A1
27.5847457627;0.127118644068;4;2;28;1;2;0.254237288136;"""4/4""";60;1;0;1;G;A1
27.7118644068;0.0847457627119;4;3;28;2;1;0.254237288136;"""4/4""";59;1;0;1;G;A1
27.7966101695;0.0847457627119;4;3;28;2;2;0.254237288136;"""4/4""";62;1;0;1;G;A1
27.8813559322;0.0847457627119;4;3;28;2;3;0.254237288136;"""4/4""";66;1;0;1;G;A1
27.9661016949;0.127118644068;4;2;28;3;1;0.254237288136;"""4/4""";69;1;0;1;G;A1
28.093220339;0.127118644068;4;2;28;3;2;0.254237288136;"""4/4""";66;1;0;1;G;A1
28.2203389831;0.127118644068;4;2;28;4;1;0.254237288136;"""4/4""";67;1;0;1;G;A1
28.3474576271;0.127118644068;4;2;28;4;2;0.254237288136;"""4/4""";69;1;0;1;G;A1
28.4745762712;0.127118644068;4;4;29;1;1;0.254237288136;"""4/4""";70;1;0;1;G-;A1
28.6016949153;0.0635593220339;4;4;29;1;3;0.254237288136;"""4/4""";72;1;0;1;G-;A1
28.6652542373;0.0635593220339;4;4;29;1;4;0.254237288136;"""4/4""";70;1;0;1;G-;A1
28.7288135593;0.127118644068;4;2;29;2;1;0.254237288136;"""4/4""";69;1;0;1;G-;A1
28.8559322034;0.127118644068;4;2;29;2;2;0.254237288136;"""4/4""";67;1;0;1;G-;A1
28.9830508475;0.127118644068;4;2;29;3;1;0.254237288136;"""4/4""";72;1;0;1;G-;A1
29.1101694915;0.127118644068;4;2;29;3;2;0.254237288136;"""4/4""";67;1;0;1;G-;A1
30.5084745763;0.254237288136;4;1;31;1;1;0.254237288136;"""4/4""";65;2;1;1;F;A1
30.7627118644;0.127118644068;4;2;31;2;1;0.254237288136;"""4/4""";60;2;0;1;F;A1
30.8898305085;0.127118644068;4;2;31;2;2;0.254237288136;"""4/4""";65;2;0;1;F;A1
31.0169491525;0.127118644068;4;2;31;3;1;0.254237288136;"""4/4""";69;2;0;1;F;A1
31.1440677966;0.127118644068;4;2;31;3;2;0.254237288136;"""4/4""";70;2;0;1;F;A1
31.2711864407;0.127118644068;4;2;31;4;1;0.254237288136;"""4/4""";69;2;0;1;F;A1
31.3983050847;0.127118644068;4;2;31;4;2;0.254237288136;"""4/4""";67;2;0;1;F;A1
31.5254237288;0.127118644068;4;2;32;1;1;0.254237288136;"""4/4""";65;2;0;1;F;A1
31.6525423729;0.127118644068;4;2;32;1;2;0.254237288136;"""4/4""";61;2;0;1;F;A1
31.7796610169;0.127118644068;4;2;32;2;1;0.254237288136;"""4/4""";60;2;0;1;F;A1
31.906779661;0.127118644068;4;2;32;2;2;0.254237288136;"""4/4""";58;2;0;1;F;A1
32.0338983051;0.127118644068;4;2;32;3;1;0.254237288136;"""4/4""";57;2;0;1;F;A1
32.1610169492;0.127118644068;4;2;32;3;2;0.254237288136;"""4/4""";60;2;0;1;F;A1
32.2881355932;0.127118644068;4;2;32;4;1;0.254237288136;"""4/4""";64;2;0;1;F;A1
32.4152542373;0.127118644068;4;2;32;4;2;0.254237288136;"""4/4""";67;2;0;1;F;A1
32.5423728814;0.254237288136;4;1;33;1;1;0.254237288136;"""4/4""";68;2;0;1;F-;A1
32.7966101695;0.127118644068;4;2;33;2;1;0.254237288136;"""4/4""";63;2;0;1;F-;A1
32.9237288136;0.127118644068;4;2;33;2;2;0.254237288136;"""4/4""";60;2;0;1;F-;A1
33.0508474576;0.127118644068;4;2;33;3;1;0.254237288136;"""4/4""";67;2;0;1;F-;A1
33.1779661017;0.127118644068;4;2;33;3;2;0.254237288136;"""4/4""";65;2;0;1;F-;A1
