onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
19.3421052632;0.394736842105;4;2;7;1;2;0.789473684211;"""4/4""";58;1;1;1;Bb7;I1
19.7368421053;0.263157894737;4;3;7;2;1;0.789473684211;"""4/4""";62;1;0;1;Bb7;I1
20.0;0.263157894737;4;3;7;2;2;0.789473684211;"""4/4""";65;1;0;1;Bb7;I1
20.2631578947;0.263157894737;4;3;7;2;3;0.789473684211;"""4/4""";67;1;0;1;Bb7;I1
20.5263157895;0.263157894737;4;3;7;3;1;0.789473684211;"""4/4""";70;1;0;1;Bb7;I1
20.7894736842;0.263157894737;4;3;7;3;2;0.789473684211;"""4/4""";58;1;0;1;Bb7;I1
21.0526315789;0.263157894737;4;3;7;3;3;0.789473684211;"""4/4""";62;2;1;1;Bb7;I1
21.7105263158;0.394736842105;4;2;7;4;2;0.789473684211;"""4/4""";58;2;0;1;Bb7;I1
22.1052631579;0.263157894737;4;3;8;1;1;0.789473684211;"""4/4""";70;2;0;1;Eb7;A1
22.3684210526;0.263157894737;4;3;8;1;2;0.789473684211;"""4/4""";70;2;0;1;Eb7;A1
22.6315789474;0.263157894737;4;3;8;1;3;0.789473684211;"""4/4""";70;2;0;1;Eb7;A1
22.8947368421;0.197368421053;4;4;8;2;1;0.789473684211;"""4/4""";65;2;0;1;Eb7;A1
23.0921052632;0.592105263158;4;4;8;2;2;0.789473684211;"""4/4""";63;3;1;1;Eb7;A1
25.6578947368;0.394736842105;4;2;9;1;2;0.789473684211;"""4/4""";58;3;0;1;Bb7;A1
26.0526315789;0.263157894737;4;3;9;2;1;0.789473684211;"""4/4""";62;3;0;1;Bb7;A1
26.3157894737;0.263157894737;4;3;9;2;2;0.789473684211;"""4/4""";65;3;0;1;Bb7;A1
26.5789473684;0.263157894737;4;3;9;2;3;0.789473684211;"""4/4""";67;3;0;1;Bb7;A1
26.8421052632;0.263157894737;4;3;9;3;1;0.789473684211;"""4/4""";70;3;0;1;Bb7;A1
27.1052631579;0.263157894737;4;3;9;3;2;0.789473684211;"""4/4""";58;3;0;1;Bb7;A1
27.3684210526;0.263157894737;4;3;9;3;3;0.789473684211;"""4/4""";62;4;1;1;Bb7;A1
28.8157894737;0.394736842105;4;2;10;1;2;0.789473684211;"""4/4""";70;4;0;1;Bb7;A1
29.2105263158;0.394736842105;4;4;10;2;1;0.789473684211;"""4/4""";77;4;0;1;Bb7;A1
29.6052631579;0.197368421053;4;4;10;2;3;0.789473684211;"""4/4""";77;4;0;1;Bb7;A1
29.8026315789;0.197368421053;4;4;10;2;4;0.789473684211;"""4/4""";77;4;0;1;Bb7;A1
30.0;0.197368421053;4;4;10;3;1;0.789473684211;"""4/4""";74;4;0;1;F-;A1
30.1973684211;0.592105263158;4;4;10;3;2;0.789473684211;"""4/4""";68;5;1;1;F-;A1
32.3684210526;0.0657894736842;4;12;11;2;1;0.789473684211;"""4/4""";72;5;0;1;Eb7;A1
32.4342105263;0.0657894736842;4;12;11;2;2;0.789473684211;"""4/4""";73;5;0;1;Eb7;A1
32.5;0.0657894736842;4;12;11;2;3;0.789473684211;"""4/4""";72;5;0;1;Eb7;A1
32.5657894737;0.197368421053;4;12;11;2;4;0.789473684211;"""4/4""";70;5;0;1;Eb7;A1
32.7631578947;0.197368421053;4;12;11;2;7;0.789473684211;"""4/4""";68;5;0;1;Eb7;A1
32.9605263158;0.197368421053;4;12;11;2;10;0.789473684211;"""4/4""";65;5;0;1;Eb7;A1
33.1578947368;0.394736842105;4;2;11;3;1;0.789473684211;"""4/4""";63;5;0;1;Eb7;A1
33.5526315789;0.394736842105;4;2;11;3;2;0.789473684211;"""4/4""";58;5;0;1;Eb7;A1
33.9473684211;0.0657894736842;4;12;11;4;1;0.789473684211;"""4/4""";72;5;0;1;Eb7;A1
