onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
32.5714285714;0.285714285714;4;1;29;3;1;0.285714285714;"""4/4""";57;1;1;1;Bb;A1
32.8571428571;0.142857142857;4;2;29;4;1;0.285714285714;"""4/4""";62;1;0;1;Bb;A1
33.0;0.142857142857;4;2;29;4;2;0.285714285714;"""4/4""";64;1;0;1;Bb;A1
33.2857142857;0.142857142857;4;2;30;1;2;0.285714285714;"""4/4""";63;1;0;1;C-;A1
34.0;0.142857142857;4;4;30;4;1;0.285714285714;"""4/4""";61;1;0;1;F7;A1
34.1428571429;0.0714285714286;4;4;30;4;3;0.285714285714;"""4/4""";63;1;0;1;F7;A1
34.2142857143;0.0714285714286;4;4;30;4;4;0.285714285714;"""4/4""";61;1;0;1;F7;A1
34.4285714286;0.142857142857;4;2;31;1;2;0.285714285714;"""4/4""";58;1;0;1;Bb;A1
35.5714285714;0.0714285714286;4;4;32;1;3;0.285714285714;"""4/4""";72;2;1;1;C-;A1
35.6428571429;0.0714285714286;4;4;32;1;4;0.285714285714;"""4/4""";71;2;0;1;C-;A1
35.7142857143;0.142857142857;4;2;32;2;1;0.285714285714;"""4/4""";70;2;0;1;C-;A1
35.8571428571;0.142857142857;4;2;32;2;2;0.285714285714;"""4/4""";69;2;0;1;C-;A1
36.0;0.142857142857;4;2;32;3;1;0.285714285714;"""4/4""";68;2;0;1;F7;A1
36.1428571429;0.142857142857;4;2;32;3;2;0.285714285714;"""4/4""";60;2;0;1;F7;A1
36.2857142857;0.142857142857;4;2;32;4;1;0.285714285714;"""4/4""";61;2;0;1;F7;A1
36.4285714286;0.142857142857;4;2;32;4;2;0.285714285714;"""4/4""";62;2;0;1;F7;A1
36.5714285714;0.142857142857;4;2;33;1;1;0.285714285714;"""4/4""";67;2;0;1;Bb7;A1
36.7142857143;0.142857142857;4;2;33;1;2;0.285714285714;"""4/4""";66;2;0;1;Bb7;A1
36.8571428571;0.142857142857;4;2;33;2;1;0.285714285714;"""4/4""";65;2;0;1;Bb7;A1
37.0;0.142857142857;4;2;33;2;2;0.285714285714;"""4/4""";63;2;0;1;Bb7;A1
37.2857142857;0.0714285714286;4;4;33;3;3;0.285714285714;"""4/4""";65;2;0;1;Bb7;A1
37.3571428571;0.0714285714286;4;4;33;3;4;0.285714285714;"""4/4""";63;2;0;1;Bb7;A1
37.4285714286;0.142857142857;4;2;33;4;1;0.285714285714;"""4/4""";58;2;0;1;Bb7;A1
37.5714285714;0.142857142857;4;2;33;4;2;0.285714285714;"""4/4""";56;2;0;1;Bb7;A1
37.7142857143;0.285714285714;4;1;34;1;1;0.285714285714;"""4/4""";55;2;0;1;Eb;A1
38.0;0.142857142857;4;4;34;2;1;0.285714285714;"""4/4""";70;2;0;1;Eb;A1
38.1428571429;0.0714285714286;4;4;34;2;3;0.285714285714;"""4/4""";71;2;0;1;Eb;A1
38.2142857143;0.0714285714286;4;4;34;2;4;0.285714285714;"""4/4""";70;2;0;1;Eb;A1
38.2857142857;0.142857142857;4;2;34;3;1;0.285714285714;"""4/4""";66;2;0;1;Eb-;A1
38.4285714286;0.142857142857;4;2;34;3;2;0.285714285714;"""4/4""";65;2;0;1;Eb-;A1
38.5714285714;0.142857142857;4;2;34;4;1;0.285714285714;"""4/4""";63;2;0;1;Eb-;A1
38.7142857143;0.142857142857;4;2;34;4;2;0.285714285714;"""4/4""";61;2;0;1;Eb-;A1
38.8571428571;0.285714285714;4;1;35;1;1;0.285714285714;"""4/4""";62;2;0;1;Bb;A1
39.4285714286;0.285714285714;4;1;35;3;1;0.285714285714;"""4/4""";58;2;0;1;Bb;A1
40.8571428571;0.0952380952381;4;3;36;4;1;0.285714285714;"""4/4""";65;3;1;1;F7;A1
40.9523809524;0.0952380952381;4;3;36;4;2;0.285714285714;"""4/4""";67;3;0;1;F7;A1
41.0476190476;0.0952380952381;4;3;36;4;3;0.285714285714;"""4/4""";70;3;0;1;F7;A1
41.1428571429;0.428571428571;4;1;37;1;1;0.285714285714;"""4/4""";74;3;0;1;Bb;A1
41.5714285714;0.142857142857;4;2;37;2;2;0.285714285714;"""4/4""";77;3;0;1;Bb;A1
41.7142857143;0.142857142857;4;2;37;3;1;0.285714285714;"""4/4""";74;3;0;1;Bb;A1
41.8571428571;0.285714285714;4;2;37;3;2;0.285714285714;"""4/4""";67;3;0;1;Bb;A1
42.1428571429;0.142857142857;4;2;37;4;2;0.285714285714;"""4/4""";73;3;0;1;Bb;A1
42.4285714286;0.142857142857;4;2;38;1;2;0.285714285714;"""4/4""";67;3;0;1;C-;A1
43.5714285714;0.142857142857;4;2;39;1;2;0.285714285714;"""4/4""";61;4;1;1;Bb;A1
43.7142857143;0.0714285714286;4;4;39;2;1;0.285714285714;"""4/4""";62;4;0;1;Bb;A1
43.7857142857;0.0714285714286;4;4;39;2;2;0.285714285714;"""4/4""";65;4;0;1;Bb;A1
43.8571428571;0.0714285714286;4;4;39;2;3;0.285714285714;"""4/4""";67;4;0;1;Bb;A1
43.9285714286;0.0714285714286;4;4;39;2;4;0.285714285714;"""4/4""";69;4;0;1;Bb;A1
44.0;0.0714285714286;4;4;39;3;1;0.285714285714;"""4/4""";72;4;0;1;Bb;A1
44.0714285714;0.0714285714286;4;4;39;3;2;0.285714285714;"""4/4""";70;4;0;1;Bb;A1
44.1428571429;0.0714285714286;4;4;39;3;3;0.285714285714;"""4/4""";69;4;0;1;Bb;A1
44.2142857143;0.0714285714286;4;4;39;3;4;0.285714285714;"""4/4""";67;4;0;1;Bb;A1
44.2857142857;0.0714285714286;4;4;39;4;1;0.285714285714;"""4/4""";66;4;0;1;Bb;A1
44.3571428571;0.0714285714286;4;4;39;4;2;0.285714285714;"""4/4""";67;4;0;1;Bb;A1
44.4285714286;0.0714285714286;4;4;39;4;3;0.285714285714;"""4/4""";70;4;0;1;Bb;A1
44.5;0.0714285714286;4;4;39;4;4;0.285714285714;"""4/4""";67;4;0;1;Bb;A1
44.5714285714;0.0714285714286;4;4;40;1;1;0.285714285714;"""4/4""";63;4;0;1;C-;A1
44.6428571429;0.0714285714286;4;4;40;1;2;0.285714285714;"""4/4""";62;4;0;1;C-;A1
44.7142857143;0.0714285714286;4;4;40;1;3;0.285714285714;"""4/4""";60;4;0;1;C-;A1
44.7857142857;0.0714285714286;4;4;40;1;4;0.285714285714;"""4/4""";58;4;0;1;C-;A1
44.8571428571;0.0714285714286;4;4;40;2;1;0.285714285714;"""4/4""";57;4;0;1;C-;A1
