onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
38.282208589;0.0920245398773;4;2;53;1;1;0.184049079755;"""4/4""";65;1;1;1;Bb7;A1
38.3742331288;0.0920245398773;4;2;53;1;2;0.184049079755;"""4/4""";67;1;0;1;Bb7;A1
38.4662576687;0.0920245398773;4;2;53;2;1;0.184049079755;"""4/4""";70;1;0;1;Bb7;A1
38.5582822086;0.0920245398773;4;2;53;2;2;0.184049079755;"""4/4""";74;1;0;1;Bb7;A1
38.9263803681;0.0920245398773;4;2;53;4;2;0.184049079755;"""4/4""";70;1;0;1;Bb7;A1
39.018404908;0.0920245398773;4;2;54;1;1;0.184049079755;"""4/4""";72;1;0;1;C-;A1
39.1104294479;0.0920245398773;4;2;54;1;2;0.184049079755;"""4/4""";70;1;0;1;C-;A1
39.8466257669;0.0920245398773;4;2;55;1;2;0.184049079755;"""4/4""";61;2;1;1;D-;A1
39.9386503067;0.0613496932515;4;3;55;2;1;0.184049079755;"""4/4""";62;2;0;1;D-;A1
40.0;0.0613496932515;4;3;55;2;2;0.184049079755;"""4/4""";65;2;0;1;D-;A1
40.0613496933;0.0613496932515;4;3;55;2;3;0.184049079755;"""4/4""";69;2;0;1;D-;A1
40.1226993865;0.0920245398773;4;2;55;3;1;0.184049079755;"""4/4""";72;2;0;1;G7;A1
40.2147239264;0.0920245398773;4;2;55;3;2;0.184049079755;"""4/4""";69;2;0;1;G7;A1
40.3067484663;0.0920245398773;4;2;55;4;1;0.184049079755;"""4/4""";71;2;0;1;Db-;A1
40.3987730061;0.0920245398773;4;2;55;4;2;0.184049079755;"""4/4""";68;2;0;1;Db-;A1
40.490797546;0.0920245398773;4;2;56;1;1;0.184049079755;"""4/4""";64;2;0;1;C-;A1
40.5828220859;0.0920245398773;4;2;56;1;2;0.184049079755;"""4/4""";61;2;0;1;C-;A1
40.6748466258;0.0920245398773;4;2;56;2;1;0.184049079755;"""4/4""";70;2;0;1;C-;A1
40.7668711656;0.0920245398773;4;2;56;2;2;0.184049079755;"""4/4""";69;2;0;1;C-;A1
40.8588957055;0.0920245398773;4;2;56;3;1;0.184049079755;"""4/4""";67;2;0;1;F7;A1
40.9509202454;0.0920245398773;4;2;56;3;2;0.184049079755;"""4/4""";66;2;0;1;F7;A1
41.0429447853;0.0920245398773;4;2;56;4;1;0.184049079755;"""4/4""";65;2;0;1;F7;A1
41.1349693252;0.0920245398773;4;2;56;4;2;0.184049079755;"""4/4""";64;2;0;1;F7;A1
41.226993865;0.0920245398773;4;2;57;1;1;0.184049079755;"""4/4""";63;2;0;1;F-;A1
41.3190184049;0.0920245398773;4;2;57;1;2;0.184049079755;"""4/4""";58;2;0;1;F-;A1
