onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
19.9468085106;0.31914893617;4;2;16;3;2;0.31914893617;"""4/4""";70;1;1;1;C7;I1
20.2659574468;0.159574468085;4;2;16;4;2;0.31914893617;"""4/4""";69;1;0;1;C7;I1
20.4255319149;0.31914893617;4;1;17;1;1;0.31914893617;"""4/4""";65;1;0;1;F;A1
20.7446808511;0.159574468085;4;2;17;2;1;0.31914893617;"""4/4""";69;1;0;1;F;A1
20.9042553191;0.159574468085;4;2;17;2;2;0.31914893617;"""4/4""";65;1;0;1;F;A1
21.0638297872;0.159574468085;4;2;17;3;1;0.31914893617;"""4/4""";67;1;0;1;F;A1
21.2234042553;0.159574468085;4;2;17;3;2;0.31914893617;"""4/4""";65;1;0;1;F;A1
21.3829787234;0.31914893617;4;1;17;4;1;0.31914893617;"""4/4""";60;1;0;1;F;A1
22.8191489362;0.159574468085;4;2;18;4;2;0.31914893617;"""4/4""";69;2;1;1;A7;A1
23.2978723404;0.159574468085;4;2;19;2;1;0.31914893617;"""4/4""";70;2;0;1;D-;A1
23.4574468085;0.159574468085;4;2;19;2;2;0.31914893617;"""4/4""";71;2;0;1;D-;A1
23.6170212766;0.159574468085;4;2;19;3;1;0.31914893617;"""4/4""";72;2;0;1;G7;A1
23.7765957447;0.159574468085;4;2;19;3;2;0.31914893617;"""4/4""";69;2;0;1;G7;A1
23.9361702128;0.159574468085;4;4;19;4;1;0.31914893617;"""4/4""";70;2;0;1;G7;A1
24.0957446809;0.0797872340426;4;4;19;4;3;0.31914893617;"""4/4""";72;2;0;1;G7;A1
24.1755319149;0.0797872340426;4;4;19;4;4;0.31914893617;"""4/4""";70;2;0;1;G7;A1
24.2553191489;0.159574468085;4;2;20;1;1;0.31914893617;"""4/4""";69;2;0;1;C-;A1
24.414893617;0.159574468085;4;2;20;1;2;0.31914893617;"""4/4""";67;2;0;1;C-;A1
24.5744680851;0.159574468085;4;2;20;2;1;0.31914893617;"""4/4""";63;2;0;1;C-;A1
24.7340425532;0.159574468085;4;2;20;2;2;0.31914893617;"""4/4""";60;2;0;1;C-;A1
24.8936170213;0.0531914893617;4;6;20;3;1;0.31914893617;"""4/4""";67;2;0;1;F7;A1
24.9468085106;0.0531914893617;4;6;20;3;2;0.31914893617;"""4/4""";69;2;0;1;F7;A1
25.0;0.0531914893617;4;6;20;3;3;0.31914893617;"""4/4""";67;2;0;1;F7;A1
25.0531914894;0.159574468085;4;6;20;3;4;0.31914893617;"""4/4""";65;2;0;1;F7;A1
25.2127659574;0.159574468085;4;2;20;4;1;0.31914893617;"""4/4""";61;2;0;1;F7;A1
25.3723404255;0.159574468085;4;2;20;4;2;0.31914893617;"""4/4""";57;2;0;1;F7;A1
25.5319148936;0.31914893617;4;1;21;1;1;0.31914893617;"""4/4""";60;2;0;1;Bb7;A1
25.8510638298;0.159574468085;4;2;21;2;1;0.31914893617;"""4/4""";58;2;0;1;Bb7;A1
26.0106382979;0.159574468085;4;2;21;2;2;0.31914893617;"""4/4""";57;2;0;1;Bb7;A1
26.170212766;0.159574468085;4;2;21;3;1;0.31914893617;"""4/4""";60;2;0;1;Bb7;A1
26.329787234;0.159574468085;4;2;21;3;2;0.31914893617;"""4/4""";58;2;0;1;Bb7;A1
28.2446808511;0.159574468085;4;2;23;1;2;0.31914893617;"""4/4""";64;3;1;1;F;A1
28.4042553191;0.106382978723;4;3;23;2;1;0.31914893617;"""4/4""";65;3;0;1;F;A1
28.5106382979;0.106382978723;4;3;23;2;2;0.31914893617;"""4/4""";69;3;0;1;F;A1
28.6170212766;0.106382978723;4;3;23;2;3;0.31914893617;"""4/4""";72;3;0;1;F;A1
28.7234042553;0.159574468085;4;2;23;3;1;0.31914893617;"""4/4""";76;3;0;1;F;A1
28.8829787234;0.159574468085;4;2;23;3;2;0.31914893617;"""4/4""";75;3;0;1;F;A1
29.0425531915;0.159574468085;4;2;23;4;1;0.31914893617;"""4/4""";74;3;0;1;F;A1
29.2021276596;0.159574468085;4;2;23;4;2;0.31914893617;"""4/4""";73;3;0;1;F;A1
29.3617021277;0.159574468085;4;2;24;1;1;0.31914893617;"""4/4""";72;3;0;1;A-;A1
29.5212765957;0.159574468085;4;2;24;1;2;0.31914893617;"""4/4""";69;3;0;1;A-;A1
29.6808510638;0.159574468085;4;2;24;2;1;0.31914893617;"""4/4""";64;3;0;1;A-;A1
29.8404255319;0.159574468085;4;2;24;2;2;0.31914893617;"""4/4""";60;3;0;1;A-;A1
30.0;0.159574468085;4;2;24;3;1;0.31914893617;"""4/4""";63;3;0;1;D7;A1
30.1595744681;0.159574468085;4;2;24;3;2;0.31914893617;"""4/4""";71;3;0;1;D7;A1
